,最新,最高,最低,开盘,总量,总额,外盘,代码,名称,昨收,涨家数,跌家数,平家数,流值,主力流入,主力流出,主力净流入,超大单流入,超大单流出,超大单净流入,大单流入,大单流出,大单净流入,中单流入,中单流出,中单净流入,小单流入,小单流出,小单净流入,内盘,换手,涨跌,涨幅,振幅
2022-03-12,5980.42,5986.55,5767.3,5853.5,9095870,7729741568.0,4670279,BK0422,物流行业,5918.78,36,15,3,920440464000.0,1662081424.0,2069068832.0,-406987408.0,281998048.0,507092832.0,-225094784.0,1380083376.0,1561976000.0,-181892624.0,2585248208.0,2552484416.0,32763792.0,3321117728.0,2946894112.0,374223616.0,4425592,0.87,61.64,1.04,3.7
2022-03-14,5791.85,5972.44,5791.85,5933.52,8787546,7185381888.0,3638616,BK0422,物流行业,5980.42,5,48,1,889208848000.0,1655660400.0,1905826336.0,-250165936.0,565315856.0,539880080.0,25435776.0,1090344544.0,1365946256.0,-275601712.0,2199569008.0,2320749200.0,-121180192.0,3171296800.0,2799950688.0,371346112.0,5148930,0.84,-188.57,-3.15,3.02
2022-03-15,5423.13,5754.34,5422.98,5752.16,12491721,10147300864.0,4887116,BK0422,物流行业,5791.85,1,53,0,833909040000.0,2294115888.0,3071930112.0,-777814224.0,527177776.0,787864496.0,-260686720.0,1766938112.0,2284065616.0,-517127504.0,3329244704.0,3195400432.0,133844272.0,4250832432.0,3606862480.0,643969952.0,7604605,1.19,-368.72,-6.37,5.72
2022-03-16,5599.54,5606.08,5358.62,5497.4,10704325,8677917440.0,5570791,BK0422,物流行业,5423.13,50,3,1,868074928000.0,2304805696.0,2117030912.0,187774784.0,706315376.0,498373664.0,207941712.0,1598490320.0,1618657248.0,-20166928.0,2668307792.0,2895568080.0,-227260288.0,3510643216.0,3471157712.0,39485504.0,5133534,1.02,176.41,3.25,4.56
2022-03-17,5664.33,5744.54,5645.39,5646.36,9404923,8334829568.0,4167675,BK0422,物流行业,5599.54,37,15,2,875738352000.0,2294609808.0,2370883024.0,-76273216.0,711005072.0,680095136.0,30909936.0,1583604736.0,1690787888.0,-107183152.0,2672475632.0,2704022432.0,-31546800.0,3139088448.0,3031268448.0,107820000.0,5237248,0.9,64.79,1.16,1.77
2022-03-18,5735.32,5745.48,5631.06,5641.73,9426422,8469227008.0,5264592,BK0422,物流行业,5664.33,45,8,1,886141536000.0,1699513200.0,1901753136.0,-202239936.0,365550400.0,375999408.0,-10449008.0,1333962800.0,1525753728.0,-191790928.0,2303866160.0,2489129216.0,-185263056.0,2933082848.0,2545579856.0,387502992.0,4161830,0.9,70.99,1.25,2.02
2022-03-21,5762.52,5780.21,5693.77,5738.06,8810099,8874157824.0,3973988,BK0422,物流行业,5735.31,27,24,3,871711792000.0,2485008688.0,2795157968.0,-310149280.0,790054784.0,894066624.0,-104011840.0,1694953904.0,1901091344.0,-206137440.0,2839143936.0,2772947888.0,66196048.0,3396915216.0,3152961984.0,243953232.0,4836111,0.84,27.21,0.47,1.51
2022-03-22,5753.71,5771.91,5695.3,5756.91,10186210,8766233600.0,4717936,BK0422,物流行业,5762.52,21,30,3,867477904000.0,2120206224.0,2556304304.0,-436098080.0,511631104.0,714250960.0,-202619856.0,1608575120.0,1842053344.0,-233478224.0,2808456368.0,2890649248.0,-82192880.0,3572964944.0,3054673984.0,518290960.0,5468274,0.97,-8.81,-0.15,1.33
2022-03-23,5726.84,5753.98,5702.72,5741.41,7705792,6766323456.0,3198102,BK0422,物流行业,5753.71,15,35,4,863835232000.0,1534905312.0,1792514336.0,-257609024.0,283154128.0,432657280.0,-149503152.0,1251751184.0,1359857056.0,-108105872.0,2232032688.0,2212974272.0,19058416.0,2843747600.0,2605196992.0,238550608.0,4507690,0.74,-26.87,-0.47,0.89
2022-03-24,5674.17,5717.8,5669.56,5709.27,6344652,6358629120.0,2913359,BK0422,物流行业,5726.84,12,42,0,853282848000.0,1536028864.0,1672616064.0,-136587200.0,365933552.0,425474864.0,-59541312.0,1170095312.0,1247141200.0,-77045888.0,2076538688.0,2178015072.0,-101476384.0,2611537408.0,2373473840.0,238063568.0,3431293,0.61,-52.67,-0.92,0.84
