,最新,最高,最低,开盘,总量,总额,外盘,代码,名称,昨收,涨家数,跌家数,平家数,流值,主力流入,主力流出,主力净流入,超大单流入,超大单流出,超大单净流入,大单流入,大单流出,大单净流入,中单流入,中单流出,中单净流入,小单流入,小单流出,小单净流入,内盘,换手,涨跌,涨幅,振幅
2022-03-12,9639.56,9799.11,9418.36,9635.26,16261746,17724347648.0,8117406,BK0437,煤炭行业,9666.96,13,19,3,1276943376000.0,5328886736.0,5933186640.0,-604299904.0,1442881488.0,1694286624.0,-251405136.0,3886005248.0,4238900016.0,-352894768.0,5996006656.0,5655325184.0,340681472.0,6134139136.0,5870521088.0,263618048.0,8144340,1.7,-27.4,-0.28,3.94
2022-03-14,9270.18,9765.55,9269.48,9449.34,16107972,17250521856.0,7447922,BK0437,煤炭行业,9639.56,0,35,0,1233075600000.0,4884816976.0,6018070608.0,-1133253632.0,1134680064.0,1881610048.0,-746929984.0,3750136912.0,4136460560.0,-386323648.0,5530411264.0,5423881984.0,106529280.0,6531742208.0,5505017856.0,1026724352.0,8660050,1.69,-369.38,-3.83,5.15
2022-03-15,8518.24,9197.57,8516.17,9197.57,19319477,18884462336.0,9064141,BK0437,煤炭行业,9270.18,0,35,0,1132744464000.0,5328746752.0,6757222144.0,-1428475392.0,1323327200.0,2207247360.0,-883920160.0,4005419552.0,4549974784.0,-544555232.0,6025880576.0,5982824960.0,43055616.0,7281665280.0,5896245504.0,1385419776.0,10255335,2.03,-751.94,-8.11,7.35
2022-03-16,8690.27,8735.36,8284.84,8621.59,14743419,13983260416.0,7382711,BK0437,煤炭行业,8518.24,29,4,2,1160270832000.0,3832243568.0,3802851792.0,29391776.0,891589440.0,882431392.0,9158048.0,2940654128.0,2920420400.0,20233728.0,4534308608.0,4618487552.0,-84178944.0,5396980992.0,5342193664.0,54787328.0,7360708,1.55,172.03,2.02,5.29
2022-03-17,8899.89,9008.87,8617.36,8759.99,15042686,15361653248.0,7679596,BK0437,煤炭行业,8690.27,32,3,0,1171982400000.0,4711150944.0,4537834496.0,173316448.0,1239226736.0,971548496.0,267678240.0,3471924208.0,3566286000.0,-94361792.0,4843491840.0,5039149824.0,-195657984.0,5598406912.0,5576065536.0,22341376.0,7363089,1.58,209.62,2.41,4.51
2022-03-18,9382.4,9403.56,8933.57,8942.75,16239351,16313259520.0,9274378,BK0437,煤炭行业,8899.89,35,0,0,1222364128000.0,5417360224.0,4581585552.0,835774672.0,1742544320.0,1032850272.0,709694048.0,3674815904.0,3548735280.0,126080624.0,4908013056.0,5262667264.0,-354654208.0,5464010752.0,5945131008.0,-481120256.0,6964973,1.7,482.51,5.42,5.28
2022-03-21,9559.91,9632.84,9380.13,9392.21,14704881,15108783104.0,7418243,BK0437,煤炭行业,9382.4,31,3,1,1260944624000.0,4595714336.0,4525101120.0,70613216.0,1212409168.0,1135002960.0,77406208.0,3383305168.0,3390098160.0,-6792992.0,4762742016.0,4810025472.0,-47283456.0,5499272192.0,5522602240.0,-23330048.0,7286638,1.54,177.51,1.89,2.69
2022-03-22,9801.56,9822.13,9538.49,9551.23,15326872,16645894912.0,8694656,BK0437,煤炭行业,9559.91,31,4,0,1303332688000.0,6275089344.0,5718861536.0,556227808.0,2142461024.0,1838153136.0,304307888.0,4132628320.0,3880708400.0,251919920.0,4973230848.0,5172348672.0,-199117824.0,5135926272.0,5493036032.0,-357109760.0,6632215,1.61,241.65,2.53,2.97
2022-03-23,9766.84,9875.32,9605.33,9768.43,14733449,16162399744.0,6983823,BK0437,煤炭行业,9801.56,12,22,1,1293872960000.0,4840631136.0,5399479136.0,-558848000.0,1323966160.0,1699704656.0,-375738496.0,3516664976.0,3699774480.0,-183109504.0,5090382080.0,5067916032.0,22466048.0,5933230848.0,5396848896.0,536381952.0,7749626,1.55,-34.72,-0.35,2.75
2022-03-24,9785.86,9968.26,9765.59,9810.1,13760487,15334045696.0,6845314,BK0437,煤炭行业,9766.84,13,22,0,1315053920000.0,5222103888.0,4885241280.0,336862608.0,1504954688.0,1419320032.0,85634656.0,3717149200.0,3465921248.0,251227952.0,4801176320.0,4959156224.0,-157979904.0,5069856256.0,5248739072.0,-178882816.0,6915173,1.44,19.02,0.19,2.08
2022-03-25,9738.07,9916.52,9645.64,9728.99,11786343,12752324864.0,5813660,BK0437,煤炭行业,9785.86,11,22,2,1309592672000.0,3683870240.0,4063991616.0,-380121376.0,820245840.0,1079737520.0,-259491680.0,2863624400.0,2984254096.0,-120629696.0,4091213184.0,4103598400.0,-12385216.0,4732347904.0,4339841280.0,392506624.0,5972683,1.24,-47.79,-0.49,2.77
2022-03-28,9913.07,9989.49,9679.44,9755.72,13182659,15644282368.0,7072965,BK0437,煤炭行业,9738.07,29,6,0,1365746416000.0,5549892848.0,5148762080.0,401130768.0,1585224192.0,1432936576.0,152287616.0,3964668656.0,3715825504.0,248843152.0,4834228992.0,4901225216.0,-66996224.0,4994054656.0,5328189184.0,-334134528.0,6109694,1.38,175.0,1.8,3.18
2022-03-29,10057.92,10117.57,9830.34,9865.68,13081176,15714659328.0,6875075,BK0437,煤炭行业,9913.07,24,11,0,1398371856000.0,5642247248.0,5328730160.0,313517088.0,1619643584.0,1564544080.0,55099504.0,4022603664.0,3764186080.0,258417584.0,4821907456.0,4927474944.0,-105567488.0,5021659392.0,5229608704.0,-207949312.0,6206101,1.37,144.85,1.46,2.9
2022-03-30,9879.29,10111.75,9777.77,10004.94,14372129,17041902848.0,6547674,BK0437,煤炭行业,10057.92,7,28,0,1353106192000.0,4936877632.0,6412104016.0,-1475226384.0,1244635376.0,1827300432.0,-582665056.0,3692242256.0,4584803584.0,-892561328.0,5593420544.0,5300686336.0,292734208.0,6282995456.0,5100503296.0,1182492160.0,7824455,1.51,-178.63,-1.78,3.32
2022-03-31,10055.8,10072.59,9821.7,9903.83,14349863,16302671872.0,7666048,BK0437,煤炭行业,9879.29,27,7,1,1384740096000.0,5445418016.0,5139661424.0,305756592.0,1602401488.0,1442219952.0,160181536.0,3843016528.0,3697441472.0,145575056.0,5188770816.0,5342104064.0,-153333248.0,5336950784.0,5489373952.0,-152423168.0,6683815,1.5,176.51,1.79,2.54
2022-04-01,10089.45,10190.46,9912.87,9969.58,14721414,16031516416.0,7216061,BK0437,煤炭行业,10055.8,17,18,0,1378963648000.0,4515183552.0,4930987936.0,-415804384.0,1174089008.0,1341239504.0,-167150496.0,3341094544.0,3589748432.0,-248653888.0,5278208000.0,5232494336.0,45713664.0,6031846656.0,5661756160.0,370090496.0,7505353,1.54,33.65,0.33,2.76
2022-04-06,10047.98,10132.34,9777.79,10037.29,14205419,15468252928.0,6817332,BK0437,煤炭行业,10089.45,15,20,0,1358033984000.0,3923367632.0,4692825248.0,-769457616.0,839766096.0,1223389440.0,-383623344.0,3083601536.0,3469435808.0,-385834272.0,5017422848.0,5007368192.0,10054656.0,6267087872.0,5507684864.0,759403008.0,7388087,1.49,-41.47,-0.41,3.51
2022-04-07,10076.28,10245.5,9972.72,9987.51,14630767,15409335296.0,7492216,BK0437,煤炭行业,10047.98,17,16,2,1373747648000.0,4629245728.0,4501693392.0,127552336.0,1169605024.0,1109444656.0,60160368.0,3459640704.0,3392248736.0,67391968.0,5107923200.0,5094781440.0,13141760.0,5435216640.0,5575910912.0,-140694272.0,7138551,1.53,28.3,0.28,2.71
2022-04-08,10178.03,10280.79,9940.26,10111.74,14440272,15950979584.0,7135231,BK0437,煤炭行业,10076.28,24,10,1,1402007328000.0,4587559552.0,4664683632.0,-77124080.0,1072584272.0,1067474128.0,5110144.0,3514975280.0,3597209504.0,-82234224.0,5437209344.0,5327378176.0,109831168.0,5672326144.0,5705033216.0,-32707072.0,7305042,1.51,101.75,1.01,3.38
2022-04-11,9970.97,10183.23,9945.63,10063.34,13889071,16818485248.0,6642669,BK0437,煤炭行业,10178.03,7,27,1,1396374096000.0,5059312832.0,5608964464.0,-549651632.0,1054793904.0,1450015216.0,-395221312.0,4004518928.0,4158949248.0,-154430320.0,5644753152.0,5428278528.0,216474624.0,5795382272.0,5462205440.0,333176832.0,7246402,1.46,-207.06,-2.03,2.33
