,最新,最高,最低,开盘,总量,总额,外盘,代码,名称,昨收,涨家数,跌家数,平家数,流值,主力流入,主力流出,主力净流入,超大单流入,超大单流出,超大单净流入,大单流入,大单流出,大单净流入,中单流入,中单流出,中单净流入,小单流入,小单流出,小单净流入,内盘,换手,涨跌,涨幅,振幅
2022-03-12,18732.8,18745.78,18190.32,18534.26,6355625,14999779328.0,3147872,BK0459,电子元件,18698.43,56,40,6,1292141584000.0,3911497920.0,4060163312.0,-148665392.0,930020864.0,1072920880.0,-142900016.0,2981477056.0,2987242432.0,-5765376.0,5006474752.0,5116685568.0,-110210816.0,5875520000.0,5616643840.0,258876160.0,3207752,1.19,34.37,0.18,2.97
2022-03-14,18170.3,18578.14,18170.3,18578.14,5556673,13207510016.0,2370933,BK0459,电子元件,18732.8,4,98,0,1253246960000.0,3086097840.0,3692420240.0,-606322400.0,821986192.0,1028995808.0,-207009616.0,2264111648.0,2663424432.0,-399312784.0,4211578448.0,4173884896.0,37693552.0,5706526464.0,5137897472.0,568628992.0,3185740,1.04,-562.5,-3.0,2.18
2022-03-15,17277.08,18117.14,17277.08,18104.14,7203549,16035110656.0,3210721,BK0459,电子元件,18170.3,3,99,0,1200403664000.0,3452960576.0,4398589696.0,-945629120.0,769696960.0,1131638064.0,-361941104.0,2683263616.0,3266951632.0,-583688016.0,5511796480.0,5244941568.0,266854912.0,6837186816.0,6158412288.0,678774528.0,3992828,1.35,-893.22,-4.92,4.62
2022-03-16,17850.59,17868.25,16956.46,17519.98,8481981,18865199616.0,4458740,BK0459,电子元件,17277.08,93,7,2,1245509840000.0,5363205024.0,4708499104.0,654705920.0,1600588496.0,1119887136.0,480701360.0,3762616528.0,3588611968.0,174004560.0,6253846784.0,6622036992.0,-368190208.0,7015583744.0,7302099200.0,-286515456.0,4023241,1.59,573.51,3.32,5.28
2022-03-17,18261.19,18517.49,18045.57,18045.57,8755990,19819512576.0,4343823,BK0459,电子元件,17850.59,91,10,1,1269173376000.0,6035964800.0,5336960976.0,699003824.0,1690596992.0,1322187568.0,368409424.0,4345367808.0,4014773408.0,330594400.0,6387316224.0,6904686080.0,-517369856.0,7056420096.0,7238054144.0,-181634048.0,4412167,1.65,410.6,2.3,2.64
2022-03-18,18219.57,18250.5,18017.92,18211.02,6669943,17182903296.0,3165892,BK0459,电子元件,18261.19,50,49,3,1256472208000.0,4294327728.0,5147196320.0,-852868592.0,1179229072.0,1700164304.0,-520935232.0,3115098656.0,3447032016.0,-331933360.0,5846894336.0,5736868864.0,110025472.0,6441036288.0,5698193408.0,742842880.0,3504051,1.25,-41.62,-0.23,1.27
2022-03-21,18475.7,18538.55,18189.92,18243.43,6403565,15223538432.0,3285168,BK0459,电子元件,18219.57,84,16,2,1270125792000.0,3809803168.0,3582955632.0,226847536.0,908304000.0,784876080.0,123427920.0,2901499168.0,2798079552.0,103419616.0,5440654848.0,5269440768.0,171214080.0,5755386880.0,6153448448.0,-398061568.0,3118396,1.2,256.13,1.41,1.91
2022-03-22,18409.99,18528.91,18319.75,18468.74,5608876,12564336384.0,2528748,BK0459,电子元件,18475.7,35,63,4,1262566304000.0,3147242272.0,3234930160.0,-87687888.0,801697248.0,779668128.0,22029120.0,2345545024.0,2455262032.0,-109717008.0,4268175360.0,4217814400.0,50360960.0,4928491520.0,4891164672.0,37326848.0,3080128,1.05,-65.71,-0.36,1.13
2022-03-23,18586.23,18605.6,18336.33,18451.38,6313164,13822340608.0,3159561,BK0459,电子元件,18409.99,66,29,7,1274357472000.0,3557110688.0,3411703136.0,145407552.0,773483968.0,790808816.0,-17324848.0,2783626720.0,2620894320.0,162732400.0,4693071104.0,4911787520.0,-218716416.0,5362350848.0,5289041920.0,73308928.0,3153602,1.19,176.24,0.96,1.46
2022-03-24,18227.03,18517.4,18195.33,18516.37,5522499,11398545920.0,2388422,BK0459,电子元件,18586.23,5,96,1,1252770688000.0,2470699952.0,2856802960.0,-386103008.0,537760944.0,682387328.0,-144626384.0,1932939008.0,2174415632.0,-241476624.0,3842203184.0,3718308992.0,123894192.0,4921783552.0,4659574784.0,262208768.0,3134078,1.04,-359.2,-1.93,1.73
2022-03-25,18027.85,18304.23,18027.31,18239.53,5200306,11256634880.0,2374421,BK0459,电子元件,18227.03,25,72,5,1228041504000.0,2557306912.0,3238242176.0,-680935264.0,639640320.0,939726576.0,-300086256.0,1917666592.0,2298515600.0,-380849008.0,3606111040.0,3649280448.0,-43169408.0,4899591168.0,4175486464.0,724104704.0,2825885,0.98,-199.18,-1.09,1.52
2022-03-28,17863.59,18028.78,17675.35,17936.46,4670109,10386054912.0,2231807,BK0459,电子元件,18027.85,24,77,1,1215982912000.0,2063033776.0,2476076800.0,-413043024.0,390717856.0,567668944.0,-176951088.0,1672315920.0,1908407856.0,-236091936.0,3427193552.0,3372663232.0,54530320.0,4743988736.0,4385476096.0,358512640.0,2438302,0.88,-164.26,-0.91,1.96
2022-03-29,17614.53,18005.99,17583.98,17941.51,5081675,11580587264.0,2159049,BK0459,电子元件,17863.59,16,84,2,1205589472000.0,2567320064.0,2849293152.0,-281973088.0,558632704.0,623640512.0,-65007808.0,2008687360.0,2225652640.0,-216965280.0,3770497712.0,3821026848.0,-50529136.0,5106541824.0,4774039552.0,332502272.0,2922626,0.95,-249.06,-1.39,2.36
2022-03-30,17951.03,17951.03,17688.45,17727.24,5633882,13105105920.0,3048802,BK0459,电子元件,17614.53,92,8,2,1233760752000.0,3534178160.0,3154418992.0,379759168.0,1065364912.0,792841200.0,272523712.0,2468813248.0,2361577792.0,107235456.0,4286547136.0,4388692224.0,-102145088.0,5068998656.0,5346612736.0,-277614080.0,2585080,1.06,336.5,1.91,1.49
2022-03-31,17786.42,17935.05,17758.23,17935.05,5170812,11657819648.0,2211276,BK0459,电子元件,17951.03,24,77,2,1216758880000.0,2572724960.0,3132196800.0,-559471840.0,486025264.0,882064992.0,-396039728.0,2086699696.0,2250131808.0,-163432112.0,3964305664.0,3756206800.0,208098864.0,4916219648.0,4564846848.0,351372800.0,2959537,0.97,-164.61,-0.92,0.99
2022-04-01,17744.94,17794.21,17593.22,17708.86,5035106,10536538624.0,2340793,BK0459,电子元件,17786.42,37,63,3,1219881488000.0,2425749392.0,2637459360.0,-211709968.0,646094880.0,675066832.0,-28971952.0,1779654512.0,1962392528.0,-182738016.0,3526797616.0,3502018416.0,24779200.0,4387062016.0,4200131248.0,186930768.0,2694314,0.94,-41.48,-0.23,1.13
2022-04-06,17678.08,17743.79,17586.63,17714.97,5643828,11706653696.0,2571869,BK0459,电子元件,17744.94,49,51,3,1203056064000.0,2339447568.0,3022869632.0,-683422064.0,570609280.0,862564560.0,-291955280.0,1768838288.0,2160305072.0,-391466784.0,3877178208.0,3616901712.0,260276496.0,5307146752.0,4884001024.0,423145728.0,3071959,1.06,-66.86,-0.38,0.89
2022-04-07,17273.94,17684.86,17273.94,17650.15,6269264,12865932544.0,2650400,BK0459,电子元件,17678.08,10,91,2,1183033984000.0,2833810768.0,3126212896.0,-292402128.0,725175760.0,840008656.0,-114832896.0,2108635008.0,2286204240.0,-177569232.0,4310099456.0,4273939424.0,36160032.0,5525281536.0,5269039360.0,256242176.0,3618864,1.18,-404.14,-2.29,2.32
2022-04-08,17117.05,17325.24,16944.52,17312.04,5989740,12558646016.0,2792729,BK0459,电子元件,17273.94,20,79,4,1178232400000.0,2873083776.0,3347046752.0,-473962976.0,648087568.0,937269296.0,-289181728.0,2224996208.0,2409777456.0,-184781248.0,4177434304.0,4173431264.0,4003040.0,5319503616.0,4849543680.0,469959936.0,3197011,1.12,-156.89,-0.91,2.2
2022-04-11,16374.69,17092.39,16303.36,17092.39,6736972,14581985792.0,2873417,BK0459,电子元件,17117.05,3,99,1,1117080528000.0,3160179760.0,4543306736.0,-1383126976.0,776590432.0,1408939376.0,-632348944.0,2383589328.0,3134367360.0,-750778032.0,4796296960.0,4744352256.0,51944704.0,6431229952.0,5100047872.0,1331182080.0,3863556,1.26,-742.36,-4.34,4.61
2022-04-12,16653.11,16653.11,16220.4,16365.89,6054152,12529716224.0,3177077,BK0459,电子元件,16374.69,85,17,1,1139339296000.0,2984518816.0,3296294528.0,-311775712.0,635222592.0,794073376.0,-158850784.0,2349296224.0,2502221152.0,-152924928.0,3957589232.0,4101668624.0,-144079392.0,5428753664.0,4972898560.0,455855104.0,2877074,1.14,278.42,1.7,2.64
2022-04-13,16270.59,16587.76,16270.59,16585.83,4840660,9953895424.0,2116586,BK0459,电子元件,16653.11,6,96,1,1111466464000.0,2110170896.0,2391760608.0,-281589712.0,517502656.0,583031696.0,-65529040.0,1592668240.0,1808728912.0,-216060672.0,3253695888.0,3341939760.0,-88243872.0,4422447104.0,4052613440.0,369833664.0,2724074,0.91,-382.52,-2.3,1.9
2022-04-14,16423.16,16489.68,16281.94,16346.44,4615805,9428084736.0,2381554,BK0459,电子元件,16270.59,77,20,6,1123857040000.0,2161574544.0,2184837328.0,-23262784.0,534886208.0,454519808.0,80366400.0,1626688336.0,1730317520.0,-103629184.0,3076648176.0,3038237552.0,38410624.0,4068278256.0,4083426064.0,-15147808.0,2234250,0.86,152.57,0.94,1.28
2022-04-15,16242.99,16356.02,16053.91,16353.74,5214923,10988732672.0,2402532,BK0459,电子元件,16423.16,24,77,2,1117142624000.0,2364510656.0,2819999152.0,-455488496.0,553223840.0,811884896.0,-258661056.0,1811286816.0,2008114256.0,-196827440.0,3638898224.0,3700025552.0,-61127328.0,4852774400.0,4336158464.0,516615936.0,2812390,0.98,-180.17,-1.1,1.84
2022-04-18,16559.27,16576.73,16025.3,16193.02,5360903,11907602944.0,2822952,BK0459,电子元件,16242.99,82,18,3,1149663072000.0,2829027456.0,2528000224.0,301027232.0,670902800.0,575854256.0,95048544.0,2158124656.0,1952145968.0,205978688.0,3996528624.0,4009834080.0,-13305456.0,4912627456.0,5200349184.0,-287721728.0,2537951,1.0,316.28,1.95,3.39
2022-04-19,16441.72,16628.65,16352.29,16504.65,4758991,10070601216.0,2147016,BK0459,电子元件,16559.27,36,63,4,1138019296000.0,1996211824.0,2352980240.0,-356768416.0,332772448.0,602481360.0,-269708912.0,1663439376.0,1750498880.0,-87059504.0,3352243680.0,3246846304.0,105397376.0,4511972096.0,4260600912.0,251371184.0,2611975,0.89,-117.55,-0.71,1.67
2022-04-20,16332.5,16576.37,16274.23,16459.75,5445632,10572968704.0,2583563,BK0459,电子元件,16441.72,31,68,4,1132354784000.0,2127830720.0,2612401696.0,-484570976.0,316221808.0,572696736.0,-256474928.0,1811608912.0,2039704960.0,-228096048.0,3497305248.0,3456880464.0,40424784.0,4760517120.0,4316370944.0,444146176.0,2862069,1.02,-109.22,-0.66,1.84
2022-04-21,15762.18,16387.02,15735.4,16259.9,6170575,12419317248.0,2669712,BK0459,电子元件,16332.5,3,100,0,1094214800000.0,2370572064.0,3239179136.0,-868607072.0,499413584.0,829711920.0,-330298336.0,1871158480.0,2409467216.0,-538308736.0,4086096896.0,4073629744.0,12467152.0,5764116480.0,4907976704.0,856139776.0,3500863,1.16,-570.32,-3.49,3.99
2022-04-22,15532.61,15717.81,15423.13,15717.81,5462321,10846874880.0,2618582,BK0459,电子元件,15762.18,19,82,2,1081582464000.0,2206564576.0,2450473680.0,-243909104.0,488901712.0,570423024.0,-81521312.0,1717662864.0,1880050656.0,-162387792.0,3418295408.0,3519929216.0,-101633808.0,5060687360.0,4715144448.0,345542912.0,2843739,1.02,-229.57,-1.46,1.87
2022-04-25,14306.68,15271.54,14306.68,15271.54,7740572,13574481152.0,3609457,BK0459,电子元件,15532.61,1,102,0,1003041104000.0,2811750352.0,3746108416.0,-934358064.0,647157696.0,1020031792.0,-372874096.0,2164592656.0,2726076624.0,-561483968.0,4386100480.0,4545354752.0,-159254272.0,6174237696.0,5080625152.0,1093612544.0,4131116,1.45,-1225.93,-7.89,6.21
2022-04-26,13738.36,14390.58,13714.27,14303.32,7544046,12995411712.0,3505264,BK0459,电子元件,14306.68,13,89,1,971134928000.0,2622011696.0,3120913040.0,-498901344.0,533523904.0,742985200.0,-209461296.0,2088487792.0,2377927840.0,-289440048.0,4273838880.0,4365266176.0,-91427296.0,5925627392.0,5335298816.0,590328576.0,4038781,1.41,-568.32,-3.97,4.73
2022-04-27,14341.06,14341.08,13435.93,13520.69,7742868,14540154624.0,4303884,BK0459,电子元件,13738.36,91,9,3,1036634336000.0,3704451888.0,3209571392.0,494880496.0,1048198944.0,701662544.0,346536400.0,2656252944.0,2507908848.0,148344096.0,4865530112.0,5117938688.0,-252408576.0,5759407872.0,6001879808.0,-242471936.0,3438985,1.45,602.7,4.39,6.59
2022-04-28,14122.42,14342.14,13982.06,14255.14,6668275,13582953728.0,3214060,BK0459,电子元件,14341.06,26,75,2,1041089888000.0,3457037520.0,3601447312.0,-144409792.0,870206512.0,1059062592.0,-188856080.0,2586831008.0,2542384720.0,44446288.0,4677264384.0,4416856320.0,260408064.0,5227917056.0,5343915520.0,-115998464.0,3454214,1.25,-218.64,-1.52,2.51
2022-04-29,14863.14,14900.8,14214.42,14214.42,8226734,16938108928.0,4523168,BK0459,电子元件,14122.42,98,3,2,1099016624000.0,5020553952.0,4370719872.0,649834080.0,1640618608.0,959320608.0,681298000.0,3379935344.0,3411399264.0,-31463920.0,5715941632.0,5737301760.0,-21360128.0,5940101888.0,6568575488.0,-628473600.0,3703566,1.54,740.72,5.24,4.86
2022-05-02,14863.14,14900.8,14214.42,14214.42,8226734,16938108928.0,4523168,BK0459,电子元件,14122.42,98,3,2,1099016624000.0,5020553952.0,4370719872.0,649834080.0,1640618608.0,959320608.0,681298000.0,3379935344.0,3411399264.0,-31463920.0,5715941632.0,5737301760.0,-21360128.0,5940101888.0,6568575488.0,-628473600.0,3703566,1.54,740.72,5.24,4.86
2022-05-03,14863.14,14900.8,14214.42,14214.42,8226734,16938108928.0,4523168,BK0459,电子元件,14122.42,98,3,2,1099016624000.0,5020553952.0,4370719872.0,649834080.0,1640618608.0,959320608.0,681298000.0,3379935344.0,3411399264.0,-31463920.0,5715941632.0,5737301760.0,-21360128.0,5940101888.0,6568575488.0,-628473600.0,3703566,1.54,740.72,5.24,4.86
2022-05-04,14863.14,14900.8,14214.42,14214.42,8226734,16938108928.0,4523168,BK0459,电子元件,14122.42,98,3,2,1099016624000.0,5020553952.0,4370719872.0,649834080.0,1640618608.0,959320608.0,681298000.0,3379935344.0,3411399264.0,-31463920.0,5715941632.0,5737301760.0,-21360128.0,5940101888.0,6568575488.0,-628473600.0,3703566,1.54,740.72,5.24,4.86
2022-05-09,14995.79,15091.38,14836.19,14836.19,4608226,9380384768.0,2173638,BK0459,电子元件,14845.31,70,30,3,1093457600000.0,2246592080.0,2191871968.0,54720112.0,484164064.0,594674560.0,-110510496.0,1762428016.0,1597197408.0,165230608.0,3165756864.0,3152705104.0,13051760.0,3821496048.0,3889267920.0,-67771872.0,2434588,0.86,150.48,1.01,1.72
2022-05-10,15338.07,15343.48,14761.43,14841.03,5996099,12765346816.0,3284687,BK0459,电子元件,14995.79,93,8,2,1116065728000.0,3174259600.0,2856306784.0,317952816.0,801140320.0,689492720.0,111647600.0,2373119280.0,2166814064.0,206305216.0,4291780656.0,4310695424.0,-18914768.0,5089324288.0,5388362240.0,-299037952.0,2711412,1.12,342.28,2.28,3.88
2022-05-11,15515.54,15884.65,15354.49,15360.91,7752015,16413100032.0,3988587,BK0459,电子元件,15338.07,72,26,5,1131411792000.0,4700573872.0,3978708624.0,721865248.0,1317458768.0,810219888.0,507238880.0,3383115104.0,3168488736.0,214626368.0,5317386752.0,5779996416.0,-462609664.0,6098097920.0,6357353472.0,-259255552.0,3763429,1.45,177.47,1.16,3.46
2022-05-12,15576.65,15651.72,15416.96,15461.49,5103834,10358111488.0,2452958,BK0459,电子元件,15515.54,65,34,4,1128729792000.0,2143438560.0,2401762688.0,-258324128.0,507988640.0,637740384.0,-129751744.0,1635449920.0,1764022304.0,-128572384.0,3427366656.0,3492677312.0,-65310656.0,4580976640.0,4257341840.0,323634800.0,2650876,0.96,61.11,0.39,1.51
2022-05-13,15635.4,15661.8,15483.63,15637.5,4605104,9067613440.0,2315390,BK0459,电子元件,15576.65,45,51,7,1131869088000.0,1956133248.0,1968237712.0,-12104464.0,405670256.0,399813040.0,5857216.0,1550462992.0,1568424672.0,-17961680.0,3143629792.0,3078295888.0,65333904.0,3810371120.0,3863600560.0,-53229440.0,2289714,0.86,58.75,0.38,1.14
