,最新,最高,最低,开盘,总量,总额,外盘,代码,名称,昨收,涨家数,跌家数,平家数,流值,主力流入,主力流出,主力净流入,超大单流入,超大单流出,超大单净流入,大单流入,大单流出,大单净流入,中单流入,中单流出,中单净流入,小单流入,小单流出,小单净流入,内盘,换手,涨跌,涨幅,振幅
2022-03-12,29961.45,29961.45,28978.45,29101.26,24245009,39766468608.0,12219856,BK0465,化学制药,29275.73,110,22,1,1483215408000.0,13490316816.0,12738037536.0,752279280.0,4278823952.0,3426953760.0,851870192.0,9211492864.0,9311083776.0,-99590912.0,13174193408.0,13510349056.0,-336155648.0,12062050048.0,12478173696.0,-416123648.0,12025152,2.86,685.72,2.34,3.36
2022-03-14,29788.93,30609.33,29788.93,30181.39,29205740,53244395264.0,13683072,BK0465,化学制药,29961.45,34,97,2,1489873808000.0,21561564416.0,20751568384.0,809996032.0,9097917952.0,7314403328.0,1783514624.0,12463646464.0,13437165056.0,-973518592.0,15793010944.0,17022583552.0,-1229572608.0,14407251200.0,13987674368.0,419576832.0,15522668,3.45,-172.52,-0.58,2.74
2022-03-15,28502.85,29625.09,28501.35,29503.98,29375245,47009384960.0,13652808,BK0465,化学制药,29788.93,12,120,1,1414747824000.0,15669682432.0,17879683072.0,-2210000640.0,5245718016.0,6160467200.0,-914749184.0,10423964416.0,11719215872.0,-1295251456.0,15212878080.0,14820782080.0,392096000.0,14700047872.0,12882143232.0,1817904640.0,15722437,3.47,-1286.08,-4.32,3.77
2022-03-16,28811.29,29102.0,27537.53,28944.37,28918380,48439027456.0,13740462,BK0465,化学制药,28502.85,96,34,3,1435973952000.0,15712526336.0,18007514112.0,-2294987776.0,4959827456.0,6032985088.0,-1073157632.0,10752698880.0,11974529024.0,-1221830144.0,16129297920.0,15578080768.0,551217152.0,15601430016.0,13857659392.0,1743770624.0,15177917,3.42,308.44,1.08,5.49
2022-03-17,29743.57,30459.62,28673.98,28789.68,33823500,62112369920.0,17331342,BK0465,化学制药,28811.29,116,14,3,1475836224000.0,25053295872.0,24557728000.0,495567872.0,10127091200.0,9064221440.0,1062869760.0,14926204672.0,15493506560.0,-567301888.0,18964285696.0,20055075328.0,-1090789632.0,16955381760.0,16360159488.0,595222272.0,16492158,3.99,932.28,3.24,6.2
2022-03-18,30196.98,30250.86,29552.17,29640.71,33116533,51610770432.0,16561011,BK0465,化学制药,29743.57,96,34,3,1489071376000.0,17698598656.0,19445628928.0,-1747030272.0,5336548096.0,6534251776.0,-1197703680.0,12362050560.0,12911377152.0,-549326592.0,16756745984.0,16336652800.0,420093184.0,15320425216.0,13993488128.0,1326937088.0,16555521,3.9,453.41,1.52,2.35
2022-03-21,31092.53,31092.53,30262.85,30262.85,33788569,57243366656.0,16881962,BK0465,化学制药,30196.98,117,15,1,1534525136000.0,21411204096.0,20750545152.0,660658944.0,7674446336.0,6462080512.0,1212365824.0,13736757760.0,14288464640.0,-551706880.0,18279970048.0,19109188608.0,-829218560.0,16248596480.0,16080036864.0,168559616.0,16906607,3.99,895.55,2.97,2.75
2022-03-22,30207.83,30909.83,30121.28,30909.83,29618638,50670137856.0,12649275,BK0465,化学制药,31092.53,15,117,1,1494348240000.0,16279420928.0,19787366656.0,-3507945728.0,4721191680.0,6584866816.0,-1863675136.0,11558229248.0,13202499840.0,-1644270592.0,16500040448.0,16237309440.0,262731008.0,16661496576.0,13416282112.0,3245214464.0,16969363,3.49,-884.7,-2.85,2.54
2022-03-23,30243.9,30598.86,29921.15,30108.57,24122459,42344253184.0,11506396,BK0465,化学制药,30207.83,64,65,4,1494299216000.0,14388919552.0,15272348416.0,-883428864.0,4371643392.0,4926342912.0,-554699520.0,10017276160.0,10346005504.0,-328729344.0,14140717568.0,13977203968.0,163513600.0,13000555520.0,12280640256.0,719915264.0,12616064,2.84,36.07,0.12,2.24
2022-03-24,30889.99,31034.43,29896.55,30039.88,32478422,49976332032.0,17420475,BK0465,化学制药,30243.9,104,28,1,1525011472000.0,18474288384.0,16638489600.0,1835798784.0,5849460992.0,4413579264.0,1435881728.0,12624827392.0,12224910336.0,399917056.0,16344067840.0,17149411840.0,-805344000.0,14287460608.0,15317915648.0,-1030455040.0,15057947,3.83,646.09,2.14,3.76
