,最新,最高,最低,开盘,总量,总额,外盘,代码,名称,昨收,涨家数,跌家数,平家数,流值,主力流入,主力流出,主力净流入,超大单流入,超大单流出,超大单净流入,大单流入,大单流出,大单净流入,中单流入,中单流出,中单净流入,小单流入,小单流出,小单净流入,内盘,换手,涨跌,涨幅,振幅
2022-03-12,118413.7,119105.14,112220.34,113524.43,23145708,23004770304.0,12154032,BK0473,证券,114913.65,48,0,0,2155256832000.0,7752376144.0,7070310368.0,682065776.0,2164099664.0,1671750880.0,492348784.0,5588276480.0,5398559488.0,189716992.0,7675624448.0,7997476608.0,-321852160.0,7229453568.0,7589667072.0,-360213504.0,10991676,1.02,3500.05,3.05,5.99
2022-03-14,117218.39,119523.09,116476.46,116573.8,17927024,18560269824.0,8640963,BK0473,证券,118413.7,6,42,0,2129931920000.0,5770434096.0,5987502160.0,-217068064.0,1644361056.0,1487917392.0,156443664.0,4126073040.0,4499584768.0,-373511728.0,6215177984.0,6306262272.0,-91084288.0,6108517120.0,5800364544.0,308152576.0,9286061,0.79,-1195.31,-1.01,2.57
2022-03-15,113944.43,119468.45,113944.43,116464.28,25822729,26634292480.0,11846100,BK0473,证券,117218.39,5,43,0,2058224160000.0,8269036304.0,9092747776.0,-823711472.0,2124099600.0,2627699456.0,-503599856.0,6144936704.0,6465048320.0,-320111616.0,9080265984.0,8863470592.0,216795392.0,8838392064.0,8231476224.0,606915840.0,13976630,1.14,-3273.96,-2.79,4.71
2022-03-16,120549.26,121217.33,113952.31,115155.44,34375880,35311201536.0,18281214,BK0473,证券,113944.43,48,0,0,2177343680000.0,14743808256.0,11624509712.0,3119298544.0,5823064832.0,3182843152.0,2640221680.0,8920743424.0,8441666560.0,479076864.0,10842716672.0,12201519360.0,-1358802688.0,9232943616.0,10993439488.0,-1760495872.0,16094666,1.51,6604.83,5.8,6.38
2022-03-17,119963.98,122728.19,119627.58,121887.01,31446009,34006300928.0,13887491,BK0473,证券,120549.27,7,41,0,2163756368000.0,12032507456.0,13313272320.0,-1280764864.0,3631368768.0,4536753920.0,-905385152.0,8401138688.0,8776518400.0,-375379712.0,11158366976.0,10803575808.0,354791168.0,9816240384.0,8890266624.0,925973760.0,17558518,1.38,-585.29,-0.49,2.57
2022-03-18,120812.51,121628.59,119196.5,119630.14,22341441,23660497664.0,11323905,BK0473,证券,119963.98,37,10,1,2183328880000.0,7598746096.0,7977554592.0,-378808496.0,2248900848.0,2206828448.0,42072400.0,5349845248.0,5770726144.0,-420880896.0,7585072128.0,7438721280.0,146350848.0,6836062720.0,6603605248.0,232457472.0,11017536,0.98,848.53,0.71,2.03
2022-03-21,119122.22,120149.29,118449.64,120026.56,18698069,19423003904.0,7619274,BK0473,证券,120812.52,5,43,0,2154801888000.0,5100808608.0,7017887184.0,-1917078576.0,1015419728.0,2199467984.0,-1184048256.0,4085388880.0,4818419200.0,-733030320.0,6791491584.0,6149700352.0,641791232.0,6980539904.0,5705252352.0,1275287552.0,11078795,0.82,-1690.3,-1.4,1.41
2022-03-22,119217.42,120492.53,118410.94,118573.18,14906007,15376350720.0,7251393,BK0473,证券,119122.23,18,22,8,2156599456000.0,4687724016.0,5122554464.0,-434830448.0,1158236144.0,1244797536.0,-86561392.0,3529487872.0,3877756928.0,-348269056.0,5123479808.0,5215721984.0,-92242176.0,5265992704.0,4738920192.0,527072512.0,7654614,0.66,95.19,0.08,1.75
2022-03-23,118742.86,119750.21,118572.59,119099.96,12136163,12524733440.0,5442677,BK0473,证券,119217.41,12,30,6,2152368512000.0,3617906064.0,4287591280.0,-669685216.0,854155056.0,1124389488.0,-270234432.0,2763751008.0,3163201792.0,-399450784.0,4298689280.0,4185674864.0,113014416.0,4327835904.0,3771165216.0,556670688.0,6693485,0.53,-474.55,-0.4,0.99
2022-03-24,117175.29,118340.55,117105.59,117950.42,12677297,12760997632.0,5375184,BK0473,证券,118742.87,4,44,0,2124768528000.0,3374148912.0,4236078560.0,-861929648.0,677310112.0,1179090928.0,-501780816.0,2696838800.0,3056987632.0,-360148832.0,4347028224.0,4289899376.0,57128848.0,4741536000.0,3936735120.0,804800880.0,7302112,0.56,-1567.58,-1.32,1.04
2022-03-25,116123.19,118703.11,116115.81,117205.36,12593936,12673023232.0,5665771,BK0473,证券,117175.29,6,40,2,2103716432000.0,3347250720.0,4309257824.0,-962007104.0,564211440.0,1256903872.0,-692692432.0,2783039280.0,3052353952.0,-269314672.0,4365642752.0,4253684352.0,111958400.0,4705069824.0,3855021072.0,850048752.0,6928164,0.56,-1052.1,-0.9,2.21
2022-03-28,116463.7,117398.06,114745.82,114864.63,12686479,12700512000.0,6563852,BK0473,证券,116123.2,32,8,8,2110904688000.0,3610761376.0,3758380352.0,-147618976.0,781181040.0,771284576.0,9896464.0,2829580336.0,2987095776.0,-157515440.0,4263618544.0,4352049920.0,-88431376.0,4519953408.0,4283902992.0,236050416.0,6122627,0.56,340.5,0.29,2.28
