,最新,最高,最低,开盘,总量,总额,外盘,代码,名称,昨收,涨家数,跌家数,平家数,流值,主力流入,主力流出,主力净流入,超大单流入,超大单流出,超大单净流入,大单流入,大单流出,大单净流入,中单流入,中单流出,中单净流入,小单流入,小单流出,小单净流入,内盘,换手,涨跌,涨幅,振幅
2022-03-12,13556.49,13576.02,13135.32,13377.55,7263302,6346159616.0,3520667,BK0476,装修建材,13552.95,41,26,0,561614432000.0,1299613265.0,1559879728.0,-260266463.0,197476161.0,291726688.0,-94250527.0,1102137104.0,1268153040.0,-166015936.0,2123185456.0,2105268480.0,17916976.0,2739019344.0,2496669888.0,242349456.0,3742636,2.03,3.54,0.03,3.25
2022-03-14,13151.48,13497.51,13146.9,13497.51,7215911,6738664704.0,3122155,BK0476,装修建材,13556.49,4,62,1,542231776000.0,1490956128.0,1729222128.0,-238266000.0,349963952.0,441685136.0,-91721184.0,1140992176.0,1287536992.0,-146544816.0,2125451264.0,2202747728.0,-77296464.0,2992476800.0,2676914320.0,315562480.0,4093756,2.02,-405.01,-2.99,2.59
2022-03-15,12392.39,13089.85,12383.5,13089.85,8683094,9289241856.0,3728110,BK0476,装修建材,13151.48,3,64,0,507635744000.0,1991390176.0,2409242640.0,-417852464.0,433335664.0,543182512.0,-109846848.0,1558054512.0,1866060128.0,-308005616.0,3029346256.0,3365005968.0,-335659712.0,4136014432.0,3382502240.0,753512192.0,4954984,2.43,-759.09,-5.77,5.37
2022-03-16,12712.77,12746.86,12155.26,12541.83,8795884,8664203520.0,4497176,BK0476,装修建材,12392.39,62,3,2,518459328000.0,1856070064.0,1802587520.0,53482544.0,363781200.0,374625808.0,-10844608.0,1492288864.0,1427961712.0,64327152.0,3000272976.0,2995497296.0,4775680.0,3655339936.0,3713598160.0,-58258224.0,4298708,2.46,320.38,2.59,4.77
2022-03-17,13160.44,13317.42,12883.09,12883.09,9297023,9879948032.0,4769827,BK0476,装修建材,12712.77,60,7,0,548678608000.0,2838454000.0,2389794016.0,448659984.0,776089536.0,396274224.0,379815312.0,2062364464.0,1993519792.0,68844672.0,3338004688.0,3456555712.0,-118551024.0,3551965136.0,3882074096.0,-330108960.0,4527196,2.6,447.67,3.52,3.42
2022-03-18,13547.19,13583.38,13087.36,13137.67,8426529,8501474048.0,4393918,BK0476,装修建材,13160.44,60,6,1,558353632000.0,2257831856.0,1973698000.0,284133856.0,676140368.0,426284912.0,249855456.0,1581691488.0,1547413088.0,34278400.0,2890313152.0,2837671936.0,52641216.0,3119824768.0,3456599840.0,-336775072.0,4032612,2.35,386.75,2.94,3.77
2022-03-21,13716.53,13716.53,13525.24,13655.53,10091130,9289043200.0,4901557,BK0476,装修建材,13547.19,44,22,1,556068272000.0,2404918768.0,2547340912.0,-142422144.0,738951664.0,764085888.0,-25134224.0,1665967104.0,1783255024.0,-117287920.0,2981680432.0,3040364704.0,-58684272.0,3606506592.0,3405400160.0,201106432.0,5189573,2.82,169.34,1.25,1.41
2022-03-22,13838.05,13975.62,13486.72,13660.88,10511655,10537449472.0,4964057,BK0476,装修建材,13716.53,42,24,1,564412448000.0,2565001632.0,2916769632.0,-351768000.0,535440512.0,686505440.0,-151064928.0,2029561120.0,2230264192.0,-200703072.0,3535179184.0,3504467264.0,30711920.0,4144499680.0,3823443584.0,321056096.0,5547597,2.94,121.52,0.89,3.56
2022-03-23,13685.7,13803.0,13580.75,13802.25,8843694,8332668160.0,3905755,BK0476,装修建材,13838.05,19,46,2,558477472000.0,1596899859.0,2034423936.0,-437524077.0,255615683.0,430525008.0,-174909325.0,1341284176.0,1603898928.0,-262614752.0,2909467472.0,2855277920.0,54189552.0,3612168704.0,3228834160.0,383334544.0,4937939,2.47,-152.35,-1.1,1.61
2022-03-24,13419.52,13585.13,13366.37,13580.45,7822261,8398942464.0,3569068,BK0476,装修建材,13685.7,10,57,0,543192896000.0,1719460384.0,2248526672.0,-529066288.0,292671728.0,462848016.0,-170176288.0,1426788656.0,1785678656.0,-358890000.0,2798788656.0,2895743904.0,-96955248.0,3667451600.0,3041430064.0,626021536.0,4253193,2.19,-266.18,-1.94,1.6
