,最新,最高,最低,开盘,总量,总额,外盘,代码,名称,昨收,涨家数,跌家数,平家数,流值,主力流入,主力流出,主力净流入,超大单流入,超大单流出,超大单净流入,大单流入,大单流出,大单净流入,中单流入,中单流出,中单净流入,小单流入,小单流出,小单净流入,内盘,换手,涨跌,涨幅,振幅
2022-03-12,14243.71,14280.93,13853.07,14183.12,22905006,18011238656.0,11354038,BK0478,有色金属,14312.29,24,42,4,808700096000.0,5362656672.0,5589980416.0,-227323744.0,1201288864.0,1344026032.0,-142737168.0,4161367808.0,4245954384.0,-84586576.0,5864361728.0,5921277440.0,-56915712.0,6492313856.0,6208074496.0,284239360.0,11550968,2.17,-68.58,-0.48,2.99
2022-03-14,13707.09,14159.39,13707.09,14106.01,21120894,17062373888.0,8326202,BK0478,有色金属,14243.71,3,65,2,778157616000.0,4266521328.0,6127825024.0,-1861303696.0,925197456.0,2155925600.0,-1230728144.0,3341323872.0,3971899424.0,-630575552.0,5420970752.0,5220451584.0,200519168.0,7066185728.0,5405401344.0,1660784384.0,12794692,2.0,-536.62,-3.77,3.18
2022-03-15,12852.14,13591.43,12852.14,13591.43,28524664,20417817344.0,11588768,BK0478,有色金属,13707.09,1,67,2,721999744000.0,5549150432.0,7370165552.0,-1821015120.0,1260096064.0,2500266288.0,-1240170224.0,4289054368.0,4869899264.0,-580844896.0,6511121408.0,6256278272.0,254843136.0,8097676288.0,6531504384.0,1566171904.0,16935896,2.7,-854.95,-6.24,5.39
2022-03-16,13289.84,13320.71,12603.23,13043.26,22818008,17683188224.0,11649386,BK0478,有色金属,12852.14,65,4,1,749223968000.0,5370340048.0,5023944000.0,346396048.0,1520454912.0,1179010464.0,341444448.0,3849885136.0,3844933536.0,4951600.0,5724302080.0,5815621120.0,-91319040.0,6328535040.0,6583612160.0,-255077120.0,11168621,2.16,437.7,3.41,5.58
2022-03-17,13517.52,13721.78,13427.52,13450.84,20831088,17414451200.0,10197654,BK0478,有色金属,13289.84,57,12,1,763399360000.0,5689096880.0,5715415456.0,-26318576.0,1574622928.0,1716816016.0,-142193088.0,4114473952.0,3998599440.0,115874512.0,5418790912.0,5450216704.0,-31425792.0,5980022784.0,5922278400.0,57744384.0,10633433,1.97,227.68,1.71,2.21
2022-03-18,13787.52,13794.02,13472.42,13520.63,18345610,14975029504.0,10311346,BK0478,有色金属,13517.52,55,14,1,782714304000.0,4883110912.0,4362069376.0,521041536.0,1635584960.0,1169048624.0,466536336.0,3247525952.0,3193020752.0,54505200.0,4529310720.0,4754144768.0,-224834048.0,5167101440.0,5463309056.0,-296207616.0,8034263,1.74,270.0,2.0,2.38
2022-03-21,13927.23,13964.34,13733.72,13836.65,17356843,15142645248.0,8007377,BK0478,有色金属,13787.52,46,20,4,793083344000.0,4457188224.0,4748426400.0,-291238176.0,1145062000.0,1265110544.0,-120048544.0,3312126224.0,3483315856.0,-171189632.0,4801681408.0,4835156480.0,-33475072.0,5608300032.0,5283586816.0,324713216.0,9349465,1.64,139.71,1.01,1.67
2022-03-22,13963.06,14037.81,13846.14,13930.37,16691017,14181282816.0,8978972,BK0478,有色金属,13927.23,33,34,3,799559440000.0,4342385776.0,4442415568.0,-100029792.0,1238061104.0,1240043792.0,-1982688.0,3104324672.0,3202371776.0,-98047104.0,4630249216.0,4541049600.0,89199616.0,4960467456.0,4949637120.0,10830336.0,7712045,1.58,35.83,0.26,1.38
2022-03-23,13986.9,14014.65,13862.33,13953.93,13655665,11958579968.0,6118175,BK0478,有色金属,13963.06,32,37,1,799608832000.0,3233556000.0,3696415392.0,-462859392.0,854614448.0,1088928080.0,-234313632.0,2378941552.0,2607487312.0,-228545760.0,3859985232.0,3885705280.0,-25720048.0,4647374592.0,4158795232.0,488579360.0,7537489,1.29,23.84,0.17,1.09
2022-03-24,13945.62,14104.92,13864.56,14039.93,19789298,16153510144.0,9897819,BK0478,有色金属,13986.89,26,44,0,802119056000.0,5023557984.0,4909662480.0,113895504.0,1261500608.0,1309903552.0,-48402944.0,3762057376.0,3599758928.0,162298448.0,5356893952.0,5134478848.0,222415104.0,5440171776.0,5776482304.0,-336310528.0,9891479,1.87,-41.27,-0.3,1.72
2022-03-25,13780.52,14039.96,13778.44,13909.58,16208040,14011395840.0,7203014,BK0478,有色金属,13945.62,16,51,3,789582096000.0,3678864320.0,4969891856.0,-1291027536.0,805012656.0,1535282400.0,-730269744.0,2873851664.0,3434609456.0,-560757792.0,4610000896.0,4411522048.0,198478848.0,5437617920.0,4345069312.0,1092548608.0,9005026,1.53,-165.1,-1.18,1.88
