,最新,最高,最低,开盘,总量,总额,外盘,代码,名称,昨收,涨家数,跌家数,平家数,流值,主力流入,主力流出,主力净流入,超大单流入,超大单流出,超大单净流入,大单流入,大单流出,大单净流入,中单流入,中单流出,中单净流入,小单流入,小单流出,小单净流入,内盘,换手,涨跌,涨幅,振幅
2022-03-12,7709.17,7726.17,7492.19,7678.77,23368706,13106058752.0,10821215,BK0479,钢铁行业,7747.13,19,25,3,888432528000.0,3814156240.0,4377030960.0,-562874720.0,1051325008.0,1346239376.0,-294914368.0,2762831232.0,3030791584.0,-267960352.0,4023318864.0,3925495568.0,97823296.0,5027262208.0,4562210560.0,465051648.0,12547491,1.29,-37.96,-0.49,3.02
2022-03-14,7474.41,7702.87,7474.41,7617.15,19417385,10984137472.0,7845981,BK0479,钢铁行业,7709.17,1,46,0,861874352000.0,3089715840.0,3717419408.0,-627703568.0,766977472.0,1187767536.0,-420790064.0,2322738368.0,2529651872.0,-206913504.0,3371961328.0,3208316560.0,163644768.0,4279788000.0,3815729216.0,464058784.0,11571405,1.08,-234.76,-3.05,2.96
2022-03-15,6917.61,7421.29,6917.61,7421.29,33913661,16343676160.0,12343078,BK0479,钢铁行业,7474.41,0,47,0,796140272000.0,4504507456.0,5777468192.0,-1272960736.0,1037166384.0,1821203072.0,-784036688.0,3467341072.0,3956265120.0,-488924048.0,5184024320.0,4826654208.0,357370112.0,6439490560.0,5523899904.0,915590656.0,21570583,1.88,-556.8,-7.45,6.74
2022-03-16,7092.21,7123.19,6740.69,7024.6,27838554,13482437376.0,14435257,BK0479,钢铁行业,6917.61,44,2,1,819115792000.0,4482112880.0,4223576544.0,258536336.0,1319239984.0,1096180752.0,223059232.0,3162872896.0,3127395792.0,35477104.0,4192915088.0,4433526016.0,-240610928.0,4612045056.0,4629970432.0,-17925376.0,13403297,1.54,174.6,2.52,5.53
2022-03-17,7215.33,7319.91,7177.01,7177.9,24894314,13615860736.0,12645378,BK0479,钢铁行业,7092.21,43,4,0,838203200000.0,4847235776.0,4603200464.0,244035312.0,1633594192.0,1322857696.0,310736496.0,3213641584.0,3280342768.0,-66701184.0,4000266640.0,4323275008.0,-323008368.0,4509537792.0,4430564608.0,78973184.0,12248936,1.38,123.12,1.74,2.01
2022-03-18,7325.69,7341.5,7177.89,7202.07,19193295,10089522176.0,10524553,BK0479,钢铁行业,7215.33,42,5,0,847330896000.0,3456582208.0,3580869552.0,-124287344.0,1248343008.0,1124116160.0,124226848.0,2208239200.0,2456753392.0,-248514192.0,2780557632.0,3054433344.0,-273875712.0,3542612880.0,3144449824.0,398163056.0,8668742,1.06,110.36,1.53,2.27
2022-03-21,7355.59,7395.14,7263.68,7359.92,21744427,12192707584.0,8975069,BK0479,钢铁行业,7325.69,22,23,2,846626640000.0,3809000672.0,4466484656.0,-657483984.0,1111653840.0,1659636368.0,-547982528.0,2697346832.0,2806848288.0,-109501456.0,3788989808.0,3535622816.0,253366992.0,4376521216.0,3972404224.0,404116992.0,12769358,1.2,29.9,0.41,1.79
2022-03-22,7434.53,7478.9,7312.51,7347.97,21951378,11179970304.0,12536723,BK0479,钢铁行业,7355.58,36,10,1,859206416000.0,3912510496.0,3543493872.0,369016624.0,1283446944.0,938064752.0,345382192.0,2629063552.0,2605429120.0,23634432.0,3307727744.0,3432004512.0,-124276768.0,3795803008.0,4040542864.0,-244739856.0,9414656,1.22,78.95,1.07,2.26
2022-03-23,7405.69,7446.86,7355.37,7430.44,17319526,9374204928.0,7258529,BK0479,钢铁行业,7434.53,11,33,3,853756032000.0,2879994528.0,3226877552.0,-346883024.0,750147968.0,1087143664.0,-336995696.0,2129846560.0,2139733888.0,-9887328.0,2912721376.0,2785568672.0,127152704.0,3437679040.0,3217948704.0,219730336.0,10060997,0.96,-28.84,-0.39,1.23
2022-03-24,7352.68,7413.99,7333.42,7392.02,16294103,8787529984.0,7513826,BK0479,钢铁行业,7405.69,10,34,3,849243792000.0,2898980688.0,2895131424.0,3849264.0,842692528.0,863037168.0,-20344640.0,2056288160.0,2032094256.0,24193904.0,2608784176.0,2650454992.0,-41670816.0,3145021312.0,3107199760.0,37821552.0,8780278,0.9,-53.01,-0.72,1.09
2022-03-25,7316.81,7409.29,7305.99,7368.69,15380487,8542892032.0,6668130,BK0479,钢铁行业,7352.68,11,31,5,841666272000.0,2785496160.0,2887179440.0,-101683280.0,780730224.0,895943008.0,-115212784.0,2004765936.0,1991236432.0,13529504.0,2577554256.0,2586391472.0,-8837216.0,3039509808.0,2928989296.0,110520512.0,8712357,0.85,-35.87,-0.49,1.4
