,最新,最高,最低,开盘,总量,总额,外盘,代码,名称,昨收,涨家数,跌家数,平家数,流值,主力流入,主力流出,主力净流入,超大单流入,超大单流出,超大单净流入,大单流入,大单流出,大单净流入,中单流入,中单流出,中单净流入,小单流入,小单流出,小单净流入,内盘,换手,涨跌,涨幅,振幅
2022-03-12,7206.48,7217.33,6956.69,7038.39,23298883,16877079040.0,11734552,BK0486,文化传媒,7142.16,85,21,5,790194384000.0,3965739824.0,4355135744.0,-389395920.0,776104368.0,948045776.0,-171941408.0,3189635456.0,3407089968.0,-217454512.0,5754674944.0,5946124544.0,-191449600.0,6699665664.0,6118820096.0,580845568.0,11564330,2.16,64.32,0.9,3.65
2022-03-14,7006.93,7194.37,7006.93,7137.28,21779982,15978711552.0,9391115,BK0486,文化传媒,7206.48,10,100,1,762288240000.0,3379006112.0,4488163280.0,-1109157168.0,582934400.0,1036339312.0,-453404912.0,2796071712.0,3451823968.0,-655752256.0,5502914048.0,5398820608.0,104093440.0,6737410304.0,5732346368.0,1005063936.0,12388867,2.02,-199.55,-2.77,2.6
2022-03-15,6623.55,6965.13,6623.55,6960.81,25565859,17700463616.0,10797093,BK0486,文化传媒,7006.93,1,109,1,717347168000.0,3748603920.0,4947227040.0,-1198623120.0,708508160.0,993013984.0,-284505824.0,3040095760.0,3954213056.0,-914117296.0,6124702208.0,5961612288.0,163089920.0,7492650496.0,6457117440.0,1035533056.0,14768766,2.37,-383.38,-5.47,4.87
2022-03-16,6911.41,6923.42,6620.38,6718.23,26730129,19011682816.0,14560046,BK0486,文化传媒,6623.55,109,1,1,751205248000.0,5231915440.0,4516856704.0,715058736.0,1244580320.0,821653520.0,422926800.0,3987335120.0,3695203184.0,292131936.0,6530572800.0,6749646336.0,-219073536.0,6951719424.0,7447704576.0,-495985152.0,12170083,2.48,287.86,4.35,4.58
2022-03-17,7039.75,7142.57,6989.19,7006.62,28739247,21626343424.0,14485082,BK0486,文化传媒,6911.41,89,16,6,768786688000.0,5972250208.0,6200520112.0,-228269904.0,1394378080.0,1273822384.0,120555696.0,4577872128.0,4926697728.0,-348825600.0,7351030272.0,7496705024.0,-145674752.0,7795172096.0,7421227264.0,373944832.0,14254165,2.67,128.34,1.86,2.22
2022-03-18,7139.63,7157.31,6982.15,6997.74,21645846,15746881792.0,11102912,BK0486,文化传媒,7039.75,84,24,3,777677312000.0,3877000288.0,4320464096.0,-443463808.0,779804752.0,995236832.0,-215432080.0,3097195536.0,3325227264.0,-228031728.0,5289060608.0,5395452160.0,-106391552.0,6164159488.0,5614304000.0,549855488.0,10542934,2.01,99.88,1.42,2.49
2022-03-21,7179.61,7179.61,7086.15,7138.96,22359324,16197666048.0,10661286,BK0486,文化传媒,7139.63,61,40,10,775861072000.0,3991861536.0,4647896624.0,-656035088.0,764684352.0,1141058576.0,-376374224.0,3227177184.0,3506838048.0,-279660864.0,5695681280.0,5351546624.0,344134656.0,6160802816.0,5848902400.0,311900416.0,11698037,2.08,39.98,0.56,1.31
2022-03-22,7260.96,7309.07,7098.85,7148.15,24501661,18699139584.0,12627192,BK0486,文化传媒,7179.61,81,23,7,784869232000.0,5026835536.0,4891855648.0,134979888.0,998032752.0,863443792.0,134588960.0,4028802784.0,4028411856.0,390928.0,6673021696.0,6577403392.0,95618304.0,6660918784.0,6891516928.0,-230598144.0,11874469,2.27,81.35,1.13,2.93
2022-03-23,7246.57,7297.36,7222.88,7248.22,21797235,17165286912.0,10103800,BK0486,文化传媒,7260.96,37,69,5,782922752000.0,4319981200.0,4926149696.0,-606168496.0,955110384.0,1172067536.0,-216957152.0,3364870816.0,3754082160.0,-389211344.0,5956802304.0,5804158464.0,152643840.0,6542145792.0,6088621056.0,453524736.0,11693434,2.02,-14.39,-0.2,1.03
2022-03-24,7082.95,7197.07,7077.19,7197.07,18976830,14527583232.0,7844217,BK0486,文化传媒,7246.57,7,103,1,765934176000.0,3102670656.0,4538561392.0,-1435890736.0,585555952.0,1117434128.0,-531878176.0,2517114704.0,3421127264.0,-904012560.0,4948582400.0,4875672064.0,72910336.0,6196863488.0,4833882880.0,1362980608.0,11132613,1.76,-163.62,-2.26,1.65
2022-03-25,7179.95,7263.58,7097.93,7097.93,21124514,16715575040.0,10927176,BK0486,文化传媒,7082.95,80,23,8,771445392000.0,4826656976.0,4108372704.0,718284272.0,1383732528.0,766363488.0,617369040.0,3442924448.0,3342009216.0,100915232.0,5656553472.0,5940946688.0,-284393216.0,5938996480.0,6372887552.0,-433891072.0,10197338,1.96,97.0,1.37,2.34
2022-03-28,7301.27,7371.1,7116.36,7162.66,25079244,20771311360.0,13042910,BK0486,文化传媒,7179.95,91,18,2,782328832000.0,5831837808.0,5667709728.0,164128080.0,1621025296.0,1241972768.0,379052528.0,4210812512.0,4425736960.0,-214924448.0,7148290560.0,7199342336.0,-51051776.0,7358718208.0,7471794432.0,-113076224.0,12036334,2.33,121.32,1.69,3.55
