,最新,最高,最低,开盘,总量,总额,外盘,代码,名称,昨收,涨家数,跌家数,平家数,流值,主力流入,主力流出,主力净流入,超大单流入,超大单流出,超大单净流入,大单流入,大单流出,大单净流入,中单流入,中单流出,中单净流入,小单流入,小单流出,小单净流入,内盘,换手,涨跌,涨幅,振幅
2022-03-12,583.39,585.78,566.53,585.69,2265024,3308699920.0,969167,BK0726,工程咨询服务,595.25,6,30,0,90120879000.0,552234428.0,750528863.0,-198294435.0,60394636.0,115863215.0,-55468579.0,491839792.0,634665648.0,-142825856.0,1197455104.0,1265899920.0,-68444816.0,1482365888.0,1215626624.0,266739264.0,1295857,2.91,-11.86,-1.99,3.23
2022-03-14,570.21,588.91,570.21,578.17,1909319,2984530320.0,864287,BK0726,工程咨询服务,583.39,7,29,0,87972944000.0,560408112.0,637466591.0,-77058479.0,54241872.0,77728463.0,-23486591.0,506166240.0,559738128.0,-53571888.0,1127129808.0,1108342288.0,18787520.0,1234184032.0,1175913088.0,58270944.0,1045032,2.46,-13.18,-2.26,3.21
2022-03-15,553.34,581.35,553.34,566.85,3467476,4742264832.0,1527688,BK0726,工程咨询服务,570.21,7,29,0,85265802000.0,1134081952.0,1244496730.0,-110414778.0,342305328.0,254683322.0,87622006.0,791776624.0,989813408.0,-198036784.0,1697108624.0,1706019552.0,-8910928.0,1841433936.0,1722108224.0,119325712.0,1939789,4.46,-16.87,-2.96,4.91
2022-03-16,570.71,570.71,544.22,558.19,3225256,4419353856.0,1610724,BK0726,工程咨询服务,553.34,33,3,0,88033383000.0,951617456.0,1001066490.0,-49449034.0,141838240.0,145534410.0,-3696170.0,809779216.0,855532080.0,-45752864.0,1647807952.0,1635313104.0,12494848.0,1707849600.0,1670895408.0,36954192.0,1614532,4.15,17.37,3.14,4.79
2022-03-17,579.57,585.24,572.58,576.12,3123672,4931680000.0,1505912,BK0726,工程咨询服务,570.71,30,4,2,89432170000.0,1079126890.0,1141974855.0,-62847965.0,129809642.0,141565207.0,-11755565.0,949317248.0,1000409648.0,-51092400.0,1925748704.0,1900065856.0,25682848.0,1825975280.0,1788810176.0,37165104.0,1617760,4.02,8.86,1.55,2.22
2022-03-18,608.84,610.25,573.79,575.95,3752815,6499384320.0,2091446,BK0726,工程咨询服务,579.57,35,1,0,92957099000.0,1902121936.0,1602195245.0,299926691.0,529927584.0,222279645.0,307647939.0,1372194352.0,1379915600.0,-7721248.0,2378927712.0,2564778688.0,-185850976.0,2109917488.0,2223993200.0,-114075712.0,1661369,4.83,29.27,5.05,6.29
2022-03-21,613.22,615.67,605.31,611.38,3573968,6280445952.0,1704344,BK0726,工程咨询服务,608.84,19,15,2,93523837000.0,1338042657.0,1705651264.0,-367608607.0,181448497.0,324501680.0,-143053183.0,1156594160.0,1381149584.0,-224555424.0,2347331184.0,2399045040.0,-51713856.0,2414583808.0,1995261344.0,419322464.0,1869624,4.6,4.38,0.72,1.7
2022-03-22,608.46,613.33,600.12,608.71,2653258,4486040576.0,1251452,BK0726,工程咨询服务,613.22,13,21,2,93003727000.0,819031235.0,1049610011.0,-230578776.0,88621971.0,154436923.0,-65814952.0,730409264.0,895173088.0,-164763824.0,1678282992.0,1738398880.0,-60115888.0,1875416176.0,1584721520.0,290694656.0,1401806,3.41,-4.76,-0.78,2.15
2022-03-23,603.36,612.99,600.85,607.23,2090206,3427107600.0,940925,BK0726,工程咨询服务,608.46,13,23,0,92235548000.0,591089198.0,832469233.0,-241380035.0,72878382.0,136535761.0,-63657379.0,518210816.0,695933472.0,-177722656.0,1255650848.0,1310733392.0,-55082544.0,1494145472.0,1197682912.0,296462560.0,1149282,2.69,-5.1,-0.84,2.0
2022-03-24,592.47,603.35,591.64,601.87,2078378,3565098384.0,931960,BK0726,工程咨询服务,603.36,4,32,0,90082729000.0,733144712.0,835211069.0,-102066357.0,110140440.0,117789693.0,-7649253.0,623004272.0,717421376.0,-94417104.0,1283480624.0,1387520048.0,-104039424.0,1469142704.0,1263036912.0,206105792.0,1146418,2.67,-10.89,-1.8,1.94
2022-03-25,582.84,592.87,582.84,590.29,1787592,2968833600.0,849337,BK0726,工程咨询服务,592.47,6,28,2,88857205000.0,455809560.0,768114928.0,-312305368.0,49535096.0,158070800.0,-108535704.0,406274464.0,610044128.0,-203769664.0,1045258640.0,1103777264.0,-58518624.0,1394668624.0,1023844640.0,370823984.0,938255,2.3,-9.63,-1.63,1.69
