,最新,最高,最低,开盘,总量,总额,外盘,代码,名称,昨收,涨家数,跌家数,平家数,流值,主力流入,主力流出,主力净流入,超大单流入,超大单流出,超大单净流入,大单流入,大单流出,大单净流入,中单流入,中单流出,中单净流入,小单流入,小单流出,小单净流入,内盘,换手,涨跌,涨幅,振幅
2022-03-12,961.19,964.03,920.63,929.65,6986825,10484898048.0,3624395,BK0735,计算机设备,942.84,38,7,2,807440384000.0,3237021728.0,3006662032.0,230359696.0,914425008.0,663013568.0,251411440.0,2322596720.0,2343648464.0,-21051744.0,3606653152.0,3690652224.0,-83999072.0,3478748464.0,3625109104.0,-146360640.0,3362431,1.84,18.35,1.95,4.6
2022-03-14,938.33,962.71,938.33,952.15,6295015,9825499904.0,2784717,BK0735,计算机设备,961.19,7,40,0,777601456000.0,2378786000.0,2976529312.0,-597743312.0,477131776.0,763440080.0,-286308304.0,1901654224.0,2213089232.0,-311435008.0,3461946480.0,3309468112.0,152478368.0,3771724512.0,3326459568.0,445264944.0,3510298,1.66,-22.86,-2.38,2.54
2022-03-15,900.33,947.18,900.33,935.04,7693060,11715455744.0,3282844,BK0735,计算机设备,938.33,3,44,0,745287744000.0,3177545584.0,3589711872.0,-412166288.0,712262832.0,862995376.0,-150732544.0,2465282752.0,2726716496.0,-261433744.0,4038939344.0,4110545408.0,-71606064.0,4301259520.0,3817487136.0,483772384.0,4410215,2.02,-38.0,-4.05,4.99
2022-03-16,938.29,940.65,893.39,914.96,9251886,13580253952.0,4645082,BK0735,计算机设备,900.33,47,0,0,765893536000.0,4164148448.0,3906031184.0,258117264.0,1118433120.0,868146672.0,250286448.0,3045715328.0,3037884512.0,7830816.0,4598149376.0,4970980096.0,-372830720.0,4567093504.0,4452379904.0,114713600.0,4606805,2.43,37.96,4.22,5.25
2022-03-17,959.97,966.13,943.5,946.48,11286597,15542350592.0,5534191,BK0735,计算机设备,938.29,43,4,0,791599536000.0,4892143360.0,4655309504.0,236833856.0,1230890576.0,1139875680.0,91014896.0,3661252784.0,3515433824.0,145818960.0,5312538112.0,5540360192.0,-227822080.0,5050638080.0,5059649792.0,-9011712.0,5752406,2.97,21.68,2.31,2.41
2022-03-18,959.89,964.37,949.11,950.57,8804582,10569563648.0,4474039,BK0735,计算机设备,959.97,30,16,1,785916320000.0,2676521552.0,3150815232.0,-474293680.0,509558928.0,854662352.0,-345103424.0,2166962624.0,2296152880.0,-129190256.0,3550039072.0,3609348016.0,-59308944.0,3999240144.0,3465637504.0,533602640.0,4330543,2.32,-0.08,-0.01,1.59
2022-03-21,964.04,967.41,951.22,956.42,8581469,10684734464.0,3934901,BK0735,计算机设备,959.89,28,18,1,773754000000.0,2755078624.0,3396277328.0,-641198704.0,548937952.0,829096560.0,-280158608.0,2206140672.0,2567180768.0,-361040096.0,3672868544.0,3654922720.0,17945824.0,4009943440.0,3386690576.0,623252864.0,4646568,2.26,4.15,0.43,1.69
2022-03-22,965.63,972.03,958.13,961.81,7279937,9486808064.0,3629452,BK0735,计算机设备,964.04,23,21,3,774257808000.0,2446494816.0,2644631520.0,-198136704.0,489060576.0,508755520.0,-19694944.0,1957434240.0,2135876000.0,-178441760.0,3405304464.0,3431414944.0,-26110480.0,3463836768.0,3239589600.0,224247168.0,3650486,1.91,1.59,0.16,1.44
2022-03-23,962.11,968.41,957.01,962.69,6384186,8715194880.0,2828483,BK0735,计算机设备,965.63,16,29,2,782192832000.0,2274201872.0,2491556336.0,-217354464.0,495428736.0,567422496.0,-71993760.0,1778773136.0,1924133840.0,-145360704.0,3042072288.0,3162422624.0,-120350336.0,3236815008.0,2899110224.0,337704784.0,3555703,1.68,-3.52,-0.36,1.18
2022-03-24,938.11,956.48,936.36,956.48,6042770,7862315776.0,2389362,BK0735,计算机设备,962.11,4,42,1,763588128000.0,1748822384.0,2323200912.0,-574378528.0,289348144.0,558054992.0,-268706848.0,1459474240.0,1765145920.0,-305671680.0,2722453072.0,2754993696.0,-32540624.0,3237022768.0,2630103632.0,606919136.0,3653408,1.59,-24.0,-2.49,2.09
2022-03-25,929.32,953.06,929.32,945.18,5516837,7467304704.0,2449482,BK0735,计算机设备,938.11,15,31,1,751925408000.0,1867598736.0,2212466320.0,-344867584.0,385615408.0,446190448.0,-60575040.0,1481983328.0,1766275872.0,-284292544.0,2536301584.0,2515794560.0,20507024.0,2885922208.0,2561561664.0,324360544.0,3067355,1.45,-8.79,-0.94,2.53
2022-03-28,925.46,934.52,908.82,919.86,4476114,6139488512.0,2157705,BK0735,计算机设备,929.32,17,29,1,741227904000.0,1378445936.0,1619484416.0,-241038480.0,286850112.0,347285216.0,-60435104.0,1091595824.0,1272199200.0,-180603376.0,2157104608.0,2103358736.0,53745872.0,2467271056.0,2279978432.0,187292624.0,2318409,1.18,-3.86,-0.42,2.77
2022-03-29,907.98,928.46,904.18,926.27,5463746,7645668352.0,2268643,BK0735,计算机设备,925.46,4,42,1,733582240000.0,1941382192.0,2468350352.0,-526968160.0,476849888.0,619543136.0,-142693248.0,1464532304.0,1848807216.0,-384274912.0,2548458576.0,2645828480.0,-97369904.0,3048841552.0,2424503504.0,624338048.0,3195103,1.44,-17.48,-1.89,2.62
2022-03-30,920.95,921.09,905.4,911.34,5171124,7664937984.0,2675723,BK0735,计算机设备,907.98,40,5,2,751024032000.0,2525859152.0,2172287200.0,353571952.0,689576192.0,517768640.0,171807552.0,1836282960.0,1654518560.0,181764400.0,2437475440.0,2748977808.0,-311502368.0,2578489392.0,2620558976.0,-42069584.0,2495401,1.36,12.97,1.43,1.73
2022-03-31,938.81,940.44,915.93,920.91,7447108,10022851072.0,4038409,BK0735,计算机设备,920.95,29,16,2,751019232000.0,3097379792.0,2733953008.0,363426784.0,846748704.0,504607728.0,342140976.0,2250631088.0,2229345280.0,21285808.0,3419223840.0,3616501760.0,-197277920.0,3342375840.0,3508524704.0,-166148864.0,3408699,1.96,17.86,1.94,2.66
2022-04-01,928.95,936.72,925.5,936.72,6151947,8935884800.0,2830203,BK0735,计算机设备,938.81,12,32,3,752212544000.0,2232953040.0,2805600304.0,-572647264.0,445478928.0,687606976.0,-242128048.0,1787474112.0,2117993328.0,-330519216.0,3131829808.0,3067640976.0,64188832.0,3368080016.0,2859621568.0,508458448.0,3321744,1.62,-9.86,-1.05,1.2
2022-04-06,944.3,946.86,929.27,930.06,7100632,9212440832.0,3849581,BK0735,计算机设备,928.95,37,10,0,752162816000.0,2430588656.0,2322633776.0,107954880.0,573307984.0,459754992.0,113552992.0,1857280672.0,1862878784.0,-5598112.0,3228849856.0,3274232016.0,-45382160.0,3375225456.0,3437798192.0,-62572736.0,3251052,1.87,15.35,1.65,1.89
2022-04-07,918.83,943.55,918.83,941.5,6766633,8626792704.0,2794847,BK0735,计算机设备,944.3,5,41,1,737782304000.0,1859616304.0,2470866720.0,-611250416.0,360482544.0,645701136.0,-285218592.0,1499133760.0,1825165584.0,-326031824.0,2995242944.0,2949543312.0,45699632.0,3566111664.0,3000560864.0,565550800.0,3971786,1.78,-25.47,-2.7,2.62
2022-04-08,899.39,918.18,890.61,917.43,6379573,8734571008.0,2837028,BK0735,计算机设备,918.83,7,40,0,725762512000.0,2070557200.0,2486541232.0,-415984032.0,350075712.0,736946544.0,-386870832.0,1720481488.0,1749594688.0,-29113200.0,3011658496.0,3061984480.0,-50325984.0,3507864704.0,3041554720.0,466309984.0,3542546,1.68,-19.44,-2.12,3.0
2022-04-11,863.41,891.07,856.93,890.6,7583455,8460827392.0,3453833,BK0735,计算机设备,899.39,3,44,0,691851360000.0,1864044976.0,2881130176.0,-1017085200.0,359331280.0,723373552.0,-364042272.0,1504713696.0,2157756624.0,-653042928.0,2856188592.0,2719306256.0,136882336.0,3583493328.0,2703290464.0,880202864.0,4129623,1.99,-35.98,-4.0,3.8
2022-04-12,881.66,881.74,853.46,859.38,6098724,8206750720.0,3222671,BK0735,计算机设备,863.41,43,4,0,708579568000.0,2323933008.0,2334598928.0,-10665920.0,643776096.0,564780608.0,78995488.0,1680156912.0,1769818320.0,-89661408.0,2767550832.0,2765995344.0,1555488.0,2984389024.0,2975278576.0,9110448.0,2876053,1.6,18.25,2.11,3.28
2022-04-13,856.43,876.06,856.43,876.06,5375325,6989105664.0,2219096,BK0735,计算机设备,881.66,6,41,0,703498752000.0,1669739872.0,2051874640.0,-382134768.0,287364768.0,503691296.0,-216326528.0,1382375104.0,1548183344.0,-165808240.0,2392023152.0,2552337344.0,-160314192.0,2818153008.0,2275704048.0,542448960.0,3156229,1.41,-25.23,-2.86,2.23
2022-04-14,858.45,865.07,856.3,861.06,4513269,6139964672.0,2169354,BK0735,计算机设备,856.43,28,17,2,716742272000.0,1721160560.0,1748479072.0,-27318512.0,350430288.0,337271808.0,13158480.0,1370730272.0,1411207264.0,-40476992.0,2014282688.0,2103176016.0,-88893328.0,2303872368.0,2187660512.0,116211856.0,2343915,1.19,2.02,0.24,1.02
2022-04-15,834.77,851.67,829.73,851.6,5618240,6303038208.0,2324863,BK0735,计算机设备,858.45,6,41,0,714822800000.0,1427372864.0,1799226496.0,-371853632.0,271164640.0,348958496.0,-77793856.0,1156208224.0,1450268000.0,-294059776.0,2110984656.0,2167035056.0,-56050400.0,2649163168.0,2221259136.0,427904032.0,3293377,1.48,-23.68,-2.76,2.56
2022-04-18,840.04,843.88,817.09,831.55,5214898,7176374784.0,2513113,BK0735,计算机设备,834.77,32,14,1,733802912000.0,2571916608.0,2535567712.0,36348896.0,946132560.0,960597280.0,-14464720.0,1625784048.0,1574970432.0,50813616.0,2139787088.0,2217183456.0,-77396368.0,2350133360.0,2309085888.0,41047472.0,2701785,1.37,5.27,0.63,3.21
2022-04-19,839.77,848.21,835.09,840.13,4010668,5252126208.0,1903685,BK0735,计算机设备,840.04,27,16,4,730919920000.0,1393357754.0,1535025264.0,-141667510.0,257956394.0,390837072.0,-132880678.0,1135401360.0,1144188192.0,-8786832.0,1737185904.0,1752837280.0,-15651376.0,2022322496.0,1865003600.0,157318896.0,2106984,1.05,-0.27,-0.03,1.56
2022-04-20,837.78,854.13,834.88,846.28,5181063,5992189696.0,2229487,BK0735,计算机设备,839.77,16,30,1,729136848000.0,1644090016.0,1570320608.0,73769408.0,340290016.0,327157312.0,13132704.0,1303800000.0,1243163296.0,60636704.0,1999836832.0,2132985712.0,-133148880.0,2231717792.0,2172338320.0,59379472.0,2951576,1.36,-1.99,-0.24,2.29
2022-04-21,800.25,836.78,798.85,832.93,6084816,6497873408.0,2767791,BK0735,计算机设备,837.78,3,43,1,710043936000.0,1446569986.0,2016698736.0,-570128750.0,207573154.0,471070992.0,-263497838.0,1238996832.0,1545627744.0,-306630912.0,2257081360.0,2193776464.0,63304896.0,2684192000.0,2177368144.0,506823856.0,3317025,1.6,-37.53,-4.48,4.53
2022-04-22,783.06,797.12,780.42,791.44,5742260,6390979072.0,2801201,BK0735,计算机设备,800.25,11,35,1,706312368000.0,1545510528.0,1821385920.0,-275875392.0,279817648.0,373431312.0,-93613664.0,1265692880.0,1447954608.0,-182261728.0,2255096048.0,2108488320.0,146607728.0,2444602928.0,2315335248.0,129267680.0,2941059,1.51,-17.19,-2.15,2.09
2022-04-25,709.43,767.04,709.43,767.04,7061271,7740884480.0,3211692,BK0735,计算机设备,783.06,0,47,0,670113440000.0,1874304064.0,2340761440.0,-466457376.0,381983456.0,553402416.0,-171418960.0,1492320608.0,1787359024.0,-295038416.0,2592062160.0,2632611216.0,-40549056.0,3113058400.0,2606051984.0,507006416.0,3849579,1.86,-73.63,-9.4,7.36
2022-04-26,670.27,709.29,668.55,704.14,7203363,7724709888.0,3375243,BK0735,计算机设备,709.43,5,41,0,648544016000.0,1791854368.0,2691686544.0,-899832176.0,337058992.0,731435472.0,-394376480.0,1454795376.0,1960251072.0,-505455696.0,2591442960.0,2605716112.0,-14273152.0,3246919664.0,2332814320.0,914105344.0,3828120,1.94,-39.16,-5.52,5.74
2022-04-27,694.43,694.91,648.68,655.53,8579289,8862744832.0,4850793,BK0735,计算机设备,670.27,42,4,0,681682416000.0,2816165280.0,2574162656.0,242002624.0,705150240.0,828062048.0,-122911808.0,2111015040.0,1746100608.0,364914432.0,2819516944.0,3078415056.0,-258898112.0,3091734960.0,3074839456.0,16895504.0,3728496,2.25,24.16,3.6,6.9
2022-04-28,672.89,691.51,666.71,682.6,6909760,6986722304.0,3126606,BK0735,计算机设备,694.42,4,42,0,671894272000.0,1689102528.0,2173709472.0,-484606944.0,381124848.0,541953840.0,-160828992.0,1307977680.0,1631755632.0,-323777952.0,2391438896.0,2231235808.0,160203088.0,2783764096.0,2459360256.0,324403840.0,3783154,1.85,-21.53,-3.1,3.57
2022-04-29,703.95,708.19,677.18,677.18,5714686,8161636864.0,3192963,BK0735,计算机设备,672.89,41,2,3,699381680000.0,2827557904.0,2490675184.0,336882720.0,674168960.0,514675184.0,159493776.0,2153388944.0,1976000000.0,177388944.0,2490591952.0,2616134688.0,-125542736.0,2706025344.0,2917365328.0,-211339984.0,2521723,1.54,31.06,4.62,4.61
2022-05-02,703.95,708.19,677.18,677.18,5714686,8161636864.0,3192963,BK0735,计算机设备,672.89,41,2,3,699381680000.0,2827557904.0,2490675184.0,336882720.0,674168960.0,514675184.0,159493776.0,2153388944.0,1976000000.0,177388944.0,2490591952.0,2616134688.0,-125542736.0,2706025344.0,2917365328.0,-211339984.0,2521723,1.53,31.06,4.62,4.61
2022-05-03,703.95,708.19,677.18,677.18,5714686,8161636864.0,3192963,BK0735,计算机设备,672.89,41,2,3,699381680000.0,2827557904.0,2490675184.0,336882720.0,674168960.0,514675184.0,159493776.0,2153388944.0,1976000000.0,177388944.0,2490591952.0,2616134688.0,-125542736.0,2706025344.0,2917365328.0,-211339984.0,2521723,1.53,31.06,4.62,4.61
2022-05-04,703.95,708.19,677.18,677.18,5714686,8161636864.0,3192963,BK0735,计算机设备,672.89,41,2,3,699381680000.0,2827557904.0,2490675184.0,336882720.0,674168960.0,514675184.0,159493776.0,2153388944.0,1976000000.0,177388944.0,2490591952.0,2616134688.0,-125542736.0,2706025344.0,2917365328.0,-211339984.0,2521723,1.53,31.06,4.62,4.61
2022-05-09,711.92,719.86,703.38,703.38,5791718,9446171648.0,2813186,BK0735,计算机设备,711.09,30,14,2,631808368000.0,3282549168.0,3999058752.0,-716509584.0,1102835504.0,1234146992.0,-131311488.0,2179713664.0,2764911760.0,-585198096.0,2757842544.0,2663172944.0,94669600.0,3125167568.0,2503327584.0,621839984.0,2978533,1.55,0.83,0.12,2.32
2022-05-10,723.17,723.63,701.06,704.37,6362146,8585124864.0,3423520,BK0735,计算机设备,711.92,38,4,4,633431616000.0,2574172048.0,2713751792.0,-139579744.0,725921408.0,853381440.0,-127460032.0,1848250640.0,1860370352.0,-12119712.0,2812527520.0,2979167344.0,-166639824.0,3023075536.0,2716855952.0,306219584.0,2938626,1.7,11.25,1.58,3.17
2022-05-11,717.35,736.53,717.16,721.1,7594126,11636081664.0,3693912,BK0735,计算机设备,723.17,14,28,4,643489024000.0,4237949168.0,4413295968.0,-175346800.0,1587549840.0,1606768176.0,-19218336.0,2650399328.0,2806527792.0,-156128464.0,3523376704.0,3518731952.0,4644752.0,3653959824.0,3483257760.0,170702064.0,3900214,2.03,-5.82,-0.8,2.68
2022-05-12,722.11,725.81,711.42,711.43,6227165,9851473664.0,2982608,BK0735,计算机设备,717.35,34,9,3,632608144000.0,3008077168.0,3180500160.0,-172422992.0,1153444000.0,892068000.0,261376000.0,1854633168.0,2288432160.0,-433798992.0,3146345824.0,3114230832.0,32114992.0,3509838080.0,3369530096.0,140307984.0,3244557,1.67,4.76,0.66,2.01
