,最新,最高,最低,开盘,总量,总额,外盘,代码,名称,昨收,涨家数,跌家数,平家数,流值,主力流入,主力流出,主力净流入,超大单流入,超大单流出,超大单净流入,大单流入,大单流出,大单净流入,中单流入,中单流出,中单净流入,小单流入,小单流出,小单净流入,内盘,换手,涨跌,涨幅,振幅
2022-03-12,874.7,876.79,847.53,851.59,11466935,9828305664.0,5703627,BK0736,通信服务,865.92,29,12,0,305872960000.0,2822827856.0,2916222960.0,-93395104.0,753891712.0,671709296.0,82182416.0,2068936144.0,2244513664.0,-175577520.0,3434159472.0,3396833920.0,37325552.0,3241709456.0,3185639904.0,56069552.0,5763308,2.18,8.78,1.01,3.38
2022-03-14,852.81,872.96,852.81,869.54,11290234,9561826816.0,5110673,BK0736,通信服务,874.7,7,33,1,299709696000.0,2507405072.0,2932313408.0,-424908336.0,562099920.0,714319056.0,-152219136.0,1945305152.0,2217994352.0,-272689200.0,3367480656.0,3309152320.0,58328336.0,3410523424.0,3043943424.0,366580000.0,6179561,2.15,-21.89,-2.5,2.3
2022-03-15,827.61,863.17,827.2,847.55,13525544,10612530432.0,5793411,BK0736,通信服务,852.81,8,33,0,288243136000.0,3174422192.0,3184902832.0,-10480640.0,1070789424.0,816975136.0,253814288.0,2103632768.0,2367927696.0,-264294928.0,3660410784.0,3719121952.0,-58711168.0,3502938128.0,3433746336.0,69191792.0,7732133,2.57,-25.2,-2.95,4.22
2022-03-16,861.47,865.22,824.21,836.71,16146975,13243891712.0,8491549,BK0736,通信服务,827.61,37,3,1,298217728000.0,4121608464.0,4109373952.0,12234512.0,1204235312.0,977091600.0,227143712.0,2917373152.0,3132282352.0,-214909200.0,4687606272.0,4588608768.0,98997504.0,4152515984.0,4263747984.0,-111232000.0,7655426,3.07,33.86,4.09,4.96
2022-03-17,867.05,884.67,861.37,868.14,17211458,14660521728.0,8210783,BK0736,通信服务,861.47,25,16,0,299915488000.0,4010967424.0,4741131536.0,-730164112.0,906698032.0,1126859504.0,-220161472.0,3104269392.0,3614272032.0,-510002640.0,5193635584.0,5192918272.0,717312.0,5003589376.0,4274142432.0,729446944.0,9000675,3.27,5.58,0.65,2.7
2022-03-18,868.4,871.57,857.31,860.14,12806551,10714360576.0,6525989,BK0736,通信服务,867.05,27,13,1,302836128000.0,2917395840.0,3041098656.0,-123702816.0,560489088.0,634190752.0,-73701664.0,2356906752.0,2406907904.0,-50001152.0,3783269312.0,3831392640.0,-48123328.0,3628333488.0,3456507328.0,171826160.0,6280562,2.43,1.35,0.16,1.64
2022-03-21,874.34,876.13,862.61,867.75,11208146,9820767488.0,5192491,BK0736,通信服务,868.4,22,15,4,302421104000.0,2470904672.0,2878013552.0,-407108880.0,381952400.0,625906048.0,-243953648.0,2088952272.0,2252107504.0,-163155232.0,3665241152.0,3568617968.0,96623184.0,3428801904.0,3118316208.0,310485696.0,6015655,2.13,5.94,0.68,1.56
2022-03-22,868.41,876.8,859.92,868.44,10486864,9263911680.0,4860485,BK0736,通信服务,874.34,12,25,4,302090448000.0,2384300512.0,2775484752.0,-391184240.0,386236512.0,572501552.0,-186265040.0,1998064000.0,2202983200.0,-204919200.0,3427917248.0,3374643296.0,53273952.0,3272669952.0,2934759648.0,337910304.0,5626379,1.99,-5.93,-0.68,1.93
2022-03-23,877.32,879.95,862.25,864.53,10448418,9195657984.0,4947179,BK0736,通信服务,868.41,27,13,1,303162192000.0,2566284448.0,2804405264.0,-238120816.0,654239520.0,581290144.0,72949376.0,1912044928.0,2223115120.0,-311070192.0,3295510416.0,3354245776.0,-58735360.0,3159081424.0,2862225248.0,296856176.0,5501239,1.98,8.91,1.03,2.04
2022-03-24,856.25,872.95,854.2,872.95,10423566,9005724672.0,4905203,BK0736,通信服务,877.32,7,33,1,300506464000.0,2402622192.0,2807101872.0,-404479680.0,562694720.0,602215040.0,-39520320.0,1839927472.0,2204886832.0,-364959360.0,3196603184.0,3193451936.0,3151248.0,3188315920.0,2786987472.0,401328448.0,5518363,1.98,-21.07,-2.4,2.14
2022-03-25,846.47,859.86,846.26,855.06,8456417,7087837696.0,3718605,BK0736,通信服务,856.24,10,28,3,297330096000.0,1639998243.0,2094743072.0,-454744829.0,251200691.0,434706592.0,-183505901.0,1388797552.0,1660036480.0,-271238928.0,2645267984.0,2610704544.0,34563440.0,2642639632.0,2222458224.0,420181408.0,4737811,1.61,-9.77,-1.14,1.59
2022-03-28,843.78,849.15,826.97,838.06,8022536,6725789440.0,3977715,BK0736,通信服务,846.47,18,20,3,297887184000.0,1696075264.0,1890772880.0,-194697616.0,350259136.0,358540224.0,-8281088.0,1345816128.0,1532232656.0,-186416528.0,2418740544.0,2425391584.0,-6651040.0,2426997952.0,2225649296.0,201348656.0,4044822,1.52,-2.69,-0.32,2.62
2022-03-29,833.6,846.88,830.56,844.56,6685678,6211558912.0,2936039,BK0736,通信服务,843.78,9,31,1,295018240000.0,1533352832.0,1749741040.0,-216388208.0,271332320.0,325923168.0,-54590848.0,1262020512.0,1423817872.0,-161797360.0,2234939504.0,2266698064.0,-31758560.0,2310327104.0,2062180336.0,248146768.0,3749639,1.27,-10.18,-1.21,1.93
2022-03-30,842.41,842.41,831.86,835.84,6374541,5658316288.0,3176027,BK0736,通信服务,833.6,30,9,2,297604336000.0,1416600514.0,1653699808.0,-237099294.0,266379938.0,371330960.0,-104951022.0,1150220576.0,1282368848.0,-132148272.0,2009651136.0,2048470496.0,-38819360.0,2105652848.0,1829734192.0,275918656.0,3198514,1.21,8.81,1.06,1.27
2022-03-31,838.87,842.49,834.39,838.95,6999454,6332842240.0,3164100,BK0736,通信服务,842.41,17,24,0,296901600000.0,1474950234.0,1761239920.0,-286289686.0,218441946.0,340518944.0,-122076998.0,1256508288.0,1420720976.0,-164212688.0,2369596048.0,2294612336.0,74983712.0,2359091216.0,2147785248.0,211305968.0,3835354,1.33,-3.54,-0.42,0.96
2022-04-01,832.22,835.99,827.58,831.69,6870393,6441664512.0,3274649,BK0736,通信服务,838.87,16,23,2,296634288000.0,1696180288.0,1846225120.0,-150044832.0,333832768.0,408627536.0,-74794768.0,1362347520.0,1437597584.0,-75250064.0,2294811440.0,2304586928.0,-9775488.0,2311324912.0,2151504592.0,159820320.0,3595743,1.31,-6.65,-0.79,1.0
