,最新,最高,最低,开盘,总量,总额,外盘,代码,名称,昨收,涨家数,跌家数,平家数,流值,主力流入,主力流出,主力净流入,超大单流入,超大单流出,超大单净流入,大单流入,大单流出,大单净流入,中单流入,中单流出,中单净流入,小单流入,小单流出,小单净流入,内盘,换手,涨跌,涨幅,振幅
2022-03-12,535.43,535.92,516.95,527.92,5129544,3034194080.0,2550127,BK0738,多元金融,533.73,19,9,1,314045376000.0,590438826.0,702652618.0,-112213792.0,77248826.0,100848538.0,-23599712.0,513190000.0,601804080.0,-88614080.0,1061637040.0,1076769904.0,-15132864.0,1325412160.0,1198065520.0,127346640.0,2579417,0.79,1.7,0.32,3.55
2022-03-14,525.49,536.09,525.24,528.25,4812139,2753104016.0,2319439,BK0738,多元金融,535.43,5,24,0,309842448000.0,499578993.0,642136160.0,-142557167.0,68864769.0,78919744.0,-10054975.0,430714224.0,563216416.0,-132502192.0,925581552.0,934067232.0,-8485680.0,1265920912.0,1114878080.0,151042832.0,2492700,0.74,-9.94,-1.86,2.03
2022-03-15,505.15,527.8,504.89,522.55,6357435,3391915952.0,2548634,BK0738,多元金融,525.49,1,28,0,295075120000.0,638700785.0,830497276.0,-191796491.0,102346001.0,154418796.0,-52072795.0,536354784.0,676078480.0,-139723696.0,1167208064.0,1121431232.0,45776832.0,1531854048.0,1385834400.0,146019648.0,3808801,0.98,-20.34,-3.87,4.36
2022-03-16,525.56,527.02,501.09,510.85,7289160,3901073088.0,3931172,BK0738,多元金融,505.15,26,3,0,305918976000.0,1149812384.0,938089967.0,211722417.0,288998784.0,157505135.0,131493649.0,860813600.0,780584832.0,80228768.0,1265707120.0,1385994768.0,-120287648.0,1430264560.0,1521699344.0,-91434784.0,3357988,1.13,20.41,4.04,5.13
2022-03-17,532.38,540.55,527.42,528.28,7639813,4087022224.0,3682076,BK0738,多元金融,525.56,19,8,2,308266208000.0,984225721.0,1104566174.0,-120340453.0,231218793.0,199991614.0,31227179.0,753006928.0,904574560.0,-151567632.0,1400555952.0,1401824656.0,-1268704.0,1602331280.0,1480722128.0,121609152.0,3957737,1.18,6.82,1.3,2.5
2022-03-18,540.55,541.46,529.34,531.18,6227462,3478946848.0,3231771,BK0738,多元金融,532.38,24,3,2,312650736000.0,929585680.0,904652553.0,24933127.0,235967536.0,150212841.0,85754695.0,693618144.0,754439712.0,-60821568.0,1139159440.0,1184307072.0,-45147632.0,1327195856.0,1306981328.0,20214528.0,2995691,0.96,8.17,1.53,2.28
2022-03-21,544.43,545.69,540.16,543.2,5279683,3190073664.0,2270115,BK0738,多元金融,540.55,13,16,0,312349040000.0,700768381.0,795797524.0,-95029143.0,99287677.0,147807012.0,-48519335.0,601480704.0,647990512.0,-46509808.0,1069000336.0,1016450048.0,52550288.0,1296680928.0,1254202080.0,42478848.0,3009568,0.82,3.88,0.72,1.02
2022-03-22,550.98,556.18,544.63,546.3,8454520,4486261504.0,4404019,BK0738,多元金融,544.42,21,7,1,317406256000.0,1195427072.0,1205770256.0,-10343184.0,291182608.0,284146048.0,7036560.0,904244464.0,921624208.0,-17379744.0,1478845632.0,1530737472.0,-51891840.0,1642177392.0,1579942368.0,62235024.0,4050501,1.31,6.56,1.2,2.12
2022-03-23,548.01,550.23,545.86,548.56,7738679,4281405520.0,3650178,BK0738,多元金融,550.98,12,15,2,317105904000.0,998065632.0,1127113701.0,-129048069.0,174654592.0,241172901.0,-66518309.0,823411040.0,885940800.0,-62529760.0,1484341536.0,1461244400.0,23097136.0,1674486864.0,1568535936.0,105950928.0,4088500,1.2,-2.97,-0.54,0.79
2022-03-24,535.99,544.58,534.96,543.96,5356689,2925754432.0,2186707,BK0738,多元金融,548.01,1,28,0,311608528000.0,532242021.0,757932600.0,-225690579.0,56895525.0,146891432.0,-89995907.0,475346496.0,611041168.0,-135694672.0,1018747024.0,970205760.0,48541264.0,1299774864.0,1122625536.0,177149328.0,3169982,0.83,-12.02,-2.19,1.76
