,最新,最高,最低,开盘,总量,总额,外盘,代码,名称,昨收,涨家数,跌家数,平家数,流值,主力流入,主力流出,主力净流入,超大单流入,超大单流出,超大单净流入,大单流入,大单流出,大单净流入,中单流入,中单流出,中单净流入,小单流入,小单流出,小单净流入,内盘,换手,涨跌,涨幅,振幅
2022-03-12,1132.99,1135.02,1104.68,1114.05,2397907,5044481536.0,1215822,BK1020,非金属材料,1133.3,12,8,1,338096704000.0,1292045494.0,1440857168.0,-148811674.0,248289990.0,399616176.0,-151326186.0,1043755504.0,1041240992.0,2514512.0,1763442640.0,1643030368.0,120412272.0,1879270368.0,1850870976.0,28399392.0,1182085,1.89,-0.31,-0.03,2.68
2022-03-14,1094.16,1120.7,1094.16,1118.28,2300298,5293936640.0,1040664,BK1020,非金属材料,1132.99,1,20,0,327373472000.0,1349028016.0,1692397232.0,-343369216.0,329245008.0,457886144.0,-128641136.0,1019783008.0,1234511088.0,-214728080.0,1800880544.0,1698200656.0,102679888.0,2034533952.0,1793844608.0,240689344.0,1259634,1.82,-38.83,-3.43,2.34
2022-03-15,1055.97,1101.61,1055.97,1082.62,2939690,5742751232.0,1301833,BK1020,非金属材料,1094.16,3,18,0,313559376000.0,1490854752.0,1826312384.0,-335457632.0,361997760.0,561058592.0,-199060832.0,1128856992.0,1265253792.0,-136396800.0,1970578352.0,1801607440.0,168970912.0,2180391088.0,2013904368.0,166486720.0,1637857,2.32,-38.19,-3.49,4.17
2022-03-16,1113.83,1114.58,1053.53,1075.41,3606335,7329220096.0,2022249,BK1020,非金属材料,1055.97,18,3,0,324333392000.0,2279940896.0,2290276368.0,-10335472.0,620580000.0,557813456.0,62766544.0,1659360896.0,1732462912.0,-73102016.0,2597181376.0,2488767680.0,108413696.0,2347870864.0,2445949072.0,-98078208.0,1584087,2.85,57.86,5.48,5.78
2022-03-17,1139.36,1154.2,1127.88,1128.7,3608524,7541251328.0,1663649,BK1020,非金属材料,1113.83,18,3,0,325903456000.0,2437486384.0,2498966208.0,-61479824.0,698410256.0,757945824.0,-59535568.0,1739076128.0,1741020384.0,-1944256.0,2494003888.0,2474231968.0,19771920.0,2454340416.0,2412632512.0,41707904.0,1944876,2.85,25.53,2.29,2.36
2022-03-18,1134.08,1139.45,1122.63,1129.28,2749775,5474654464.0,1390370,BK1020,非金属材料,1139.35,9,11,1,330042176000.0,1592247008.0,1498758192.0,93488816.0,364612736.0,318620880.0,45991856.0,1227634272.0,1180137312.0,47496960.0,1850431216.0,1867018144.0,-16586928.0,1859707392.0,1936609296.0,-76901904.0,1359405,2.17,-5.27,-0.46,1.48
2022-03-21,1147.86,1153.89,1128.8,1132.62,2803063,5301519616.0,1382637,BK1020,非金属材料,1134.08,16,3,2,333520304000.0,1422414656.0,1414548688.0,7865968.0,274688432.0,313891488.0,-39203056.0,1147726224.0,1100657200.0,47069024.0,1857464448.0,1790455344.0,67009104.0,1929115504.0,2003990592.0,-74875088.0,1420426,2.21,13.78,1.22,2.21
2022-03-22,1137.82,1150.1,1132.46,1144.04,2758557,4697517824.0,1338870,BK1020,非金属材料,1147.86,6,15,0,331241648000.0,1255154895.0,1243916457.0,11238438.0,239898447.0,264344201.0,-24445754.0,1015256448.0,979572256.0,35684192.0,1639360496.0,1620191216.0,19169280.0,1731913744.0,1762321456.0,-30407712.0,1419687,2.18,-10.04,-0.87,1.54
2022-03-23,1148.96,1153.15,1130.79,1140.77,2324422,4435344896.0,1115295,BK1020,非金属材料,1137.82,11,10,0,332609248000.0,1248971312.0,1338014784.0,-89043472.0,291237712.0,271853600.0,19384112.0,957733600.0,1066161184.0,-108427584.0,1544014816.0,1518744544.0,25270272.0,1580601872.0,1516828672.0,63773200.0,1209127,1.83,11.14,0.98,1.97
2022-03-24,1134.18,1144.71,1128.04,1144.63,2133366,4611751680.0,947232,BK1020,非金属材料,1148.96,5,16,0,328486656000.0,1165588381.0,1462456608.0,-296868227.0,241367053.0,345480752.0,-104113699.0,924221328.0,1116975856.0,-192754528.0,1560118576.0,1494694176.0,65424400.0,1821543552.0,1590099728.0,231443824.0,1186133,1.68,-14.78,-1.29,1.45
2022-03-25,1111.15,1136.73,1108.48,1133.62,2111839,4833385984.0,831304,BK1020,非金属材料,1134.18,4,17,0,317175248000.0,1132282328.0,1526800080.0,-394517752.0,206950760.0,370159184.0,-163208424.0,925331568.0,1156640896.0,-231309328.0,1688737152.0,1618176992.0,70560160.0,1948080160.0,1624122544.0,323957616.0,1280534,1.67,-23.03,-2.03,2.49
2022-03-28,1093.02,1103.65,1085.25,1100.58,1711102,3852360656.0,782144,BK1020,非金属材料,1111.15,4,17,0,311760768000.0,898063805.0,1200642688.0,-302578883.0,159474381.0,301739648.0,-142265267.0,738589424.0,898903040.0,-160313616.0,1323976240.0,1272980448.0,50995792.0,1570674704.0,1319091600.0,251583104.0,928957,1.35,-18.13,-1.63,1.66
2022-03-29,1091.94,1107.16,1082.53,1097.27,1939667,4057495456.0,912735,BK1020,非金属材料,1093.02,10,11,0,309423744000.0,919305490.0,1194746384.0,-275440894.0,172318962.0,269970384.0,-97651422.0,746986528.0,924776000.0,-177789472.0,1415051824.0,1353051776.0,62000048.0,1664174192.0,1450733344.0,213440848.0,1026932,1.53,-1.08,-0.1,2.25
2022-03-30,1126.4,1127.92,1094.26,1095.44,2289078,4800481280.0,1323889,BK1020,非金属材料,1091.94,18,3,0,315721536000.0,1329439344.0,1362668480.0,-33229136.0,293123776.0,278991536.0,14132240.0,1036315568.0,1083676944.0,-47361376.0,1676133088.0,1630450880.0,45682208.0,1714474944.0,1726928016.0,-12453072.0,965189,1.81,34.46,3.16,3.08
2022-03-31,1103.27,1121.74,1101.29,1121.74,1744112,3951965936.0,726104,BK1020,非金属材料,1126.4,3,18,0,307756720000.0,881007528.0,1292620672.0,-411613144.0,173731272.0,321141440.0,-147410168.0,707276256.0,971479232.0,-264202976.0,1375599376.0,1276900400.0,98698976.0,1621216800.0,1308302624.0,312914176.0,1018007,1.38,-23.13,-2.05,1.82
2022-04-01,1106.84,1109.28,1092.64,1096.94,2212030,4258833328.0,1147039,BK1020,非金属材料,1103.27,10,11,0,309457680000.0,1161545616.0,1268555840.0,-107010224.0,288756544.0,272795184.0,15961360.0,872789072.0,995760656.0,-122971584.0,1450138080.0,1399106032.0,51032048.0,1587283920.0,1531305760.0,55978160.0,1064991,1.74,3.57,0.32,1.51
2022-04-06,1101.34,1102.09,1085.17,1102.09,2450306,4675032832.0,1178808,BK1020,非金属材料,1106.84,7,14,0,305246080000.0,1177751024.0,1435383568.0,-257632544.0,287569552.0,372774608.0,-85205056.0,890181472.0,1062608960.0,-172427488.0,1589100032.0,1539174080.0,49925952.0,1849304880.0,1641598272.0,207706608.0,1271498,1.93,-5.5,-0.5,1.53
2022-04-07,1093.06,1116.23,1091.27,1100.06,3120660,5413067520.0,1422517,BK1020,非金属材料,1101.34,7,13,1,300737264000.0,1497045680.0,1595377472.0,-98331792.0,427631520.0,485731584.0,-58100064.0,1069414160.0,1109645888.0,-40231728.0,1763485936.0,1819980352.0,-56494416.0,2076961872.0,1922135648.0,154826224.0,1698144,2.46,-8.28,-0.75,2.27
2022-04-08,1090.93,1100.19,1076.27,1095.34,2502658,4986479872.0,1161879,BK1020,非金属材料,1093.06,7,14,0,301625616000.0,1354499584.0,1364059040.0,-9559456.0,339350736.0,313054864.0,26295872.0,1015148848.0,1051004176.0,-35855328.0,1707607744.0,1690306992.0,17300752.0,1844157472.0,1851898784.0,-7741312.0,1340779,1.97,-2.13,-0.19,2.19
2022-04-11,1042.49,1089.08,1038.7,1089.08,2691387,4932300288.0,1061435,BK1020,非金属材料,1090.93,2,19,0,286877008000.0,1103089559.0,1451802496.0,-348712937.0,184868167.0,369639232.0,-184771065.0,918221392.0,1082163264.0,-163941872.0,1695296208.0,1569641376.0,125654832.0,2042482288.0,1819424192.0,223058096.0,1629952,2.12,-48.44,-4.44,4.62
2022-04-12,1053.6,1053.6,1026.89,1038.5,2156872,3936276672.0,1089048,BK1020,非金属材料,1042.49,15,6,0,287087072000.0,849480019.0,860473592.0,-10993573.0,156799075.0,166197320.0,-9398245.0,692680944.0,694276272.0,-1595328.0,1400949344.0,1392263072.0,8686272.0,1622094880.0,1619787584.0,2307296.0,1067824,1.7,11.11,1.07,2.56
2022-04-13,1022.67,1049.05,1022.37,1049.05,1944008,3828755792.0,891924,BK1020,非金属材料,1053.6,3,18,0,278408256000.0,796645000.0,957383684.0,-160738684.0,136309160.0,177808404.0,-41499244.0,660335840.0,779575280.0,-119239440.0,1394216080.0,1356063072.0,38153008.0,1576208016.0,1453622352.0,122585664.0,1052084,1.53,-30.93,-2.94,2.53
2022-04-14,1017.74,1030.24,1009.62,1024.56,1837587,3672046432.0,798594,BK1020,非金属材料,1022.67,12,9,0,278726848000.0,819200272.0,897574911.0,-78374639.0,157364496.0,177395791.0,-20031295.0,661835776.0,720179120.0,-58343344.0,1242736000.0,1328292688.0,-85556688.0,1560637536.0,1396706224.0,163931312.0,1038993,1.44,-4.93,-0.48,2.02
2022-04-15,1004.48,1017.08,992.23,1011.31,2274666,4579036672.0,1053323,BK1020,非金属材料,1017.74,8,13,0,281656448000.0,1064369817.0,1100107390.0,-35737573.0,200554073.0,263832606.0,-63278533.0,863815744.0,836274784.0,27540960.0,1665642416.0,1648220496.0,17421920.0,1792753744.0,1774438112.0,18315632.0,1221343,1.79,-13.26,-1.3,2.44
2022-04-18,1032.21,1034.27,992.33,1001.04,2347651,4167135632.0,1297346,BK1020,非金属材料,1004.48,16,5,0,287717136000.0,1015459590.0,1025823982.0,-10364392.0,193119846.0,188068414.0,5051432.0,822339744.0,837755568.0,-15415824.0,1465776736.0,1476286784.0,-10510048.0,1625364768.0,1604490336.0,20874432.0,1050305,1.84,27.73,2.76,4.18
2022-04-19,1028.27,1045.2,1022.6,1033.69,1939516,3624640432.0,924021,BK1020,非金属材料,1032.21,6,14,1,284695440000.0,759491967.0,924177934.0,-164685967.0,134847887.0,243627182.0,-108779295.0,624644080.0,680550752.0,-55906672.0,1230396672.0,1251593392.0,-21196720.0,1572905104.0,1387022416.0,185882688.0,1015495,1.52,-3.94,-0.38,2.19
2022-04-20,1008.24,1029.08,1004.68,1028.26,2069652,3400492112.0,910342,BK1020,非金属材料,1028.27,3,18,0,278165280000.0,647367608.0,857321765.0,-209954157.0,124944168.0,221295189.0,-96351021.0,522423440.0,636026576.0,-113603136.0,1151656976.0,1150101088.0,1555888.0,1548985872.0,1340587600.0,208398272.0,1159310,1.63,-20.03,-1.95,2.37
2022-04-21,961.61,1005.92,959.98,1001.93,2479020,3737476416.0,1010618,BK1020,非金属材料,1008.24,0,21,0,266107803000.0,654008355.0,1141221552.0,-487213197.0,105400259.0,338925248.0,-233524989.0,548608096.0,802296304.0,-253688208.0,1235993312.0,1230509504.0,5483808.0,1789400048.0,1307670656.0,481729392.0,1468402,1.95,-46.63,-4.62,4.56
2022-04-22,952.21,969.34,945.51,954.96,1966517,2875717072.0,934484,BK1020,非金属材料,961.61,7,14,0,263739815000.0,498893512.0,580310848.0,-81417336.0,54677752.0,102133904.0,-47456152.0,444215760.0,478176944.0,-33961184.0,988664064.0,1015360368.0,-26696304.0,1342650624.0,1234537008.0,108113616.0,1032033,1.55,-9.4,-0.98,2.48
2022-04-25,876.34,935.98,876.34,935.98,3003906,3950999120.0,1253028,BK1020,非金属材料,952.21,0,21,0,244919196000.0,752207847.0,1093648224.0,-341440377.0,160703399.0,294111280.0,-133407881.0,591504448.0,799536944.0,-208032496.0,1254118576.0,1293050096.0,-38931520.0,1897398848.0,1517026944.0,380371904.0,1750878,2.36,-75.87,-7.97,6.26
