,最新,最高,最低,开盘,总量,总额,外盘,代码,名称,昨收,涨家数,跌家数,平家数,流值,主力流入,主力流出,主力净流入,超大单流入,超大单流出,超大单净流入,大单流入,大单流出,大单净流入,中单流入,中单流出,中单净流入,小单流入,小单流出,小单净流入,内盘,换手,涨跌,涨幅,振幅
2022-03-12,1312.03,1312.62,1266.92,1294.87,1923048,3250384000.0,958504,BK1030,电机,1303.66,13,6,2,121262971000.0,1096421728.0,1269841856.0,-173420128.0,421544496.0,478263120.0,-56718624.0,674877232.0,791578736.0,-116701504.0,962079280.0,930900640.0,31178640.0,1109191168.0,966949664.0,142241504.0,964545,2.46,8.37,0.64,3.51
2022-03-14,1272.25,1301.29,1272.25,1301.29,2013746,3707511392.0,1015514,BK1030,电机,1312.03,1,19,1,119853838000.0,1510451456.0,1464167904.0,46283552.0,520060976.0,450010944.0,70050032.0,990390480.0,1014156960.0,-23766480.0,1042730800.0,1069377552.0,-26646752.0,1080320208.0,1099957024.0,-19636816.0,998232,2.58,-39.78,-3.03,2.21
2022-03-15,1216.04,1277.98,1214.59,1264.73,2343389,4004931904.0,1071216,BK1030,电机,1272.25,2,18,1,114830537000.0,1549925136.0,1720143152.0,-170218016.0,507335472.0,631546688.0,-124211216.0,1042589664.0,1088596464.0,-46006800.0,1175233440.0,1125465808.0,49767632.0,1215138192.0,1094687824.0,120450368.0,1272173,3.0,-56.21,-4.42,4.98
2022-03-16,1264.94,1267.55,1205.48,1235.28,3695177,6915838976.0,2023823,BK1030,电机,1216.04,20,0,1,121661456000.0,4114422624.0,3221502112.0,892920512.0,2636089328.0,1522935824.0,1113153504.0,1478333296.0,1698566288.0,-220232992.0,1429138000.0,1957170064.0,-528032064.0,1300254448.0,1665142912.0,-364888464.0,1671355,4.72,48.9,4.02,5.1
2022-03-17,1282.47,1302.69,1275.78,1275.78,3500436,7170117632.0,1570252,BK1030,电机,1264.94,14,5,2,122327705000.0,3336081152.0,3997730240.0,-661649088.0,1656318560.0,2198692720.0,-542374160.0,1679762592.0,1799037520.0,-119274928.0,1812795568.0,1614911008.0,197884560.0,1796114784.0,1332350272.0,463764512.0,1930184,4.47,17.53,1.39,2.13
2022-03-18,1294.12,1298.23,1271.47,1276.79,2106093,3969113680.0,1063880,BK1030,电机,1282.47,13,7,1,123450706000.0,1578433280.0,1789354032.0,-210920752.0,595067504.0,820681728.0,-225614224.0,983365776.0,968672304.0,14693472.0,1136528128.0,1006229296.0,130298832.0,1082905856.0,1002283920.0,80621936.0,1042213,2.69,11.65,0.91,2.09
2022-03-21,1303.99,1311.08,1286.5,1293.88,2325643,4299237376.0,1098077,BK1030,电机,1294.11,12,8,1,123002671000.0,1729485040.0,1946575568.0,-217090528.0,654354720.0,823610096.0,-169255376.0,1075130320.0,1122965472.0,-47835152.0,1227478848.0,1205527184.0,21951664.0,1243773824.0,1048634960.0,195138864.0,1227566,2.97,9.88,0.76,1.9
2022-03-22,1287.59,1299.97,1281.26,1299.63,2123250,3721287952.0,1001265,BK1030,电机,1303.99,7,13,1,122000087000.0,1525120592.0,1653781232.0,-128660640.0,582879872.0,783876000.0,-200996128.0,942240720.0,869905232.0,72335488.0,1062075984.0,1023114272.0,38961712.0,1059182368.0,969483472.0,89698896.0,1121986,2.71,-16.4,-1.26,1.43
2022-03-23,1304.09,1308.68,1291.55,1294.95,2622047,4337288960.0,1305559,BK1030,电机,1287.59,15,5,1,123838589000.0,1847068368.0,1811813072.0,35255296.0,776005088.0,723166032.0,52839056.0,1071063280.0,1088647040.0,-17583760.0,1204178992.0,1262893264.0,-58714272.0,1203858320.0,1180399328.0,23458992.0,1316489,3.35,16.5,1.28,1.33
2022-03-24,1295.72,1301.35,1282.21,1298.1,2458144,4403537920.0,1147201,BK1030,电机,1304.09,4,15,2,123944937000.0,1795132080.0,1886855744.0,-91723664.0,698634192.0,738893024.0,-40258832.0,1096497888.0,1147962720.0,-51464832.0,1283714752.0,1282342128.0,1372624.0,1254615216.0,1164264176.0,90351040.0,1310943,3.14,-8.37,-0.64,1.47
2022-03-25,1277.71,1299.48,1276.68,1294.01,2097686,4022100560.0,1044072,BK1030,电机,1295.72,6,15,0,123406768000.0,1742159696.0,1758885008.0,-16725312.0,722404432.0,734554240.0,-12149808.0,1019755264.0,1024330768.0,-4575504.0,1102905120.0,1108421072.0,-5515952.0,1076244896.0,1054003632.0,22241264.0,1053613,2.69,-18.01,-1.39,1.76
