,最新,最高,最低,开盘,总量,总额,外盘,代码,名称,昨收,涨家数,跌家数,平家数,流值,主力流入,主力流出,主力净流入,超大单流入,超大单流出,超大单净流入,大单流入,大单流出,大单净流入,中单流入,中单流出,中单净流入,小单流入,小单流出,小单净流入,内盘,换手,涨跌,涨幅,振幅
2022-03-12,1555.65,1558.38,1508.49,1541.46,4980449,3903633504.0,2215408,BK1034,电源设备,1568.1,11,13,1,226698153000.0,845641174.0,1024622150.0,-178980976.0,145201494.0,234411798.0,-89210304.0,700439680.0,790210352.0,-89770672.0,1272742688.0,1326565664.0,-53822976.0,1700450768.0,1467646832.0,232803936.0,2765041,1.8,-12.45,-0.79,3.18
2022-03-14,1499.1,1544.44,1499.1,1544.44,4265067,3245790208.0,1838704,BK1034,电源设备,1555.65,1,24,0,218617565000.0,608037944.0,804735000.0,-196697056.0,114596856.0,183985032.0,-69388176.0,493441088.0,620749968.0,-127308880.0,1087757408.0,1073785904.0,13971504.0,1483462720.0,1300737184.0,182725536.0,2426363,1.54,-56.55,-3.64,2.91
2022-03-15,1421.95,1499.22,1421.95,1485.22,4990755,4026437472.0,2012830,BK1034,电源设备,1499.1,1,24,0,205538182000.0,1035839168.0,1201706272.0,-165867104.0,369388624.0,275528400.0,93860224.0,666450544.0,926177872.0,-259727328.0,1229239104.0,1338638528.0,-109399424.0,1703047184.0,1427780640.0,275266544.0,2977925,1.81,-77.15,-5.15,5.15
2022-03-16,1475.27,1479.37,1393.72,1446.84,6739896,5021800704.0,3420792,BK1034,电源设备,1421.94,24,1,0,213735542000.0,1153661857.0,1436627856.0,-282965999.0,206614449.0,382794016.0,-176179567.0,947047408.0,1053833840.0,-106786432.0,1669091376.0,1685839760.0,-16748384.0,2087498544.0,1787784160.0,299714384.0,3319104,2.44,53.33,3.75,6.02
2022-03-17,1516.55,1536.51,1493.85,1493.85,6260151,5375012608.0,3099025,BK1034,电源设备,1475.27,21,2,2,218098505000.0,1383312256.0,1481401232.0,-98088976.0,303533376.0,307911840.0,-4378464.0,1079778880.0,1173489392.0,-93710512.0,1822670624.0,1846317568.0,-23646944.0,2084722912.0,1962986976.0,121735936.0,3161126,2.26,41.28,2.8,2.89
2022-03-18,1519.34,1527.78,1503.13,1509.46,5207402,3853359968.0,2773218,BK1034,电源设备,1516.55,15,10,0,219167799000.0,890150634.0,927374766.0,-37224132.0,177806554.0,206437790.0,-28631236.0,712344080.0,720936976.0,-8592896.0,1296215600.0,1290543584.0,5672016.0,1555031600.0,1523479488.0,31552112.0,2434184,1.88,2.79,0.18,1.63
2022-03-21,1539.5,1547.55,1516.05,1520.64,4191609,3672252112.0,1822680,BK1034,电源设备,1519.34,17,8,0,220306078000.0,859677556.0,902020367.0,-42342811.0,144300516.0,174456207.0,-30155691.0,715377040.0,727564160.0,-12187120.0,1192339616.0,1244962512.0,-52622896.0,1544776240.0,1449810528.0,94965712.0,2368928,1.52,20.16,1.33,2.07
2022-03-22,1544.48,1557.48,1539.37,1551.58,5081655,4381429248.0,2411647,BK1034,电源设备,1539.5,11,13,1,220836615000.0,970506630.0,974209387.0,-3702757.0,194587926.0,181031515.0,13556411.0,775918704.0,793177872.0,-17259168.0,1534404512.0,1530328224.0,4076288.0,1800536144.0,1800909680.0,-373536.0,2670008,1.84,4.98,0.32,1.18
2022-03-23,1574.93,1596.68,1559.33,1561.04,7041216,5708265984.0,3620091,BK1034,电源设备,1544.48,18,7,0,224699422000.0,1640389776.0,1468034976.0,172354800.0,518169072.0,308299488.0,209869584.0,1122220704.0,1159735488.0,-37514784.0,1899334976.0,2001702768.0,-102367792.0,2049143472.0,2119130496.0,-69987024.0,3421124,2.55,30.45,1.97,2.42
2022-03-24,1538.93,1565.42,1536.43,1563.75,8045513,5454792192.0,3368615,BK1034,电源设备,1574.93,3,22,0,219876939000.0,1093886967.0,1690944848.0,-597057881.0,199058135.0,510683248.0,-311625113.0,894828832.0,1180261600.0,-285432768.0,1855704400.0,1755378176.0,100326224.0,2287344976.0,1790613312.0,496731664.0,4676897,2.91,-36.0,-2.29,1.84
2022-03-25,1510.63,1538.44,1509.19,1536.24,4935674,3458775264.0,2171569,BK1034,电源设备,1538.93,3,20,2,215382195000.0,656652181.0,968623114.0,-311970933.0,114569909.0,207122634.0,-92552725.0,542082272.0,761500480.0,-219418208.0,1145917168.0,1139141344.0,6775824.0,1567121600.0,1261926496.0,305195104.0,2764105,1.79,-28.3,-1.84,1.9
2022-03-28,1482.36,1503.27,1470.34,1503.27,3788569,2962425008.0,1648508,BK1034,电源设备,1510.63,3,21,1,212536217000.0,514654391.0,759138608.0,-244484217.0,57089095.0,129713952.0,-72624857.0,457565296.0,629424656.0,-171859360.0,1039823296.0,988784704.0,51038592.0,1355991968.0,1162546320.0,193445648.0,2140061,1.37,-28.27,-1.87,2.18
2022-03-29,1459.3,1488.69,1453.61,1486.91,3962977,2923384736.0,1753183,BK1034,电源设备,1482.36,3,20,2,208964442000.0,593536917.0,788944976.0,-195408059.0,136664629.0,162495440.0,-25830811.0,456872288.0,626449536.0,-169577248.0,959048224.0,989025936.0,-29977712.0,1330871520.0,1105485728.0,225385792.0,2209795,1.43,-23.06,-1.56,2.37
2022-03-30,1487.56,1487.56,1461.64,1466.57,3351388,2834956784.0,1642868,BK1034,电源设备,1459.3,22,3,0,213023309000.0,666338372.0,683014646.0,-16676274.0,102882436.0,145827398.0,-42944962.0,563455936.0,537187248.0,26268688.0,962630400.0,945246608.0,17383792.0,1147653328.0,1148360848.0,-707520.0,1708520,1.21,28.26,1.94,1.78
