,最新,最高,最低,开盘,总量,总额,外盘,代码,名称,昨收,涨家数,跌家数,平家数,流值,主力流入,主力流出,主力净流入,超大单流入,超大单流出,超大单净流入,大单流入,大单流出,大单净流入,中单流入,中单流出,中单净流入,小单流入,小单流出,小单净流入,内盘,换手,涨跌,涨幅,振幅
2022-03-12,815.18,815.97,786.65,797.63,1450383,3704648544.0,743899,BK1035,美容护理,804.96,21,6,1,207074751000.0,877384505.0,1022145093.0,-144760588.0,208388553.0,212134165.0,-3745612.0,668995952.0,810010928.0,-141014976.0,1644469824.0,1582281200.0,62188624.0,1117260400.0,1034688432.0,82571968.0,706484,1.63,10.22,1.27,3.64
2022-03-14,788.91,813.0,788.91,812.46,1617366,3424160672.0,677230,BK1035,美容护理,815.18,2,26,0,199070869000.0,659812893.0,965275086.0,-305462193.0,119280285.0,203074142.0,-83793857.0,540532608.0,762200944.0,-221668336.0,1510546784.0,1365754960.0,144791824.0,1189536976.0,1028866576.0,160670400.0,940136,1.81,-26.27,-3.22,2.96
2022-03-15,744.42,784.95,744.34,784.78,1529864,3402712272.0,666471,BK1035,美容护理,788.91,0,28,0,188450497000.0,548080527.0,844873332.0,-296792805.0,97220767.0,159460404.0,-62239637.0,450859760.0,685412928.0,-234553168.0,1585747104.0,1441301088.0,144446016.0,1208238224.0,1055891456.0,152346768.0,863393,1.71,-44.49,-5.64,5.15
2022-03-16,758.93,762.22,725.39,755.21,1493265,3408774064.0,735231,BK1035,美容护理,744.41,25,3,0,192919996000.0,719350959.0,697888380.0,21462579.0,160919231.0,116430300.0,44488931.0,558431728.0,581458080.0,-23026352.0,1399467120.0,1454374320.0,-54907200.0,1231745568.0,1198300960.0,33444608.0,758034,1.67,14.52,1.95,4.95
2022-03-17,775.99,787.64,766.47,766.77,1561595,3640095424.0,825582,BK1035,美容护理,758.93,26,2,0,199931133000.0,877047209.0,823474960.0,53572249.0,226795753.0,165875920.0,60919833.0,650251456.0,657599040.0,-7347584.0,1552992432.0,1597776352.0,-44783920.0,1144096368.0,1152884688.0,-8788320.0,736013,1.75,17.06,2.25,2.79
2022-03-18,786.96,787.91,772.51,773.35,1501118,2647701232.0,798334,BK1035,美容护理,775.99,21,6,1,201629969000.0,461176036.0,471977226.0,-10801190.0,78926644.0,88518490.0,-9591846.0,382249392.0,383458736.0,-1209344.0,1015991808.0,1033113008.0,-17121200.0,955949248.0,928026848.0,27922400.0,702784,1.68,10.97,1.41,1.98
2022-03-21,796.6,796.6,784.95,787.66,1529211,2817906928.0,763159,BK1035,美容护理,786.96,19,7,2,203049397000.0,543132198.0,583834742.0,-40702544.0,90361910.0,101745910.0,-11384000.0,452770288.0,482088832.0,-29318544.0,1182153552.0,1173534944.0,8618608.0,1036639568.0,1004555632.0,32083936.0,766052,1.71,9.64,1.22,1.48
2022-03-22,793.59,798.19,783.35,795.33,1277799,2242760192.0,613309,BK1035,美容护理,796.6,10,16,2,201028471000.0,418897571.0,459518003.0,-40620432.0,55731683.0,73429603.0,-17697920.0,363165888.0,386088400.0,-22922512.0,973186848.0,908425056.0,64761792.0,807681536.0,831822896.0,-24141360.0,664490,1.43,-3.01,-0.38,1.86
2022-03-23,799.32,805.02,791.59,794.16,1153300,2990128624.0,556293,BK1035,美容护理,793.59,14,14,0,204631690000.0,656495493.0,719537792.0,-63042299.0,132348741.0,137549216.0,-5200475.0,524146752.0,581988576.0,-57841824.0,1366866832.0,1289926992.0,76939840.0,924304944.0,938202496.0,-13897552.0,597007,1.29,5.73,0.72,1.69
2022-03-24,795.37,798.09,790.15,795.86,1254539,3036940992.0,604208,BK1035,美容护理,799.32,7,21,0,205970899000.0,827059596.0,786766814.0,40292782.0,233541196.0,192227710.0,41313486.0,593518400.0,594539104.0,-1020704.0,1197344624.0,1283260704.0,-85916080.0,956102576.0,910479312.0,45623264.0,650331,1.4,-3.95,-0.49,0.99
2022-03-25,794.69,808.44,794.11,796.94,1280387,2647647216.0,640908,BK1035,美容护理,795.37,13,13,2,231657857000.0,479717511.0,611713592.0,-131996081.0,89285127.0,156903672.0,-67618545.0,390432384.0,454809920.0,-64377536.0,1163166464.0,1060162672.0,103003792.0,958460512.0,929468224.0,28992288.0,639478,1.44,-0.68,-0.09,1.8
2022-03-28,790.18,796.44,779.57,787.15,965728,2166976336.0,456278,BK1035,美容护理,794.68,8,20,0,230119313000.0,363922430.0,411894061.0,-47971631.0,84946414.0,80445389.0,4501025.0,278976016.0,331448672.0,-52472656.0,934038800.0,928199424.0,5839376.0,822088400.0,779956144.0,42132256.0,509450,1.06,-4.5,-0.57,2.12
2022-03-29,782.56,798.53,780.5,793.58,1370150,2473641648.0,636287,BK1035,美容护理,790.18,7,21,0,229496536000.0,460999056.0,551180434.0,-90181378.0,84922656.0,134746082.0,-49823426.0,376076400.0,416434352.0,-40357952.0,989017376.0,931494432.0,57522944.0,991386448.0,958728016.0,32658432.0,733863,1.51,-7.62,-0.96,2.28
2022-03-30,798.44,799.23,780.47,785.2,1431554,3866221312.0,688424,BK1035,美容护理,782.56,24,4,0,238352998000.0,1094742384.0,1047459712.0,47282672.0,276960320.0,283567824.0,-6607504.0,817782064.0,763891888.0,53890176.0,1577224112.0,1648624064.0,-71399952.0,1124655664.0,1100538400.0,24117264.0,743130,1.57,15.88,2.03,2.4
2022-03-31,796.85,805.8,795.5,798.11,1781796,3361529840.0,895478,BK1035,美容护理,798.44,14,14,0,237532316000.0,758186141.0,789628898.0,-31442757.0,172068477.0,176472530.0,-4404053.0,586117664.0,613156368.0,-27038704.0,1369257872.0,1437346496.0,-68088624.0,1162255392.0,1062724000.0,99531392.0,886318,1.96,-1.59,-0.2,1.29
2022-04-01,794.03,795.05,784.94,791.07,1531825,3328354144.0,722199,BK1035,美容护理,796.85,11,17,0,238928830000.0,788445348.0,771875784.0,16569564.0,255544788.0,163971496.0,91573292.0,532900560.0,607904288.0,-75003728.0,1362038416.0,1494966048.0,-132927632.0,1113580080.0,997222000.0,116358080.0,809626,1.68,-2.82,-0.35,1.27
2022-04-06,800.04,805.14,791.91,793.92,1713686,3275035424.0,884107,BK1035,美容护理,794.03,20,8,0,237181078000.0,774765845.0,768549723.0,6216122.0,254503045.0,162157435.0,92345610.0,520262800.0,606392288.0,-86129488.0,1268454896.0,1314320464.0,-45865568.0,1156729504.0,1117080048.0,39649456.0,829579,1.88,6.01,0.76,1.67
2022-04-07,782.41,799.76,782.41,797.44,1594826,2666095008.0,649434,BK1035,美容护理,800.04,2,26,0,232133782000.0,544725543.0,672797353.0,-128071810.0,130827207.0,144513945.0,-13686738.0,413898336.0,528283408.0,-114385072.0,1016202912.0,1020566192.0,-4363280.0,1056101920.0,923666816.0,132435104.0,945392,1.75,-17.63,-2.2,2.17
2022-04-08,772.24,783.82,765.51,782.02,1452746,2878577472.0,681433,BK1035,美容护理,782.41,5,21,2,230091975000.0,603846007.0,750011763.0,-146165756.0,117075751.0,222134723.0,-105058972.0,486770256.0,527877040.0,-41106784.0,1221350544.0,1139961280.0,81389264.0,1000594016.0,935817520.0,64776496.0,771313,1.6,-10.17,-1.3,2.34
2022-04-11,750.88,771.86,747.86,771.86,1380200,2622924672.0,595986,BK1035,美容护理,772.24,2,26,0,224345647000.0,477866503.0,673752203.0,-195885700.0,99101943.0,136221499.0,-37119556.0,378764560.0,537530704.0,-158766144.0,1076383056.0,1031526400.0,44856656.0,1018216192.0,867187152.0,151029040.0,784213,1.52,-21.36,-2.77,3.11
2022-04-12,773.53,773.93,748.35,750.51,1507941,3211290304.0,836892,BK1035,美容护理,750.88,27,0,1,232443075000.0,1056580208.0,859063952.0,197516256.0,400310576.0,290250736.0,110059840.0,656269632.0,568813216.0,87456416.0,1158666176.0,1371784704.0,-213118528.0,926751232.0,911148960.0,15602272.0,671049,1.66,22.65,3.02,3.41
2022-04-13,758.83,771.38,758.83,771.38,1168003,2873228704.0,467123,BK1035,美容护理,773.53,2,26,0,229931293000.0,708494527.0,749885893.0,-41391366.0,191568959.0,176275957.0,15293002.0,516925568.0,573609936.0,-56684368.0,1206775488.0,1236655776.0,-29880288.0,875814000.0,804542368.0,71271632.0,700880,1.28,-14.7,-1.9,1.62
2022-04-14,771.06,775.96,760.52,762.12,1141625,3432021408.0,555152,BK1035,美容护理,758.83,21,7,0,235654666000.0,1107635248.0,1038618704.0,69016544.0,375317744.0,358253264.0,17064480.0,732317504.0,680365440.0,51952064.0,1391542048.0,1430217840.0,-38675792.0,885292016.0,915632768.0,-30340752.0,586473,1.25,12.23,1.61,2.03
2022-04-15,760.94,768.88,757.56,768.32,1718271,3178154592.0,803736,BK1035,美容护理,771.06,5,22,1,233857641000.0,741951647.0,845909231.0,-103957584.0,185582143.0,262996847.0,-77414704.0,556369504.0,582912384.0,-26542880.0,1357768704.0,1304062448.0,53706256.0,1026963120.0,976711808.0,50251312.0,914535,1.89,-10.12,-1.31,1.47
2022-04-18,762.75,765.15,747.3,756.82,1193476,2373730432.0,598415,BK1035,美容护理,760.94,17,10,1,233062027000.0,496714651.0,528498485.0,-31783834.0,134121275.0,112770197.0,21351078.0,362593376.0,415728288.0,-53134912.0,961985200.0,975340368.0,-13355168.0,866160288.0,821021264.0,45139024.0,595061,1.31,1.81,0.24,2.35
2022-04-19,763.76,769.17,758.94,762.15,1924258,3368695200.0,916264,BK1035,美容护理,762.75,16,11,1,227640904000.0,863904080.0,924672771.0,-60768691.0,311872992.0,242771955.0,69101037.0,552031088.0,681900816.0,-129869728.0,1323774064.0,1305854832.0,17919232.0,1132439024.0,1089589568.0,42849456.0,1007994,2.12,1.01,0.13,1.34
2022-04-20,770.47,782.12,763.24,765.06,2099441,3788476944.0,1046730,BK1035,美容护理,763.76,17,9,2,229402071000.0,896636030.0,839926786.0,56709244.0,231052334.0,184135106.0,46917228.0,665583696.0,655791680.0,9792016.0,1529136944.0,1527089344.0,2047600.0,1283630336.0,1342387168.0,-58756832.0,1052711,2.31,6.71,0.88,2.47
2022-04-21,756.8,783.07,754.24,766.45,2402797,4835835648.0,1053496,BK1035,美容护理,770.47,8,20,0,228886121000.0,1372237696.0,1206559712.0,165677984.0,465296464.0,308672400.0,156624064.0,906941232.0,897887312.0,9053920.0,1808768672.0,1951407968.0,-142639296.0,1588012864.0,1611051536.0,-23038672.0,1349301,2.65,-13.67,-1.77,3.74
2022-04-22,754.37,762.24,739.33,751.54,1988936,4270306608.0,922826,BK1035,美容护理,756.8,11,17,0,231950015000.0,1069199318.0,1058127040.0,11072278.0,267426950.0,288392288.0,-20965338.0,801772368.0,769734752.0,32037616.0,1614794592.0,1650608944.0,-35814352.0,1510675504.0,1485933440.0,24742064.0,1066110,2.19,-2.43,-0.32,3.03
2022-04-25,693.7,741.68,693.17,741.26,1961886,3808289328.0,824784,BK1035,美容护理,754.37,0,28,0,218890695000.0,737695658.0,910080869.0,-172385211.0,175529514.0,215849637.0,-40320123.0,562166144.0,694231232.0,-132065088.0,1512947008.0,1491772064.0,21174944.0,1475217952.0,1324007680.0,151210272.0,1137102,2.16,-60.67,-8.04,6.43
2022-04-26,691.87,714.94,688.19,694.95,2183656,5229170688.0,1024129,BK1035,美容护理,693.7,12,16,0,225304110000.0,1632270496.0,1433884768.0,198385728.0,652629376.0,392712832.0,259916544.0,979641120.0,1041171936.0,-61530816.0,1967102880.0,2160664976.0,-193562096.0,1567320576.0,1572144240.0,-4823664.0,1159527,2.4,-1.83,-0.26,3.86
2022-04-27,698.38,698.38,667.65,679.31,1423759,4104737472.0,794681,BK1035,美容护理,691.87,22,5,1,229516544000.0,1289596240.0,1159571568.0,130024672.0,433231312.0,338322144.0,94909168.0,856364928.0,821249424.0,35115504.0,1499705920.0,1609981920.0,-110276000.0,1214511392.0,1234260080.0,-19748688.0,629078,1.57,6.51,0.94,4.44
2022-04-28,680.25,697.04,673.67,692.63,1885381,3982126400.0,943671,BK1035,美容护理,698.38,4,24,0,226446068000.0,1074239456.0,1144868480.0,-70629024.0,319207680.0,336576464.0,-17368784.0,755031776.0,808292016.0,-53260240.0,1591407392.0,1509514304.0,81893088.0,1218677664.0,1229941744.0,-11264080.0,941710,2.08,-18.13,-2.6,3.35
2022-04-29,709.6,714.23,681.6,681.6,2031195,4592977152.0,1100667,BK1035,美容护理,680.25,27,1,0,233883892000.0,1341931008.0,1229150432.0,112780576.0,432481168.0,319210864.0,113270304.0,909449840.0,909939568.0,-489728.0,1768526608.0,1861882320.0,-93355712.0,1390670368.0,1410095216.0,-19424848.0,930528,2.24,29.35,4.31,4.8
2022-05-02,709.6,714.23,681.6,681.6,2031195,4592977152.0,1100667,BK1035,美容护理,680.25,27,1,0,233883892000.0,1341931008.0,1229150432.0,112780576.0,432481168.0,319210864.0,113270304.0,909449840.0,909939568.0,-489728.0,1768526608.0,1861882320.0,-93355712.0,1390670368.0,1410095216.0,-19424848.0,930528,2.24,29.35,4.31,4.8
2022-05-03,709.6,714.23,681.6,681.6,2031195,4592977152.0,1100667,BK1035,美容护理,680.25,27,1,0,233883892000.0,1341931008.0,1229150432.0,112780576.0,432481168.0,319210864.0,113270304.0,909449840.0,909939568.0,-489728.0,1768526608.0,1861882320.0,-93355712.0,1390670368.0,1410095216.0,-19424848.0,930528,2.22,29.35,4.31,4.8
2022-05-04,709.6,714.23,681.6,681.6,2031195,4592977152.0,1100667,BK1035,美容护理,680.25,27,1,0,233883892000.0,1341931008.0,1229150432.0,112780576.0,432481168.0,319210864.0,113270304.0,909449840.0,909939568.0,-489728.0,1768526608.0,1861882320.0,-93355712.0,1390670368.0,1410095216.0,-19424848.0,930528,2.22,29.35,4.31,4.8
2022-05-09,718.03,723.94,708.41,710.94,1487292,3344146512.0,695021,BK1035,美容护理,710.52,20,8,0,222664386000.0,744326469.0,969821600.0,-225495131.0,167639973.0,318565216.0,-150925243.0,576686496.0,651256384.0,-74569888.0,1442389040.0,1358898576.0,83490464.0,1106526784.0,964522112.0,142004672.0,792272,1.66,7.51,1.06,2.19
