,最新,最高,最低,开盘,总量,总额,外盘,代码,名称,昨收,涨家数,跌家数,平家数,流值,主力流入,主力流出,主力净流入,超大单流入,超大单流出,超大单净流入,大单流入,大单流出,大单净流入,中单流入,中单流出,中单净流入,小单流入,小单流出,小单净流入,内盘,换手,涨跌,涨幅,振幅
2022-03-12,1308.66,1308.66,1271.46,1286.14,6004271,34148387328.0,3083085,BK1036,半导体,1305.96,53,41,1,1802332208000.0,10294385696.0,10746368576.0,-451982880.0,2595810848.0,2602331968.0,-6521120.0,7698574848.0,8144036608.0,-445461760.0,12535222272.0,12479212288.0,56009984.0,10701114112.0,10305141248.0,395972864.0,2921186,1.86,2.7,0.21,2.85
2022-03-14,1262.57,1293.47,1262.57,1293.46,4633299,26174230784.0,2037288,BK1036,半导体,1308.66,1,93,1,1744789264000.0,6693248320.0,7963399184.0,-1270150864.0,1484524608.0,1894521104.0,-409996496.0,5208723712.0,6068878080.0,-860154368.0,9849916672.0,9642383360.0,207533312.0,9169784064.0,8107166720.0,1062617344.0,2596011,1.43,-46.09,-3.52,2.36
2022-03-15,1211.08,1276.44,1211.08,1251.88,6641071,36921435392.0,3128477,BK1036,半导体,1262.57,12,82,1,1687570032000.0,10573753968.0,11819744400.0,-1245990432.0,2725000048.0,3103454096.0,-378454048.0,7848753920.0,8716290304.0,-867536384.0,13305978112.0,13367208960.0,-61230848.0,12476110336.0,11168889088.0,1307221248.0,3512594,2.05,-51.49,-4.08,5.18
2022-03-16,1261.75,1262.94,1185.22,1235.0,7939575,44942535424.0,4237440,BK1036,半导体,1211.08,91,3,2,1777829440000.0,16288706816.0,13993491344.0,2295215472.0,5162582272.0,3520929424.0,1641652848.0,11126124544.0,10472561920.0,653562624.0,15419944192.0,16479646976.0,-1059702784.0,12549047296.0,13784559872.0,-1235512576.0,3702136,2.45,50.67,4.18,6.42
2022-03-17,1282.55,1310.59,1279.38,1279.54,8149615,49716479744.0,4095890,BK1036,半导体,1261.75,69,25,2,1799458928000.0,17534208768.0,17046081536.0,488127232.0,5086480384.0,4864342272.0,222138112.0,12447728384.0,12181739264.0,265989120.0,17757113344.0,18386271744.0,-629158400.0,13561309952.0,13420278784.0,141031168.0,4053724,2.52,20.8,1.65,2.47
2022-03-18,1277.44,1286.3,1266.11,1276.48,4757545,28444141312.0,2358026,BK1036,半导体,1282.55,44,50,2,1790364736000.0,8133958064.0,8933214528.0,-799256464.0,2106490032.0,2289471296.0,-182981264.0,6027468032.0,6643743232.0,-616275200.0,10393530368.0,10028463872.0,365066496.0,8791357696.0,8357167872.0,434189824.0,2399519,1.47,-5.11,-0.4,1.57
2022-03-21,1299.99,1301.54,1270.74,1277.67,5196476,30402068736.0,2616203,BK1036,半导体,1277.44,70,20,6,1806617808000.0,9265891248.0,9666922272.0,-401031024.0,2210657200.0,2649151264.0,-438494064.0,7055234048.0,7017771008.0,37463040.0,11392455168.0,11332129792.0,60325376.0,9272514816.0,8931809024.0,340705792.0,2580273,1.61,22.55,1.77,2.41
2022-03-22,1280.34,1296.85,1276.88,1296.85,4250738,24983918336.0,1937374,BK1036,半导体,1299.99,16,78,3,1777154128000.0,6551590192.0,8137497344.0,-1585907152.0,1463214128.0,2237569792.0,-774355664.0,5088376064.0,5899927552.0,-811551488.0,9614780160.0,9213993472.0,400786688.0,8347145728.0,7162025216.0,1185120512.0,2313364,1.31,-19.65,-1.51,1.54
2022-03-23,1284.55,1290.89,1269.62,1283.3,4257784,24649332992.0,2105842,BK1036,半导体,1280.34,64,29,4,1773621648000.0,6908118880.0,7716005056.0,-807886176.0,1524293728.0,2022749120.0,-498455392.0,5383825152.0,5693255936.0,-309430784.0,9407634688.0,9662089216.0,-254454528.0,7936014592.0,6873673728.0,1062340864.0,2151941,1.32,4.21,0.33,1.66
2022-03-24,1254.05,1276.57,1249.37,1276.57,4194996,22792347904.0,1821251,BK1036,半导体,1284.55,4,90,3,1734021392000.0,5280972992.0,7182681680.0,-1901708688.0,1010825920.0,1804717648.0,-793891728.0,4270147072.0,5377964032.0,-1107816960.0,8533811968.0,8398016000.0,135795968.0,8575362560.0,6809449728.0,1765912832.0,2373745,1.3,-30.5,-2.37,2.12
