,最新,最高,最低,开盘,总量,总额,外盘,代码,名称,昨收,涨家数,跌家数,平家数,流值,主力流入,主力流出,主力净流入,超大单流入,超大单流出,超大单净流入,大单流入,大单流出,大单净流入,中单流入,中单流出,中单净流入,小单流入,小单流出,小单净流入,内盘,换手,涨跌,涨幅,振幅
2022-03-12,1299.42,1301.05,1270.91,1290.23,2605871,5336126464.0,1283277,BK1039,电子化学品,1305.52,10,11,0,144761736000.0,1658110832.0,2000172240.0,-342061408.0,423559456.0,509708784.0,-86149328.0,1234551376.0,1490463456.0,-255912080.0,1819210000.0,1789482432.0,29727568.0,1742685504.0,1430351648.0,312333856.0,1322594,4.45,-6.1,-0.47,2.31
2022-03-14,1262.11,1294.02,1262.11,1292.45,2151590,4238397264.0,959194,BK1039,电子化学品,1299.42,2,19,0,140906719000.0,1148167301.0,1468701792.0,-320534491.0,261094213.0,429082528.0,-167988315.0,887073088.0,1039619264.0,-152546176.0,1501550448.0,1467459936.0,34090512.0,1496767376.0,1210323408.0,286443968.0,1192397,3.66,-37.31,-2.87,2.46
2022-03-15,1212.99,1267.16,1212.99,1251.86,2334243,4865949952.0,1090593,BK1039,电子化学品,1262.11,3,18,0,135141266000.0,1542776992.0,1639994400.0,-97217408.0,507237056.0,422832064.0,84404992.0,1035539936.0,1217162336.0,-181622400.0,1668547744.0,1716571920.0,-48024176.0,1561684960.0,1416443360.0,145241600.0,1243651,3.99,-49.12,-3.89,4.29
2022-03-16,1254.17,1256.56,1185.46,1233.14,2468313,5313730816.0,1202918,BK1039,电子化学品,1212.99,19,2,0,139304999000.0,1527054768.0,1689220976.0,-162166208.0,352481520.0,422760032.0,-70278512.0,1174573248.0,1266460944.0,-91887696.0,1908763152.0,1937876496.0,-29113344.0,1783654512.0,1592374976.0,191279536.0,1265395,4.21,41.18,3.39,5.86
2022-03-17,1321.59,1351.69,1275.28,1275.28,3321184,8387447040.0,1795412,BK1039,电子化学品,1254.17,21,0,0,146895926000.0,2936910848.0,2796943200.0,139967648.0,841120016.0,696981728.0,144138288.0,2095790832.0,2099961472.0,-4170640.0,2975060768.0,3060672816.0,-85612048.0,2332522160.0,2386877776.0,-54355616.0,1525772,5.67,67.42,5.38,6.09
2022-03-18,1311.39,1333.03,1301.69,1316.37,2495566,6516667904.0,1124979,BK1039,电子化学品,1321.58,10,11,0,145628330000.0,1623815792.0,2105567536.0,-481751744.0,301003776.0,539975632.0,-238971856.0,1322812016.0,1565591904.0,-242779888.0,2354880160.0,2300163424.0,54716736.0,2358586192.0,1931551216.0,427034976.0,1370587,4.26,-10.19,-0.77,2.37
2022-03-21,1337.03,1337.5,1305.33,1307.61,2228148,5941860608.0,1111300,BK1039,电子化学品,1311.39,16,5,0,148076775000.0,1650950032.0,1711374880.0,-60424848.0,324205760.0,344421696.0,-20215936.0,1326744272.0,1366953184.0,-40208912.0,2155840688.0,2241131696.0,-85291008.0,2005807456.0,1860091584.0,145715872.0,1116847,3.8,25.64,1.96,2.45
2022-03-22,1317.85,1331.88,1313.47,1331.8,2040801,5234847488.0,890872,BK1039,电子化学品,1337.03,4,17,0,146757126000.0,1443988064.0,1578935552.0,-134947488.0,266869952.0,328338480.0,-61468528.0,1177118112.0,1250597072.0,-73478960.0,1868263552.0,1888072512.0,-19808960.0,1824902000.0,1670145568.0,154756432.0,1149929,3.48,-19.18,-1.43,1.38
2022-03-23,1326.05,1329.41,1313.87,1320.54,1585966,4257646592.0,762620,BK1039,电子化学品,1317.85,13,8,0,147956818000.0,1130218009.0,1137752707.0,-7534698.0,210144505.0,218162067.0,-8017562.0,920073504.0,919590640.0,482864.0,1588207824.0,1566923168.0,21284656.0,1443166080.0,1456916032.0,-13749952.0,823346,2.7,8.2,0.62,1.18
2022-03-24,1304.35,1318.22,1296.27,1317.47,1794618,4127508208.0,885197,BK1039,电子化学品,1326.05,4,17,0,145173246000.0,970244397.0,1201974442.0,-231730045.0,166728573.0,260012426.0,-93283853.0,803515824.0,941962016.0,-138446192.0,1521697472.0,1470729712.0,50967760.0,1568375104.0,1387612816.0,180762288.0,909421,3.06,-21.7,-1.64,1.66
2022-03-25,1299.16,1321.4,1298.42,1308.86,1582363,3957191232.0,721176,BK1039,电子化学品,1304.35,9,12,0,144375323000.0,1007515804.0,1188772641.0,-181256837.0,166081788.0,249527089.0,-83445301.0,841434016.0,939245552.0,-97811536.0,1498169504.0,1457953616.0,40215888.0,1375187072.0,1234146144.0,141040928.0,861187,2.7,-5.19,-0.4,1.76
2022-03-28,1292.97,1307.34,1282.86,1286.74,1264261,3150791776.0,599075,BK1039,电子化学品,1299.16,8,12,1,143982053000.0,759751679.0,951364608.0,-191612929.0,109526831.0,193967760.0,-84440929.0,650224848.0,757396848.0,-107172000.0,1219103024.0,1120854384.0,98248640.0,1111208848.0,1017844576.0,93364272.0,665185,2.15,-6.19,-0.48,1.88
2022-03-29,1283.15,1298.03,1275.05,1297.14,1440217,3225676768.0,685705,BK1039,电子化学品,1292.97,6,15,0,141673292000.0,897002800.0,855570998.0,41431802.0,306075376.0,181834726.0,124240650.0,590927424.0,673736272.0,-82808848.0,1148333904.0,1238084896.0,-89750992.0,1134589184.0,1086269984.0,48319200.0,754512,2.45,-9.82,-0.76,1.78
2022-03-30,1306.17,1307.22,1286.97,1287.57,1920554,3743363872.0,976840,BK1039,电子化学品,1283.15,20,1,0,144651287000.0,934538764.0,1045151826.0,-110613062.0,165940444.0,253989522.0,-88049078.0,768598320.0,791162304.0,-22563984.0,1416660096.0,1369794512.0,46865584.0,1313167344.0,1249419872.0,63747472.0,943714,3.27,23.02,1.79,1.58
2022-03-31,1291.47,1309.93,1286.55,1309.93,1732986,3851923072.0,756976,BK1039,电子化学品,1306.17,6,14,1,142875711000.0,923219050.0,1126361797.0,-203142747.0,210924634.0,239903173.0,-28978539.0,712294416.0,886458624.0,-174164208.0,1365718672.0,1471916144.0,-106197472.0,1460845904.0,1151505680.0,309340224.0,976010,2.95,-14.7,-1.13,1.79
2022-04-01,1290.48,1293.46,1273.57,1285.57,1392467,3122898896.0,652475,BK1039,电子化学品,1291.47,10,11,0,142006936000.0,672602423.0,936516981.0,-263914558.0,117801079.0,262028661.0,-144227582.0,554801344.0,674488320.0,-119686976.0,1150867728.0,1061120624.0,89747104.0,1216588496.0,1042421024.0,174167472.0,739992,2.37,-0.99,-0.08,1.54
2022-04-06,1276.7,1286.99,1265.73,1285.45,1143153,2707349920.0,531840,BK1039,电子化学品,1290.48,7,12,2,140197436000.0,461793019.0,724773394.0,-262980375.0,51670939.0,127602274.0,-75931335.0,410122080.0,597171120.0,-187049040.0,975676096.0,986015872.0,-10339776.0,1203701056.0,930380912.0,273320144.0,611313,1.95,-13.78,-1.07,1.65
2022-04-07,1233.59,1270.67,1233.59,1269.9,1410433,2678004080.0,574224,BK1039,电子化学品,1276.7,0,21,0,135404908000.0,481067834.0,711165480.0,-230097646.0,56356650.0,133000408.0,-76643758.0,424711184.0,578165072.0,-153453888.0,934372416.0,978539136.0,-44166720.0,1213452128.0,939187760.0,274264368.0,836208,2.4,-43.11,-3.38,2.9
2022-04-08,1240.36,1254.59,1210.83,1235.48,1357127,3016110528.0,661160,BK1039,电子化学品,1233.59,14,7,0,136372415000.0,682585269.0,671088944.0,11496325.0,99866869.0,111792688.0,-11925819.0,582718400.0,559296256.0,23422144.0,1170713856.0,1109369824.0,61344032.0,1123293552.0,1196133904.0,-72840352.0,695966,2.31,6.77,0.55,3.55
2022-04-11,1191.64,1226.85,1184.87,1226.85,1332281,2822337648.0,570824,BK1039,电子化学品,1240.36,1,20,0,130882802000.0,498607036.0,811092949.0,-312485913.0,57936636.0,181034181.0,-123097545.0,440670400.0,630058768.0,-189388368.0,1066159168.0,1006022656.0,60136512.0,1209267408.0,956917984.0,252349424.0,761457,2.27,-48.72,-3.93,3.38
2022-04-12,1208.61,1208.61,1173.82,1188.36,1046535,2470711088.0,520087,BK1039,电子化学品,1191.64,16,4,1,132524255000.0,511767492.0,581394623.0,-69627131.0,66084260.0,86037695.0,-19953435.0,445683232.0,495356928.0,-49673696.0,984660288.0,933388144.0,51272144.0,934134976.0,915779984.0,18354992.0,526448,1.78,16.97,1.42,2.92
