,最新,最高,最低,开盘,总量,总额,外盘,代码,名称,昨收,涨家数,跌家数,平家数,流值,主力流入,主力流出,主力净流入,超大单流入,超大单流出,超大单净流入,大单流入,大单流出,大单净流入,中单流入,中单流出,中单净流入,小单流入,小单流出,小单净流入,内盘,换手,涨跌,涨幅,振幅
2022-03-12,1389.32,1391.04,1326.44,1329.85,20932797,24732745472.0,11123118,BK1040,中药,1345.05,65,5,0,912496752000.0,8233318288.0,7068395744.0,1164922544.0,3003988368.0,1777820640.0,1226167728.0,5229329920.0,5290575104.0,-61245184.0,7712561152.0,8433284096.0,-720722944.0,8370877952.0,8815077376.0,-444199424.0,9809679,3.45,44.27,3.29,4.8
2022-03-14,1367.69,1417.04,1367.69,1396.74,21986293,26948523520.0,10177995,BK1040,中药,1389.32,11,59,0,896712672000.0,8295132784.0,9654217008.0,-1359084224.0,2979403888.0,3465552688.0,-486148800.0,5315728896.0,6188664320.0,-872935424.0,8156811520.0,8241648128.0,-84836608.0,9800848640.0,8356927744.0,1443920896.0,11808298,3.62,-21.63,-1.56,3.55
2022-03-15,1300.96,1362.98,1300.96,1354.41,19589381,24456770816.0,8864819,BK1040,中药,1367.69,4,66,0,854701776000.0,6394479840.0,8093112336.0,-1698632496.0,1363619552.0,2448311312.0,-1084691760.0,5030860288.0,5644801024.0,-613940736.0,7954984704.0,7633605120.0,321379584.0,9628833024.0,8251580160.0,1377252864.0,10724562,3.22,-66.73,-4.88,4.53
2022-03-16,1322.64,1333.12,1261.45,1324.21,19662517,23743775744.0,9087532,BK1040,中药,1300.96,59,9,2,871500400000.0,7073276192.0,7026435376.0,46840816.0,2324252704.0,1678792496.0,645460208.0,4749023488.0,5347642880.0,-598619392.0,7541815296.0,7757711104.0,-215895808.0,8553797376.0,8384742400.0,169054976.0,10574984,3.24,21.68,1.67,5.51
2022-03-17,1380.68,1408.88,1322.94,1330.12,26522037,32587116544.0,14129847,BK1040,中药,1322.64,68,1,1,905449616000.0,12203160832.0,11054907360.0,1148253472.0,4985563392.0,3525830880.0,1459732512.0,7217597440.0,7529076480.0,-311479040.0,9830030592.0,10634592512.0,-804561920.0,10009135104.0,10352826880.0,-343691776.0,12392190,4.37,58.04,4.39,6.5
2022-03-18,1418.3,1422.9,1379.68,1382.49,27046020,32157313280.0,13733946,BK1040,中药,1380.68,59,11,0,919820448000.0,10006832400.0,11230790608.0,-1223958208.0,2870384656.0,3551904976.0,-681520320.0,7136447744.0,7678885632.0,-542437888.0,10661827328.0,10222107392.0,439719936.0,10449112576.0,9664874240.0,784238336.0,13312075,4.45,37.62,2.72,3.13
2022-03-21,1462.03,1463.74,1432.88,1433.49,26587760,32113812480.0,12910758,BK1040,中药,1418.3,60,7,3,935617104000.0,10392471888.0,10469978496.0,-77506608.0,3548683600.0,2991792768.0,556890832.0,6843788288.0,7478185728.0,-634397440.0,10457010432.0,10708452608.0,-251442176.0,10483995904.0,10155046912.0,328948992.0,13677002,4.38,43.73,3.08,2.18
2022-03-22,1444.39,1465.7,1432.42,1465.7,23252423,29943611392.0,10070287,BK1040,中药,1462.03,12,57,1,921473328000.0,9478398128.0,11548555376.0,-2070157248.0,3113377712.0,4074406768.0,-961029056.0,6365020416.0,7474148608.0,-1109128192.0,9484427008.0,9370688768.0,113738240.0,10226011904.0,8269592576.0,1956419328.0,13182136,3.83,-17.64,-1.21,2.28
2022-03-23,1481.72,1507.26,1433.99,1441.6,26903896,37346643200.0,13823236,BK1040,中药,1444.39,56,14,0,948026992000.0,13426559744.0,12370061456.0,1056498288.0,5045529600.0,3741985936.0,1303543664.0,8381030144.0,8628075520.0,-247045376.0,11825290240.0,12196885504.0,-371595264.0,11262423552.0,11947326464.0,-684902912.0,13080660,4.43,37.33,2.58,5.07
2022-03-24,1508.85,1517.83,1460.88,1468.07,27329357,34565229824.0,14053077,BK1040,中药,1481.72,52,17,1,954220832000.0,11709501792.0,10986846800.0,722654992.0,3955575136.0,3189827920.0,765747216.0,7753926656.0,7797018880.0,-43092224.0,11047454720.0,11523053824.0,-475599104.0,10840200704.0,11087256832.0,-247056128.0,13276280,4.5,27.13,1.83,3.84
2022-03-25,1505.34,1550.68,1505.34,1512.07,29882286,38326600448.0,14039394,BK1040,中药,1508.84,29,38,3,944702000000.0,12410815680.0,13494778112.0,-1083962432.0,4204269248.0,4577397504.0,-373128256.0,8206546432.0,8917380608.0,-710834176.0,11952047360.0,12437350656.0,-485303296.0,12913038848.0,11343772672.0,1569266176.0,15842892,4.92,-3.5,-0.23,3.0
2022-03-28,1488.79,1514.39,1474.97,1502.86,24611226,32879238400.0,11795349,BK1040,中药,1505.34,18,50,2,942296752000.0,10242701280.0,11753610400.0,-1510909120.0,3251160288.0,4123940256.0,-872779968.0,6991540992.0,7629670144.0,-638129152.0,10334690816.0,10184469248.0,150221568.0,11277659392.0,9916972032.0,1360687360.0,12815877,4.05,-16.55,-1.1,2.62
2022-03-29,1532.29,1546.85,1463.15,1485.44,30312736,39555066880.0,15248325,BK1040,中药,1488.79,56,13,1,963359008000.0,13933860864.0,13146270448.0,787590416.0,4974546688.0,4064772592.0,909774096.0,8959314176.0,9081497856.0,-122183680.0,12605148672.0,12889480704.0,-284332032.0,12100067072.0,12603325696.0,-503258624.0,15064411,4.99,43.5,2.92,5.62
