,最新,最高,最低,开盘,总量,总额,外盘,代码,名称,昨收,涨家数,跌家数,平家数,流值,主力流入,主力流出,主力净流入,超大单流入,超大单流出,超大单净流入,大单流入,大单流出,大单净流入,中单流入,中单流出,中单净流入,小单流入,小单流出,小单净流入,内盘,换手,涨跌,涨幅,振幅
2022-03-12,1102.43,1103.84,1068.14,1078.46,1273010,2704740864.0,624770,BK1043,专业服务,1089.57,14,10,0,119463508000.0,585304459.0,544847121.0,40457338.0,109489403.0,93549217.0,15940186.0,475815056.0,451297904.0,24517152.0,964941184.0,1013751680.0,-48810496.0,1102591232.0,1094238096.0,8353136.0,648240,1.62,12.86,1.18,3.28
2022-03-14,1078.01,1107.63,1078.01,1097.94,1203355,2961967168.0,535822,BK1043,专业服务,1102.43,4,20,0,116489609000.0,665725756.0,763805675.0,-98079919.0,122021820.0,153343627.0,-31321807.0,543703936.0,610462048.0,-66758112.0,1053301648.0,1045635568.0,7666080.0,1157988768.0,1067574928.0,90413840.0,667534,1.53,-24.42,-2.22,2.69
2022-03-15,1031.57,1071.51,1031.57,1071.44,1550921,3519067056.0,696074,BK1043,专业服务,1078.01,3,21,0,112283062000.0,906523424.0,962146383.0,-55622959.0,285720864.0,189153551.0,96567313.0,620802560.0,772992832.0,-152190272.0,1197114144.0,1267102688.0,-69988544.0,1352669056.0,1227057552.0,125611504.0,854847,1.97,-46.44,-4.31,3.7
2022-03-16,1048.71,1050.06,998.66,1042.28,1589739,3334098656.0,830514,BK1043,专业服务,1031.57,18,6,0,113617188000.0,716559378.0,935879331.0,-219319953.0,116017954.0,205886835.0,-89868881.0,600541424.0,729992496.0,-129451072.0,1216690704.0,1148771600.0,67919104.0,1323850480.0,1172449632.0,151400848.0,759225,2.02,17.14,1.66,4.98
2022-03-17,1075.94,1085.82,1051.09,1055.28,1599023,3386208032.0,858476,BK1043,专业服务,1048.71,19,5,0,116955925000.0,761736485.0,804344206.0,-42607721.0,111167429.0,160867806.0,-49700377.0,650569056.0,643476400.0,7092656.0,1246222560.0,1270820128.0,-24597568.0,1312591552.0,1245386256.0,67205296.0,740547,2.03,27.23,2.6,3.31
2022-03-18,1089.74,1090.97,1066.83,1074.64,1539793,2549835600.0,703778,BK1043,专业服务,1075.94,17,7,0,118364776000.0,717595532.0,545832669.0,171762863.0,255292300.0,87312349.0,167979951.0,462303232.0,458520320.0,3782912.0,843220736.0,912654912.0,-69434176.0,914434752.0,1016763456.0,-102328704.0,836015,1.96,13.8,1.28,2.24
2022-03-21,1108.09,1108.72,1090.71,1093.32,2624285,3602784176.0,1181024,BK1043,专业服务,1089.74,18,6,0,120336419000.0,851066941.0,850268233.0,798708.0,186347213.0,137651449.0,48695764.0,664719728.0,712616784.0,-47897056.0,1309569456.0,1269473568.0,40095888.0,1325424016.0,1366318592.0,-40894576.0,1443261,3.34,18.35,1.68,1.65
2022-03-22,1096.11,1112.49,1093.49,1111.56,2911121,3825807008.0,1265413,BK1043,专业服务,1108.09,5,18,1,118967492000.0,854502674.0,1061459669.0,-206956995.0,193384434.0,236100101.0,-42715667.0,661118240.0,825359568.0,-164241328.0,1331544640.0,1362337408.0,-30792768.0,1546051024.0,1308301248.0,237749776.0,1645707,3.7,-11.98,-1.08,1.71
2022-03-23,1101.8,1108.2,1089.9,1096.24,2452646,3312929264.0,1174564,BK1043,专业服务,1096.11,12,12,0,120901899000.0,650107203.0,738543747.0,-88436544.0,78993571.0,133621763.0,-54628192.0,571113632.0,604921984.0,-33808352.0,1232761632.0,1208079968.0,24681664.0,1336767952.0,1273013072.0,63754880.0,1278082,3.12,5.69,0.52,1.67
2022-03-24,1080.06,1095.82,1079.68,1095.62,1889934,2807867408.0,832580,BK1043,专业服务,1101.8,4,20,0,119778557000.0,513898464.0,628913581.0,-115015117.0,82533856.0,121429821.0,-38895965.0,431364608.0,507483760.0,-76119152.0,1039571648.0,1013765488.0,25806160.0,1194739216.0,1105530256.0,89208960.0,1057354,2.4,-21.74,-1.97,1.46
