,最新,最高,最低,开盘,总量,总额,外盘,代码,名称,昨收,涨家数,跌家数,平家数,流值,主力流入,主力流出,主力净流入,超大单流入,超大单流出,超大单净流入,大单流入,大单流出,大单净流入,中单流入,中单流出,中单净流入,小单流入,小单流出,小单净流入,内盘,换手,涨跌,涨幅,振幅
2022-03-12,903.85,904.94,863.31,867.19,5232572,20212911360.0,2839189,BK1044,生物制品,874.46,44,3,2,686299760000.0,7957308208.0,7486848288.0,470459920.0,2637289520.0,2448151840.0,189137680.0,5320018688.0,5038696448.0,281322240.0,6636794112.0,6791822080.0,-155027968.0,5159450880.0,5474882560.0,-315431680.0,2393383,2.15,29.39,3.36,4.76
2022-03-14,888.79,917.43,888.79,907.44,5309103,18154728192.0,2585266,BK1044,生物制品,903.85,8,38,4,677306128000.0,6714357792.0,7238139776.0,-523781984.0,2065401120.0,2203656576.0,-138255456.0,4648956672.0,5034483200.0,-385526528.0,6232407808.0,5995292160.0,237115648.0,4817449472.0,4530782976.0,286666496.0,2723837,2.18,-15.06,-1.67,3.17
2022-03-15,860.21,887.84,860.12,881.29,5140724,17550518528.0,2377208,BK1044,生物制品,888.79,8,39,3,659831664000.0,6317578528.0,6683322928.0,-365744400.0,1857655840.0,1810955056.0,46700784.0,4459922688.0,4872367872.0,-412445184.0,5931158528.0,5918080000.0,13078528.0,5001243904.0,4648578048.0,352665856.0,2763517,2.11,-28.58,-3.22,3.12
2022-03-16,869.68,878.08,833.07,872.79,5360703,18903463424.0,2626100,BK1044,生物制品,860.21,31,16,3,674636224000.0,7079324080.0,6924106912.0,155217168.0,2066971568.0,1989621664.0,77349904.0,5012352512.0,4934485248.0,77867264.0,6513816320.0,6535035904.0,-21219584.0,4989762560.0,5123760384.0,-133997824.0,2734602,2.2,9.47,1.1,5.23
2022-03-17,894.49,913.96,873.45,873.9,5709953,22090092032.0,2975092,BK1044,生物制品,869.68,45,1,4,696666464000.0,9092585536.0,8787277072.0,305308464.0,3018821696.0,2948219920.0,70601776.0,6073763840.0,5839057152.0,234706688.0,7621300480.0,7597942528.0,23357952.0,5065041920.0,5393708544.0,-328666624.0,2734860,2.35,24.81,2.85,4.66
2022-03-18,919.55,920.34,891.29,892.7,5849810,22354991360.0,3242079,BK1044,生物制品,894.49,40,6,4,723864608000.0,10109036544.0,9125777104.0,983259440.0,4051054080.0,2788824528.0,1262229552.0,6057982464.0,6336952576.0,-278970112.0,7033750528.0,7485565696.0,-451815168.0,4506041856.0,5037486080.0,-531444224.0,2607731,2.4,25.06,2.8,3.25
2022-03-21,939.37,939.46,920.97,921.75,5612449,21607670272.0,2755289,BK1044,生物制品,919.55,37,9,4,737103024000.0,8933482928.0,9058323168.0,-124840240.0,2885927088.0,2913499616.0,-27572528.0,6047555840.0,6144823552.0,-97267712.0,7403706112.0,7286279424.0,117426688.0,4803924480.0,4796511232.0,7413248.0,2857160,2.31,19.82,2.16,2.01
2022-03-22,915.15,933.25,913.67,933.02,4316233,16211574016.0,1816707,BK1044,生物制品,939.36,3,44,4,712178576000.0,5882750192.0,7077032752.0,-1194282560.0,1854626032.0,2403857456.0,-549231424.0,4028124160.0,4673175296.0,-645051136.0,5510841856.0,5313926656.0,196915200.0,4463217408.0,3465850096.0,997367312.0,2499526,1.77,-24.21,-2.58,2.08
2022-03-23,916.85,926.55,908.36,913.67,3733807,13442150144.0,1849163,BK1044,生物制品,915.15,26,19,6,716559600000.0,4960679232.0,4973137728.0,-12458496.0,1468396560.0,1326954048.0,141442512.0,3492282672.0,3646183680.0,-153901008.0,4628194304.0,4719441920.0,-91247616.0,3630189264.0,3526483216.0,103706048.0,1884644,1.54,1.7,0.19,1.99
2022-03-24,934.06,939.39,907.48,912.73,5415307,18168253184.0,3007977,BK1044,生物制品,916.84,33,14,4,733761600000.0,7562326400.0,6683367824.0,878958576.0,2694448512.0,2022393232.0,672055280.0,4867877888.0,4660974592.0,206903296.0,6003857408.0,6418795776.0,-414938368.0,4325233408.0,4789253376.0,-464019968.0,2407330,2.22,17.22,1.88,3.48
