,最新,最高,最低,今开,总手,金额,外盘,量比,涨停,跌停,代码,名称,昨收,均价,总值,流值,主力流入,主力流出,主力净流入,超大单流入,超大单流出,超大单净流入,大单流入,大单流出,大单净流入,中单流入,中单流出,中单净流入,小单流入,小单流出,小单净流入,动态市盈率,静态市盈率,滚动市盈率,市净,换手,涨跌,涨幅,净资产收益率,总营收
2022-03-12,1769.01,1777.0,1718.08,1766.0,47727,8335618304.0,21663,1.04,1973.87,1614.99,600519,贵州茅台,1794.43,1746.53,2222226470178.0,2222226470178.0,5103731744.0,5382609024.0,-278877280.0,2717601920.0,2951526304.0,-233924384.0,2386129824.0,2431082720.0,-44952896.0,3058999392.0,2779953344.0,279046048.0,4928705.0,5097483.0,-168778.0,44.72,47.59,44.32,12.75,0.38,-25.42,-1.42,21.68,77053154965.96
2022-03-14,1700.0,1750.0,1700.0,1730.0,49007,8416841984.0,21643,0.99,1945.91,1592.11,600519,贵州茅台,1769.01,1717.49,2135536260000.0,2135536260000.0,4469119472.0,5501870704.0,-1032751232.0,2180734464.0,3121575824.0,-940841360.0,2288385008.0,2380294880.0,-91909872.0,3628679760.0,2597192400.0,1031487360.0,2834802.0,1570936.0,1263866.0,42.98,45.73,42.59,12.25,0.39,-69.01,-3.9,21.68,77053154965.96
2022-03-15,1603.0,1685.0,1603.0,1650.0,89056,14567142656.0,44198,1.8,1870.0,1530.0,600519,贵州茅台,1700.0,1635.73,2013685073400.0,2013685073400.0,9620836352.0,9579612416.0,41223936.0,4932083968.0,4956833536.0,-24749568.0,4688752384.0,4622778880.0,65973504.0,4525171712.0,4571810816.0,-46639104.0,15487010.0,10071426.0,5415584.0,40.53,43.12,40.16,11.55,0.71,-97.0,-5.71,21.68,77053154965.96
2022-03-16,1674.95,1683.9,1593.0,1634.0,77593,12753010176.0,41820,1.39,1763.3,1442.7,600519,贵州茅台,1603.0,1643.58,2104068505110.0,2104068505110.0,8544295344.0,8121464304.0,422831040.0,4888026624.0,4011982832.0,876043792.0,3656268720.0,4109481472.0,-453212752.0,3907360816.0,4323207936.0,-415847120.0,5098145.0,12082060.0,-6983915.0,42.35,45.06,41.97,12.07,0.62,71.95,4.49,21.68,77053154965.96
2022-03-17,1720.15,1755.0,1711.66,1720.0,68352,11843531776.0,35967,1.14,1842.45,1507.46,600519,贵州茅台,1674.95,1732.73,2160848645670.0,2160848645670.0,7812688064.0,7231076240.0,581611824.0,4825631488.0,4001676352.0,823955136.0,2987056576.0,3229399888.0,-242343312.0,3380835376.0,3960376368.0,-579540992.0,3189830.0,5260625.0,-2070795.0,43.49,46.27,43.1,12.39,0.54,45.2,2.7,21.68,77053154965.96
2022-03-18,1707.79,1745.0,1692.28,1718.0,38349,6564085504.0,21854,0.58,1892.17,1548.14,600519,贵州茅台,1720.15,1711.68,2145322040862.0,2145322040862.0,3599758176.0,3309670800.0,290087376.0,1837685200.0,1461139872.0,376545328.0,1762072976.0,1848530928.0,-86457952.0,2275989536.0,2565387120.0,-289397584.0,2085897.0,2775689.0,-689792.0,43.18,45.94,42.79,12.3,0.31,-12.36,-0.72,21.68,77053154965.96
2022-03-21,1704.3,1725.65,1695.01,1724.0,27877,4763083264.0,12436,0.43,1878.57,1537.01,600519,贵州茅台,1707.79,1708.6,2140937910540.0,2140937910540.0,2412594032.0,2749737936.0,-337143904.0,1028831264.0,1115187824.0,-86356560.0,1383762768.0,1634550112.0,-250787344.0,2166611968.0,1828502112.0,338109856.0,2358216.0,3324156.0,-965940.0,43.09,45.85,42.7,12.28,0.22,-3.49,-0.2,21.68,77053154965.96
2022-03-22,1695.0,1723.88,1686.33,1723.88,21054,3578291200.0,8703,0.35,1874.73,1533.87,600519,贵州茅台,1704.3,1699.57,2129255271000.0,2129255271000.0,1712990624.0,1994622208.0,-281631584.0,850663232.0,1041653216.0,-190989984.0,862327392.0,952968992.0,-90641600.0,1706629232.0,1424509728.0,282119504.0,2005633.0,2493551.0,-487918.0,42.85,45.6,42.47,12.21,0.17,-9.3,-0.55,21.68,77053154965.96
2022-03-23,1752.19,1770.0,1697.0,1705.0,58067,10096341504.0,35013,1.24,1864.5,1525.5,600519,贵州茅台,1695.0,1738.73,2201097223182.0,2201097223182.0,7066175408.0,5890923936.0,1175251472.0,4578474496.0,2710181632.0,1868292864.0,2487700912.0,3180742304.0,-693041392.0,2890023744.0,4057986080.0,-1167962336.0,3811729.0,11100761.0,-7289032.0,44.3,47.14,43.9,12.62,0.46,57.19,3.37,21.68,77053154965.96
2022-03-24,1720.93,1740.0,1717.35,1738.0,25815,4457504512.0,11198,0.6,1927.41,1576.97,600519,贵州茅台,1752.19,1726.69,2161828479954.0,2161828479954.0,2353886624.0,2602161296.0,-248274672.0,1055085728.0,1321450096.0,-266364368.0,1298800896.0,1280711200.0,18089696.0,1987604240.0,1738974080.0,248630160.0,793971.0,1149453.0,-355482.0,43.51,46.29,43.12,12.4,0.21,-31.26,-1.78,21.68,77053154965.96
2022-03-25,1690.0,1734.0,1685.0,1712.0,29709,5054831360.0,12814,0.87,1893.02,1548.84,600519,贵州茅台,1720.93,1701.47,2122974282000.0,2122974282000.0,2695578288.0,3188474272.0,-492895984.0,1311433312.0,1898365792.0,-586932480.0,1384144976.0,1290108480.0,94036496.0,2233264240.0,1741614224.0,491650016.0,2655271.0,1409287.0,1245984.0,42.73,45.46,42.34,12.18,0.24,-30.93,-1.8,21.68,77053154965.96
2022-03-28,1660.8,1664.8,1604.0,1625.0,57542,9392007936.0,27447,1.77,1859.0,1521.0,600519,贵州茅台,1690.0,1632.21,2086293306240.0,2086293306240.0,5870645616.0,5970327056.0,-99681440.0,2819185536.0,3221453152.0,-402267616.0,3051460080.0,2748873904.0,302586176.0,3270834544.0,3171189184.0,99645360.0,6564301.0,6528201.0,36100.0,41.99,44.68,41.61,11.97,0.46,-29.2,-1.73,21.68,77053154965.96
2022-03-29,1667.0,1691.5,1661.5,1661.5,25935,4343365376.0,14394,0.67,1826.88,1494.72,600519,贵州茅台,1660.8,1674.71,2094081732600.0,2094081732600.0,2396178400.0,2478416768.0,-82238368.0,1307376512.0,1400363968.0,-92987456.0,1088801888.0,1078052800.0,10749088.0,1798589616.0,1717466496.0,81123120.0,3103154.0,1987904.0,1115250.0,42.14,44.84,41.77,12.01,0.21,6.2,0.37,21.68,77053154965.96
2022-03-30,1730.1,1730.1,1695.0,1698.0,42433,7276379136.0,24128,1.08,1833.7,1500.3,600519,贵州茅台,1667.0,1714.78,2173347813780.0,2173347813780.0,4497766784.0,3861880672.0,635886112.0,2502662688.0,1657710336.0,844952352.0,1995104096.0,2204170336.0,-209066240.0,2440762304.0,3073275824.0,-632513520.0,1970359.0,5342960.0,-3372601.0,43.74,46.54,43.35,12.47,0.34,63.1,3.79,21.68,77053154965.96
2022-03-31,1719.0,1738.6,1708.8,1720.0,25174,4338022912.0,12507,0.69,1903.11,1557.09,600519,贵州茅台,1730.1,1723.23,2159404018200.0,2159404018200.0,2221481776.0,2422532368.0,-201050592.0,1024922848.0,1179874464.0,-154951616.0,1196558928.0,1242657904.0,-46098976.0,1931085696.0,1730434960.0,200650736.0,2379088.0,1979244.0,399844.0,41.16,41.16,41.16,11.39,0.2,-11.1,-0.64,29.9,109464278563.89
2022-04-01,1780.01,1793.0,1721.69,1729.94,44862,7936957184.0,27743,1.24,1890.9,1547.1,600519,贵州茅台,1719.0,1769.2,2236044645978.0,2236044645978.0,5044998752.0,4413356176.0,631642576.0,2804178224.0,1915963120.0,888215104.0,2240820528.0,2497393056.0,-256572528.0,2646799744.0,3270406464.0,-623606720.0,1651063.0,9686908.0,-8035845.0,42.62,42.62,42.62,11.8,0.36,61.01,3.55,29.9,109464278563.89
2022-04-06,1765.0,1788.73,1753.0,1753.0,27820,4910792448.0,12854,0.71,1958.01,1602.01,600519,贵州茅台,1780.01,1765.22,2217189117000.0,2217189117000.0,2448412896.0,2829791200.0,-381378304.0,940417920.0,1241475760.0,-301057840.0,1507994976.0,1588315440.0,-80320464.0,2207998080.0,1824619632.0,383378448.0,1679460.0,3679608.0,-2000148.0,42.26,42.26,42.26,11.7,0.22,-15.01,-0.84,29.9,109464278563.89
2022-04-07,1765.0,1785.0,1750.1,1758.0,20196,3568182336.0,10581,0.61,1941.5,1588.5,600519,贵州茅台,1765.0,1766.8,2217189117000.0,2217189117000.0,1814089568.0,2007998832.0,-193909264.0,823311344.0,871075168.0,-47763824.0,990778224.0,1136923664.0,-146145440.0,1641373296.0,1446018208.0,195355088.0,966883.0,2412700.0,-1445817.0,42.26,42.26,42.26,11.7,0.16,0.0,0.0,29.9,109464278563.89
2022-04-08,1784.0,1788.7,1766.54,1768.0,22941,4081618544.0,12735,0.71,1941.5,1588.5,600519,贵州茅台,1765.0,1779.16,2241056875200.0,2241056875200.0,2362979280.0,2282833392.0,80145888.0,1239434432.0,1106631248.0,132803184.0,1123544848.0,1176202144.0,-52657296.0,1604625456.0,1683545184.0,-78919728.0,792215.0,2018374.0,-1226159.0,42.72,42.72,42.72,11.82,0.18,19.0,1.08,29.9,109464278563.89
2022-04-11,1720.0,1770.0,1706.03,1770.0,43864,7568782592.0,20814,1.56,1962.4,1605.6,600519,贵州茅台,1784.0,1725.53,2160660216000.0,2160660216000.0,4382603552.0,4979164992.0,-596561440.0,2319495472.0,3198362240.0,-878866768.0,2063108080.0,1780802752.0,282305328.0,3044301440.0,2443400864.0,600900576.0,2642594.0,6981731.0,-4339137.0,41.19,41.19,41.19,11.4,0.35,-64.0,-3.59,29.9,109464278563.89
2022-04-12,1782.0,1787.97,1708.0,1729.0,41630,7284546304.0,23694,1.3,1892.0,1548.0,600519,贵州茅台,1720.0,1749.85,2238544479600.0,2238544479600.0,4576757968.0,4078778048.0,497979920.0,2486445968.0,2064876224.0,421569744.0,2090312000.0,2013901824.0,76410176.0,2519820368.0,3012765856.0,-492945488.0,1441264.0,6475715.0,-5034451.0,42.67,42.67,42.67,11.81,0.33,62.0,3.6,29.9,109464278563.89
2022-04-13,1769.0,1795.0,1751.08,1767.0,31148,5534915840.0,16028,1.0,1960.2,1603.8,600519,贵州茅台,1782.0,1776.99,2222213908200.0,2222213908200.0,3214183920.0,3094661456.0,119522464.0,1642671456.0,1447198352.0,195473104.0,1571512464.0,1647463104.0,-75950640.0,2106649616.0,2225004336.0,-118354720.0,2519545.0,3687305.0,-1167760.0,42.36,42.36,42.36,11.72,0.25,-13.0,-0.73,29.9,109464278563.89
2022-04-14,1809.0,1835.9,1780.2,1788.0,37650,6834657280.0,21897,1.18,1945.9,1592.1,600519,贵州茅台,1769.0,1815.32,2272461820200.0,2272461820200.0,4544052832.0,3931521936.0,612530896.0,2708190880.0,1755071440.0,953119440.0,1835861952.0,2176450496.0,-340588544.0,2151768512.0,2759094048.0,-607325536.0,1248099.0,6453477.0,-5205378.0,43.32,43.32,43.32,11.99,0.3,40.0,2.26,29.9,109464278563.89
2022-04-15,1805.99,1818.0,1795.89,1802.2,21041,3800797632.0,10496,0.59,1989.9,1628.1,600519,贵州茅台,1809.0,1806.37,2268680664822.0,2268680664822.0,2092557120.0,2280519056.0,-187961936.0,959240656.0,1067777472.0,-108536816.0,1133316464.0,1212741584.0,-79425120.0,1639281840.0,1451722912.0,187558928.0,1398080.0,995095.0,402985.0,43.25,43.25,43.25,11.97,0.17,-3.01,-0.17,29.9,109464278563.89
