,最新,最高,最低,今开,总手,金额,外盘,量比,涨停,跌停,代码,名称,昨收,均价,总值,流值,主力流入,主力流出,主力净流入,超大单流入,超大单流出,超大单净流入,大单流入,大单流出,大单净流入,中单流入,中单流出,中单净流入,小单流入,小单流出,小单净流入,动态市盈率,静态市盈率,滚动市盈率,市净,换手,涨跌,涨幅,净资产收益率,总营收
2022-03-12,6.04,6.17,5.82,6.05,662811,398705504.0,328043,0.67,6.64,5.44,600740,山西焦化,6.04,6.02,15475211770.16,15475211770.16,85072397.0,87606572.0,-2534175.0,12936552.0,10539906.0,2396646.0,72135845.0,77066666.0,-4930821.0,139600769.0,145582994.0,-5982225.0,168477570.0,159961171.0,8516399.0,6.29,14.1,7.68,1.22,2.59,0.0,0.0,14.32,8181980711.97
2022-03-14,5.78,6.18,5.78,5.88,700592,417733696.0,296230,0.79,6.64,5.44,600740,山西焦化,6.04,5.96,14809060270.12,14809060270.12,76791979.0,105686367.0,-28894388.0,19116573.0,26095947.0,-6979374.0,57675406.0,79590420.0,-21915014.0,147632313.0,123555865.0,24076448.0,187548532.0,182730591.0,4817941.0,6.02,13.5,7.35,1.17,2.73,-0.26,-4.3,14.32,8181980711.97
2022-03-15,5.22,5.69,5.2,5.69,855486,460082368.0,354459,1.09,6.36,5.2,600740,山西焦化,5.78,5.38,13374272423.88,13374272423.88,89791681.0,139848863.0,-50057182.0,16004308.0,49600026.0,-33595718.0,73787373.0,90248837.0,-16461464.0,160787685.0,154792491.0,5995194.0,205205928.0,161143939.0,44061989.0,5.43,12.19,6.64,1.05,3.34,-0.56,-9.69,14.32,8181980711.97
2022-03-16,5.35,5.36,5.06,5.26,574307,299545712.0,291414,0.73,5.74,4.7,600740,山西焦化,5.22,5.22,13707348173.9,13707348173.9,66778854.0,74420469.0,-7641615.0,14178869.0,12576599.0,1602270.0,52599985.0,61843870.0,-9243885.0,101999561.0,104050236.0,-2050675.0,125139229.0,115446939.0,9692290.0,5.57,12.49,6.8,1.08,2.24,0.13,2.49,14.32,8181980711.97
2022-03-17,5.47,5.54,5.34,5.4,497176,270061840.0,270385,0.69,5.89,4.82,600740,山西焦化,5.35,5.43,14014802712.38,14014802712.38,75761800.0,58711081.0,17050719.0,10827868.0,10038870.0,788998.0,64933932.0,48672211.0,16261721.0,88508972.0,88902713.0,-393741.0,101293870.0,117950848.0,-16656978.0,5.69,12.77,6.95,1.1,1.94,0.12,2.24,14.32,8181980711.97
2022-03-18,5.8,5.84,5.48,5.54,851177,487390800.0,539236,1.29,6.02,4.92,600740,山西焦化,5.47,5.73,14860302693.199999,14860302693.199999,125742006.0,127235733.0,-1493727.0,35645013.0,18786210.0,16858803.0,90096993.0,108449523.0,-18352530.0,152496244.0,169854550.0,-17358306.0,204149939.0,185297905.0,18852034.0,6.04,13.54,7.37,1.17,3.32,0.33,6.03,14.32,8181980711.97
2022-03-21,5.91,5.95,5.74,5.82,578811,339613856.0,300520,0.83,6.38,5.22,600740,山西焦化,5.8,5.87,15142136020.140001,15142136020.140001,80639077.0,82668862.0,-2029785.0,15722276.0,16152498.0,-430222.0,64916801.0,66516364.0,-1599563.0,115248783.0,114040663.0,1208120.0,139240389.0,138418724.0,821665.0,6.15,13.8,7.51,1.19,2.26,0.11,1.9,14.32,8181980711.97
2022-03-22,6.05,6.09,5.84,5.92,656646,392104864.0,368886,0.98,6.5,5.32,600740,山西焦化,5.91,5.97,15500832981.699999,15500832981.699999,120196611.0,118506078.0,1690533.0,41828784.0,19422011.0,22406773.0,78367827.0,99084067.0,-20716240.0,117410243.0,128777734.0,-11367491.0,149314858.0,139637900.0,9676958.0,6.3,14.13,7.69,1.22,2.56,0.14,2.37,14.32,8181980711.97
2022-03-23,6.16,6.23,5.97,6.01,736651,452116464.0,365607,1.17,6.66,5.45,600740,山西焦化,6.05,6.14,15782666308.640001,15782666308.640001,122238854.0,130246088.0,-8007234.0,34941455.0,32740550.0,2200905.0,87297399.0,97505538.0,-10208139.0,139813276.0,141654633.0,-1841357.0,182316771.0,172468181.0,9848590.0,6.41,14.38,7.83,1.24,2.88,0.11,1.82,14.32,8181980711.97
2022-03-24,6.12,6.26,6.11,6.19,528249,326217424.0,241856,0.8,6.78,5.54,600740,山西焦化,6.16,6.18,15680181462.48,15680181462.48,88134161.0,82529630.0,5604531.0,22040762.0,18071560.0,3969202.0,66093399.0,64458070.0,1635329.0,94769579.0,100732000.0,-5962421.0,138132638.0,137774749.0,357889.0,6.37,14.29,7.78,1.23,2.06,-0.04,-0.65,14.32,8181980711.97
2022-03-25,6.05,6.2,6.02,6.08,450123,274375280.0,205094,0.67,6.73,5.51,600740,山西焦化,6.12,6.1,15500832981.699999,15500832981.699999,64331017.0,68588548.0,-4257531.0,10370957.0,16054795.0,-5683838.0,53960060.0,52533753.0,1426307.0,72329725.0,82321289.0,-9991564.0,133612148.0,119363053.0,14249095.0,6.3,14.13,7.69,1.22,1.76,-0.07,-1.14,14.32,8181980711.97
2022-03-28,6.13,6.23,5.99,6.1,478515,292748608.0,241041,0.81,6.66,5.45,600740,山西焦化,6.05,6.12,15705802674.02,15705802674.02,80159633.0,83172403.0,-3012770.0,17140979.0,21777150.0,-4636171.0,63018654.0,61395253.0,1623401.0,100871923.0,91001409.0,9870514.0,108583713.0,115441457.0,-6857744.0,6.38,14.31,7.79,1.24,1.87,0.08,1.32,14.32,8181980711.97
2022-03-29,6.19,6.23,6.06,6.1,424137,261501629.0,215398,0.74,6.74,5.52,600740,山西焦化,6.13,6.17,15859529943.26,15859529943.26,75695443.0,64757327.0,10938116.0,21299102.0,15189036.0,6110066.0,54396341.0,49568291.0,4828050.0,85233993.0,85439067.0,-205074.0,94677486.0,105410527.0,-10733041.0,6.44,14.45,7.87,1.25,1.66,0.06,0.98,14.32,8181980711.97
