,最新,最高,最低,今开,总手,金额,外盘,量比,涨停,跌停,代码,名称,昨收,均价,总值,流值,主力流入,主力流出,主力净流入,超大单流入,超大单流出,超大单净流入,大单流入,大单流出,大单净流入,中单流入,中单流出,中单净流入,小单流入,小单流出,小单净流入,动态市盈率,静态市盈率,滚动市盈率,市净,换手,涨跌,涨幅,净资产收益率,总营收
2022-03-12,45.5,45.76,43.73,45.3,254169,1139061152.0,132202,1.46,50.93,41.67,601877,正泰电器,46.3,44.82,97823796570.5,97823796570.5,504646375.0,477719348.0,26927027.0,166130775.0,180367220.0,-14236445.0,338515600.0,297352128.0,41163472.0,345881616.0,367497392.0,-21615776.0,280118768.0,285430032.0,-5311264.0,26.4,15.22,15.89,3.06,1.18,-0.8,-1.73,8.97,28651035708.51
2022-03-14,43.55,46.16,43.42,45.0,173338,772211040.0,88509,0.9,50.05,40.95,601877,正泰电器,45.5,44.55,93631348146.04999,93631348146.04999,212012782.0,269983740.0,-57970958.0,69703182.0,82829795.0,-13126613.0,142309600.0,187153945.0,-44844345.0,258851739.0,246902162.0,11949577.0,287926336.0,241904955.0,46021381.0,25.27,14.57,15.21,2.93,0.81,-1.95,-4.29,8.97,28651035708.51
2022-03-15,42.48,44.22,42.12,42.8,216517,929983104.0,103478,1.08,47.91,39.2,601877,正泰电器,43.55,42.95,91330876446.48,91330876446.48,374198639.0,350877385.0,23321254.0,179561455.0,109389549.0,70171906.0,194637184.0,241487836.0,-46850652.0,252703160.0,275967440.0,-23264280.0,295920224.0,295977200.0,-56976.0,24.65,14.21,14.83,2.86,1.01,-1.07,-2.46,8.97,28651035708.51
2022-03-16,43.28,43.5,39.9,42.99,280698,1170805600.0,147241,1.28,46.73,38.23,601877,正泰电器,42.48,41.71,93050855287.28,93050855287.28,378974651.0,384598131.0,-5623480.0,82098683.0,84936899.0,-2838216.0,296875968.0,299661232.0,-2785264.0,406184384.0,439135472.0,-32951088.0,378833504.0,340258944.0,38574560.0,25.12,14.48,15.11,2.91,1.31,0.8,1.88,8.97,28651035708.51
2022-03-17,42.99,44.25,42.62,43.5,208463,905015760.0,103419,0.89,47.61,38.95,601877,正泰电器,43.28,43.41,92427362957.49,92427362957.49,279228218.0,273481730.0,5746488.0,80173968.0,52659915.0,27514053.0,199054250.0,220821815.0,-21767565.0,320885776.0,321950800.0,-1065024.0,294890160.0,299571632.0,-4681472.0,24.95,14.38,15.01,2.89,0.97,-0.29,-0.67,8.97,28651035708.51
2022-03-18,42.0,43.0,41.51,42.9,137233,578755168.0,62240,0.61,47.29,38.69,601877,正泰电器,42.99,42.17,90298889142.0,90298889142.0,165595592.0,244030226.0,-78434634.0,52485138.0,69046664.0,-16561526.0,113110454.0,174983562.0,-61873108.0,181231956.0,162600419.0,18631537.0,215068192.0,155265095.0,59803097.0,24.37,14.05,14.66,2.82,0.64,-0.99,-2.3,8.97,28651035708.51
2022-03-21,43.83,43.95,41.82,42.5,180507,783190048.0,104392,0.89,46.2,37.8,601877,正泰电器,42.0,43.39,94233340740.33,94233340740.33,239340959.0,185572642.0,53768317.0,60595046.0,20845857.0,39749189.0,178745913.0,164726785.0,14019128.0,290452496.0,316289792.0,-25837296.0,242628713.0,270559744.0,-27931031.0,25.44,14.66,15.3,2.95,0.84,1.83,4.36,8.97,28651035708.51
2022-03-22,43.88,44.38,43.16,43.9,134570,589526896.0,61282,0.66,48.21,39.45,601877,正泰电器,43.83,43.81,94340839417.88,94340839417.88,206179089.0,159141073.0,47038016.0,78212136.0,40861701.0,37350435.0,127966953.0,118279372.0,9687581.0,211493660.0,201638138.0,9855522.0,163283489.0,220177026.0,-56893537.0,25.46,14.68,15.32,2.95,0.63,0.05,0.11,8.97,28651035708.51
2022-03-23,44.28,45.29,43.53,44.15,125213,557709344.0,68013,0.66,48.27,39.49,601877,正泰电器,43.88,44.54,95200828838.28,95200828838.28,157778873.0,115225355.0,42553518.0,32422641.0,28504842.0,3917799.0,125356232.0,86720513.0,38635719.0,222144825.0,219763638.0,2381187.0,172599297.0,217534001.0,-44934704.0,25.7,14.81,15.46,2.98,0.58,0.4,0.91,8.97,28651035708.51
2022-03-24,42.97,44.09,42.5,44.09,152325,654667920.0,55173,0.97,48.71,39.85,601877,正泰电器,44.28,42.98,92384363486.47,92384363486.47,226699036.0,251715177.0,-25016141.0,91794731.0,59889145.0,31905586.0,134904305.0,191826032.0,-56921727.0,204388034.0,233499649.0,-29111615.0,218868351.0,164740595.0,54127756.0,24.94,14.37,15.0,2.89,0.71,-1.31,-2.96,8.97,28651035708.51
2022-03-25,40.87,43.0,40.74,42.74,157622,655946064.0,60629,1.08,47.27,38.67,601877,正泰电器,42.97,41.62,87869419029.37,87869419029.37,165640541.0,279929626.0,-114289085.0,43064507.0,81153663.0,-38089156.0,122576034.0,198775963.0,-76199929.0,226403258.0,205701582.0,20701676.0,255231093.0,161643683.0,93587410.0,23.72,13.67,14.27,2.75,0.73,-2.1,-4.89,8.97,28651035708.51
2022-03-28,40.06,40.93,39.73,40.44,133126,534709152.0,60026,0.89,44.96,36.78,601877,正泰电器,40.87,40.17,86127940453.06,86127940453.06,112800634.0,154144066.0,-41343432.0,42311503.0,30732647.0,11578856.0,70489131.0,123411419.0,-52922288.0,203604796.0,206779099.0,-3174303.0,213585397.0,169067664.0,44517733.0,23.25,13.4,13.99,2.69,0.62,-0.81,-1.98,8.97,28651035708.51
2022-03-29,38.63,40.39,38.3,40.28,193995,757276112.0,86499,1.38,44.07,36.05,601877,正泰电器,40.06,39.04,83053478275.13,83053478275.13,141017367.0,229157928.0,-88140561.0,30393509.0,78253242.0,-47859733.0,110623858.0,150904686.0,-40280828.0,260997336.0,314807280.0,-53809944.0,348619440.0,206668941.0,141950499.0,22.42,12.92,13.49,2.6,0.9,-1.43,-3.57,8.97,28651035708.51
2022-03-30,41.25,41.33,38.83,39.04,219516,884742512.0,131360,1.44,42.49,34.77,601877,正泰电器,38.63,40.3,88686408978.75,88686408978.75,265844166.0,202696581.0,63147585.0,80733019.0,50534356.0,30198663.0,185111147.0,152162225.0,32948922.0,340960672.0,373913008.0,-32952336.0,271286928.0,301482176.0,-30195248.0,23.94,13.8,14.4,2.77,1.02,2.62,6.78,8.97,28651035708.51
2022-03-31,39.58,41.15,39.46,40.99,137059,548223376.0,47334,0.8,45.38,37.13,601877,正泰电器,41.25,40.0,85095953148.58,85095953148.58,104090475.0,116238290.0,-12147815.0,21017488.0,20528990.0,488498.0,83072987.0,95709300.0,-12636313.0,184382036.0,166684842.0,17697194.0,252913417.0,258462797.0,-5549380.0,22.97,13.24,13.82,2.66,0.64,-1.67,-4.05,8.97,28651035708.51
2022-04-01,39.37,40.12,39.05,39.19,124223,489727328.0,56956,0.74,43.54,35.62,601877,正泰电器,39.58,39.42,84644458702.87,84644458702.87,136489425.0,129635422.0,6854003.0,44948838.0,26716561.0,18232277.0,91540587.0,102918861.0,-11378274.0,149103992.0,181707430.0,-32603438.0,198637850.0,172888414.0,25749436.0,22.85,13.17,13.75,2.65,0.58,-0.21,-0.53,8.97,28651035708.51
2022-04-06,38.3,39.19,38.01,39.0,114254,437343792.0,54398,0.71,43.31,35.43,601877,正泰电器,39.37,38.28,82343987003.29999,82343987003.29999,76151535.0,104834785.0,-28683250.0,14117677.0,27260976.0,-13143299.0,62033858.0,77573809.0,-15539951.0,143180730.0,159871943.0,-16691213.0,211182298.0,165807835.0,45374463.0,22.23,12.81,13.37,2.57,0.53,-1.07,-2.72,8.97,28651035708.51
