,最新,最高,最低,今开,总手,金额,外盘,量比,涨停,跌停,代码,名称,昨收,均价,总值,流值,主力流入,主力流出,主力净流入,超大单流入,超大单流出,超大单净流入,大单流入,大单流出,大单净流入,中单流入,中单流出,中单净流入,小单流入,小单流出,小单净流入,动态市盈率,静态市盈率,滚动市盈率,市净,换手,涨跌,涨幅,净资产收益率,总营收
2022-03-12,13.34,13.63,12.73,13.15,885845,1170854752.0,431139,0.67,14.47,11.84,000933,神火股份,13.15,13.22,30028161364.06,29767680522.06,483632354.0,437816658.0,45815696.0,152149522.0,144004322.0,8145200.0,331482832.0,293812336.0,37670496.0,340058848.0,380122000.0,-40063152.0,331731104.0,337483632.0,-5752528.0,9.79,83.8,13.87,3.31,3.97,0.19,1.44,31.92,24820383707.5
2022-03-14,12.01,13.18,12.01,12.98,1398684,1742255200.0,597914,1.13,14.67,12.01,000933,神火股份,13.34,12.46,27034349174.09,26799838311.09,647270813.0,1000750768.0,-353479955.0,252225757.0,424891952.0,-172666195.0,395045056.0,575858816.0,-180813760.0,503878576.0,471671040.0,32207536.0,578449360.0,257176958.0,321272402.0,8.82,75.45,12.49,2.98,6.27,-1.33,-9.97,31.92,24820383707.5
2022-03-15,10.81,11.78,10.81,11.59,1681338,1870294432.0,733015,1.35,13.21,10.81,000933,神火股份,12.01,11.12,24333165243.29,24122085940.29,701759308.0,700595062.0,1164246.0,224941484.0,265400982.0,-40459498.0,476817824.0,435194080.0,41623744.0,589759680.0,635995472.0,-46235792.0,563723552.0,518652000.0,45071552.0,7.94,67.91,11.24,2.68,7.53,-1.2,-9.99,31.92,24820383707.5
2022-03-16,11.3,11.3,10.55,11.1,1207659,1326954272.0,591280,0.95,11.89,9.73,000933,神火股份,10.81,10.99,25436148681.7,25215501491.7,536863481.0,408408336.0,128455145.0,200880473.0,121407520.0,79472953.0,335983008.0,287000816.0,48982192.0,420152864.0,437487024.0,-17334160.0,341893664.0,453014672.0,-111121008.0,8.3,70.99,11.75,2.81,5.41,0.49,4.53,31.92,24820383707.5
2022-03-17,11.83,12.05,11.21,11.5,1216694,1408801488.0,630193,1.0,12.43,10.17,000933,神火股份,11.3,11.58,26629171584.47,26398175455.47,631956797.0,605790159.0,26166638.0,196218285.0,193706559.0,2511726.0,435738512.0,412083600.0,23654912.0,368759232.0,420014928.0,-51255696.0,385899232.0,360810192.0,25089040.0,8.69,74.32,12.3,2.94,5.45,0.53,4.69,31.92,24820383707.5
2022-03-18,12.85,12.97,12.0,12.0,1126846,1409200848.0,647914,0.88,13.01,10.65,000933,神火股份,11.83,12.51,28925177925.649998,28674264970.649998,577813608.0,554012009.0,23801599.0,256042280.0,210115001.0,45927279.0,321771328.0,343897008.0,-22125680.0,422346496.0,402133824.0,20212672.0,372277088.0,416291376.0,-44014288.0,8.82,80.72,13.36,3.08,5.05,1.02,8.62,38.05,34405013200.0
2022-03-21,13.45,13.46,12.9,12.9,955054,1263764752.0,505651,0.72,14.14,11.57,000933,神火股份,12.85,13.23,30275769891.05,30013141156.05,490648419.0,477518226.0,13130193.0,185318771.0,164553346.0,20765425.0,305329648.0,312964880.0,-7635232.0,312538592.0,389321280.0,-76782688.0,440940896.0,377288400.0,63652496.0,9.23,84.49,13.99,3.22,4.28,0.6,4.67,38.05,34405013200.0
2022-03-22,13.93,14.09,13.42,13.7,941737,1306800160.0,523001,0.76,14.8,12.11,000933,神火股份,13.45,13.88,31356243463.37,31084242104.37,521746883.0,575929752.0,-54182869.0,230113843.0,232460392.0,-2346549.0,291633040.0,343469360.0,-51836320.0,380946736.0,384206400.0,-3259664.0,383546512.0,326103984.0,57442528.0,9.56,87.51,14.48,3.34,4.22,0.48,3.57,38.05,34405013200.0
2022-03-23,14.27,14.47,13.59,13.71,781585,1097942768.0,438574,0.72,15.32,12.54,000933,神火股份,13.93,14.05,32121578910.43,31842938609.43,364534367.0,453218251.0,-88683884.0,154738960.0,159018939.0,-4279979.0,209795407.0,294199312.0,-84403905.0,354447680.0,325378176.0,29069504.0,359813376.0,300198992.0,59614384.0,9.79,89.64,14.84,3.42,3.5,0.34,2.44,38.05,34405013200.0
2022-03-24,14.25,14.65,14.12,14.65,767373,1101527072.0,358913,0.76,15.7,12.84,000933,神火股份,14.27,14.35,32076559178.25,31798309403.25,363971100.0,427111079.0,-63139979.0,79822380.0,121131703.0,-41309323.0,284148720.0,305979376.0,-21830656.0,385909232.0,347249840.0,38659392.0,330133568.0,305652976.0,24480592.0,9.78,89.52,14.82,3.41,3.44,-0.02,-0.14,38.05,34405013200.0
