,最新,最高,最低,今开,总手,金额,外盘,量比,涨停,跌停,代码,名称,昨收,均价,总值,流值,主力流入,主力流出,主力净流入,超大单流入,超大单流出,超大单净流入,大单流入,大单流出,大单净流入,中单流入,中单流出,中单净流入,小单流入,小单流出,小单净流入,动态市盈率,静态市盈率,滚动市盈率,市净,换手,涨跌,涨幅,净资产收益率,总营收
2022-03-12,7.03,7.15,6.71,6.71,1349029,929721776.0,612965,1.08,8.21,6.71,002162,悦心健康,7.46,6.89,6513295000.0,5999707805.0,229360514.0,261077750.0,-31717236.0,44001302.0,56635500.0,-12634198.0,185359212.0,204442250.0,-19083038.0,303936272.0,307486640.0,-3550368.0,337365152.0,302097536.0,35267616.0,141.07,113.88,137.58,5.09,15.81,-0.43,-5.76,3.99,1260832000.0
2022-03-14,6.33,7.09,6.33,6.91,1237890,817587056.0,531792,0.86,7.73,6.33,002162,悦心健康,7.03,6.6,5864745000.0,5402297355.0,178032552.0,273781987.0,-95749435.0,37293392.0,101208111.0,-63914719.0,140739160.0,172573876.0,-31834716.0,260268669.0,272161600.0,-11892931.0,367426928.0,259784568.0,107642360.0,127.02,102.54,123.88,4.59,14.5,-0.7,-9.96,3.99,1260832000.0
2022-03-15,5.7,6.15,5.7,6.08,991837,580648032.0,423838,0.59,6.96,5.7,002162,悦心健康,6.33,5.85,5281050000.0,4864627950.0,130710249.0,173152329.0,-42442080.0,13761338.0,40783228.0,-27021890.0,116948911.0,132369101.0,-15420190.0,186135023.0,196049691.0,-9914668.0,256144991.0,203788243.0,52356748.0,114.38,92.33,111.55,4.13,11.62,-0.63,-9.95,3.99,1260832000.0
2022-03-16,5.81,5.84,5.37,5.7,1125025,633005488.0,587258,0.81,6.27,5.13,002162,悦心健康,5.7,5.63,5382965000.0,4958506735.0,155578525.0,153592528.0,1985997.0,28058989.0,31383133.0,-3324144.0,127519536.0,122209395.0,5310141.0,216914321.0,218532035.0,-1617714.0,244880878.0,245249161.0,-368283.0,116.59,94.12,113.71,4.21,13.18,0.11,1.93,3.99,1260832000.0
2022-03-17,5.9,6.07,5.7,5.76,1089835,644867952.0,550256,0.86,6.39,5.23,002162,悦心健康,5.81,5.92,5466350000.0,5035316650.0,151739809.0,169593710.0,-17853901.0,27848845.0,23721992.0,4126853.0,123890964.0,145871718.0,-21980754.0,220434409.0,224099569.0,-3665160.0,260085192.0,238566133.0,21519059.0,118.39,95.57,115.47,4.28,12.77,0.09,1.55,3.99,1260832000.0
2022-03-18,5.96,6.06,5.79,5.9,764011,455802960.0,388142,0.66,6.49,5.31,002162,悦心健康,5.9,5.97,5521940000.0,5086523260.0,100304208.0,108596401.0,-8292193.0,18122659.0,13551149.0,4571510.0,82181549.0,95045252.0,-12863703.0,158848735.0,153538733.0,5310002.0,184958064.0,181975873.0,2982191.0,119.6,96.55,116.64,4.32,8.95,0.06,1.02,3.99,1260832000.0
2022-03-21,6.2,6.37,5.91,5.98,1028394,631297808.0,537124,0.99,6.56,5.36,002162,悦心健康,5.96,6.14,5744300000.0,5291349700.0,129324611.0,150084942.0,-20760331.0,18899304.0,31701227.0,-12801923.0,110425307.0,118383715.0,-7958408.0,217246151.0,224795816.0,-7549665.0,271786240.0,243476239.0,28310001.0,124.41,100.43,121.34,4.49,12.05,0.24,4.03,3.99,1260832000.0
2022-03-22,6.03,6.18,6.0,6.11,759670,459610608.0,305945,0.76,6.82,5.58,002162,悦心健康,6.2,6.05,5586795000.0,5146264305.0,104155248.0,101600295.0,2554953.0,17582374.0,20449758.0,-2867384.0,86572874.0,81150537.0,5422337.0,145608675.0,165123078.0,-19514403.0,200940960.0,183981509.0,16959451.0,121.0,97.68,118.01,4.37,8.9,-0.17,-2.74,3.99,1260832000.0
2022-03-23,6.24,6.6,5.85,6.06,1103371,685072640.0,569476,1.16,6.63,5.43,002162,悦心健康,6.03,6.21,5781360000.0,5325487440.0,154138549.0,170425974.0,-16287425.0,39583704.0,34527651.0,5056053.0,114554845.0,135898323.0,-21343478.0,232485855.0,235967157.0,-3481302.0,288556880.0,268788160.0,19768720.0,125.22,101.08,122.12,4.52,12.93,0.21,3.48,3.99,1260832000.0
2022-03-24,6.72,6.8,6.15,6.19,1281557,835921584.0,695121,1.35,6.86,5.62,002162,悦心健康,6.24,6.52,6226080000.0,5735140320.0,218445538.0,188096465.0,30349073.0,43814580.0,53944139.0,-10129559.0,174630958.0,134152326.0,40478632.0,290803184.0,283836016.0,6967168.0,308410704.0,345726960.0,-37316256.0,134.85,108.86,131.51,4.87,15.02,0.48,7.69,3.99,1260832000.0
