,最新,最高,最低,今开,总手,金额,外盘,量比,涨停,跌停,代码,名称,昨收,均价,总值,流值,主力流入,主力流出,主力净流入,超大单流入,超大单流出,超大单净流入,大单流入,大单流出,大单净流入,中单流入,中单流出,中单净流入,小单流入,小单流出,小单净流入,动态市盈率,静态市盈率,滚动市盈率,市净,换手,涨跌,涨幅,净资产收益率,总营收
2022-03-12,19.18,20.35,18.01,18.02,1235582,2396270064.0,642874,0.92,22.68,15.12,300249,依米康,18.9,19.39,8390678320.92,6128100491.24,765355597.0,816850920.0,-51495323.0,173667645.0,195373560.0,-21705915.0,591687952.0,621477360.0,-29789408.0,838888768.0,835498048.0,3390720.0,700407152.0,652302560.0,48104592.0,201.41,-50.54,-120.32,12.9,38.67,0.28,1.48,4.92,970410907.68
2022-03-14,18.65,19.98,18.3,18.62,998778,1914151072.0,480416,0.76,23.02,15.34,300249,依米康,19.18,19.16,8158819118.099999,5958762990.7,546763424.0,687509768.0,-140746344.0,115674528.0,183908968.0,-68234440.0,431088896.0,503600800.0,-72511904.0,686645472.0,663651712.0,22993760.0,605272048.0,487519472.0,117752576.0,195.84,-49.15,-117.0,12.54,31.26,-0.53,-2.76,4.92,970410907.68
2022-03-15,18.01,19.18,16.8,18.04,1028733,1862623072.0,500352,0.78,22.38,14.92,300249,依米康,18.65,18.11,7878838193.940001,5754279971.18,547206571.0,620495461.0,-73288890.0,139603931.0,151757221.0,-12153290.0,407602640.0,468738240.0,-61135600.0,668218112.0,683051936.0,-14833824.0,601448992.0,513326272.0,88122720.0,189.12,-47.46,-112.98,12.11,32.2,-0.64,-3.43,4.92,970410907.68
2022-03-16,20.2,21.51,17.18,18.0,1464963,2843226672.0,815968,1.17,21.61,14.41,300249,依米康,18.01,19.41,8836897918.8,6453995303.599999,1074069200.0,977802690.0,96266510.0,344056800.0,251613810.0,92442990.0,730012400.0,726188880.0,3823520.0,969221616.0,1010666432.0,-41444816.0,748100320.0,802922016.0,-54821696.0,212.12,-53.23,-126.72,13.58,45.85,2.19,12.16,4.92,970410907.68
2022-03-17,19.48,21.58,19.0,19.59,1545973,3154250400.0,733746,1.24,24.24,16.16,300249,依米康,20.2,20.4,8521919379.12,6223951906.64,1002648836.0,1318962496.0,-316313660.0,151725380.0,424804304.0,-273078924.0,850923456.0,894158192.0,-43234736.0,1127246352.0,1061135424.0,66110928.0,959493456.0,709290720.0,250202736.0,204.56,-51.33,-122.2,13.1,48.39,-0.72,-3.56,4.92,970410907.68
2022-03-18,18.3,19.48,18.0,19.03,1009165,1866825936.0,424235,0.8,23.38,15.58,300249,依米康,19.48,18.5,8005704550.200001,5846936339.400001,440365893.0,662530323.0,-222164430.0,73152501.0,144401459.0,-71248958.0,367213392.0,518128864.0,-150915472.0,671252688.0,673103568.0,-1850880.0,692923360.0,468908048.0,224015312.0,192.17,-48.22,-114.8,12.3,31.59,-1.18,-6.06,4.92,970410907.68
2022-03-21,17.94,18.65,17.63,17.8,840148,1521368576.0,392371,0.69,21.96,14.64,300249,依米康,18.3,18.11,7848215280.360001,5731914640.92,399109505.0,494013874.0,-94904369.0,73701457.0,107558098.0,-33856641.0,325408048.0,386455776.0,-61047728.0,567567200.0,587456048.0,-19888848.0,513393360.0,398600144.0,114793216.0,188.39,-47.27,-112.54,12.06,26.3,-0.36,-1.97,4.92,970410907.68
2022-03-22,17.79,18.72,17.01,17.6,905427,1625680416.0,459280,0.77,21.53,14.35,300249,依米康,17.94,17.95,7782594751.259999,5683988933.219999,518234904.0,563035063.0,-44800159.0,136877656.0,96696567.0,40181089.0,381357248.0,466338496.0,-84981248.0,598776560.0,601303344.0,-2526784.0,484265264.0,436938320.0,47326944.0,186.81,-46.88,-111.6,11.96,28.34,-0.15,-0.84,4.92,970410907.68
2022-03-23,16.26,17.3,16.07,17.22,904872,1498810096.0,390260,0.78,21.35,14.23,300249,依米康,17.79,16.56,7113265354.440001,5195146714.68,385056985.0,582382071.0,-197325086.0,41606457.0,132020791.0,-90414334.0,343450528.0,450361280.0,-106910752.0,539779504.0,558699232.0,-18919728.0,546074192.0,329829392.0,216244800.0,170.74,-42.85,-102.0,10.93,28.32,-1.53,-8.6,4.92,970410907.68
2022-03-24,16.58,17.06,15.83,15.9,743735,1219943296.0,372075,0.71,19.51,13.01,300249,依米康,16.26,16.4,7253255816.5199995,5297388224.44,360513299.0,389000293.0,-28486994.0,53302835.0,71632997.0,-18330162.0,307210464.0,317367296.0,-10156832.0,471152752.0,462089200.0,9063552.0,364388192.0,344964768.0,19423424.0,174.1,-43.69,-104.01,11.15,23.28,0.32,1.97,4.92,970410907.68
2022-03-25,15.15,16.62,15.05,16.2,761728,1201553824.0,337407,0.86,19.9,13.26,300249,依米康,16.58,15.77,6627673439.1,4840496477.7,301380674.0,463541397.0,-162160723.0,33092242.0,77449381.0,-44357139.0,268288432.0,386092016.0,-117803584.0,429758048.0,455251568.0,-25493520.0,444459088.0,256804844.0,187654244.0,159.09,-39.92,-95.04,10.19,23.84,-1.43,-8.62,4.92,970410907.68
2022-03-28,15.17,15.49,14.76,14.93,439831,667595712.0,224096,0.53,18.18,12.12,300249,依米康,15.15,15.18,6636422842.98,4846886572.06,157932386.0,200992196.0,-43059810.0,21618470.0,21984518.0,-366048.0,136313916.0,179007678.0,-42693762.0,247215224.0,262810493.0,-15595269.0,237037818.0,178382739.0,58655079.0,159.3,-39.98,-95.17,10.2,13.77,0.02,0.13,4.92,970410907.68
2022-03-29,14.87,15.4,14.6,15.2,541717,811239424.0,263665,0.72,18.2,12.14,300249,依米康,15.17,14.98,6505181784.78,4757012896.66,213149734.0,254245405.0,-41095671.0,24928436.0,39950416.0,-15021980.0,188221298.0,214294989.0,-26073691.0,295644496.0,312148976.0,-16504480.0,285409152.0,227809004.0,57600148.0,215.4,215.4,215.4,10.01,16.93,-0.3,-1.98,4.76,1448954285.94
2022-03-30,15.07,15.27,14.6,14.86,479957,719451040.0,251157,0.71,17.84,11.9,300249,依米康,14.87,14.99,6592675823.58,4820994240.26,224896176.0,218721873.0,6174303.0,35008024.0,30645722.0,4362302.0,189888152.0,188076151.0,1812001.0,268648496.0,281773200.0,-13124704.0,213786991.0,206836581.0,6950410.0,218.3,218.3,218.3,10.14,15.0,0.2,1.34,4.76,1448954285.94
2022-03-31,15.96,16.38,14.78,14.84,930365,1451453776.0,487832,1.57,18.08,12.06,300249,依米康,15.07,15.6,6982024296.240001,5105711219.280001,429481722.0,403272591.0,26209131.0,78964138.0,75688863.0,3275275.0,350517584.0,327583728.0,22933856.0,578643040.0,552474592.0,26168448.0,422195168.0,474572752.0,-52377584.0,231.19,231.19,231.19,10.74,29.08,0.89,5.91,4.76,1448954285.94
2022-04-01,14.33,15.65,14.25,15.45,749448,1116052128.0,296289,1.19,19.15,12.77,300249,依米康,15.96,14.89,6268947880.02,4584263268.94,243938771.0,384978352.0,-141039581.0,41091124.0,71839856.0,-30748732.0,202847647.0,313138496.0,-110290849.0,413097312.0,441589456.0,-28492144.0,431490448.0,261958720.0,169531728.0,207.58,207.58,207.58,9.65,23.43,-1.63,-10.21,4.76,1448954285.94
2022-04-06,14.61,14.97,14.11,14.12,486892,708975952.0,256195,0.77,17.2,11.46,300249,依米康,14.33,14.56,6391439534.34,4673837149.98,191851100.0,204265769.0,-12414669.0,26863571.0,22353661.0,4509910.0,164987529.0,181912108.0,-16924579.0,281795728.0,275845040.0,5950688.0,216945264.0,210481280.0,6463984.0,211.64,211.64,211.64,9.83,15.22,0.28,1.95,4.76,1448954285.94
2022-04-07,13.96,15.01,13.84,14.41,514767,740830432.0,244723,0.81,17.53,11.69,300249,依米康,14.61,14.39,6107083908.240001,4465897783.280001,164456269.0,211889280.0,-47433011.0,23425516.0,30182797.0,-6757281.0,141030753.0,181706483.0,-40675730.0,274245280.0,299658928.0,-25413648.0,288119600.0,215272951.0,72846649.0,202.22,202.22,202.22,9.4,16.09,-0.65,-4.45,4.76,1448954285.94
2022-04-08,13.45,14.09,13.32,13.79,481736,658358112.0,243449,0.76,16.75,11.17,300249,依米康,13.96,13.67,5883974109.299999,4302745357.099999,146274406.0,211152936.0,-64878530.0,19285449.0,34767193.0,-15481744.0,126988957.0,176385743.0,-49396786.0,236790387.0,260495246.0,-23704859.0,261329168.0,172745779.0,88583389.0,194.83,194.83,194.83,9.05,15.06,-0.51,-3.65,4.76,1448954285.94
2022-04-11,13.59,13.85,13.25,13.49,444844,602482256.0,217397,0.7,16.14,10.76,300249,依米康,13.45,13.54,5945219936.46,4347532297.62,157597788.0,153872662.0,3725126.0,41264989.0,28351225.0,12913764.0,116332799.0,125521437.0,-9188638.0,237617196.0,221915270.0,15701926.0,190547534.0,209974586.0,-19427052.0,196.86,196.86,196.86,9.15,13.91,0.14,1.04,4.76,1448954285.94
2022-04-12,13.56,13.68,12.77,13.52,492926,654031040.0,249819,0.92,16.31,10.87,300249,依米康,13.59,13.27,5932095830.64,4337935096.08,159930680.0,181179261.0,-21248581.0,27840743.0,34921041.0,-7080298.0,132089937.0,146258220.0,-14168283.0,245579194.0,249444090.0,-3864896.0,234915618.0,209802140.0,25113478.0,196.43,196.43,196.43,9.13,15.41,-0.03,-0.22,4.76,1448954285.94
2022-04-13,12.4,13.48,12.34,13.45,498574,629938272.0,235692,1.03,16.27,10.85,300249,依米康,13.56,12.63,5424630405.6,3966843303.2000003,113493171.0,209199164.0,-95705993.0,12005478.0,44758428.0,-32752950.0,101487693.0,164440736.0,-62953043.0,212532035.0,240403632.0,-27871597.0,287739968.0,164162386.0,123577582.0,179.62,179.62,179.62,8.35,15.58,-1.16,-8.55,4.76,1448954285.94
2022-04-14,12.4,12.88,12.39,12.68,383372,483558496.0,199420,0.79,14.88,9.92,300249,依米康,12.4,12.61,5424630405.6,3966843303.2000003,108405775.0,153770027.0,-45364252.0,14961480.0,32801077.0,-17839597.0,93444295.0,120968950.0,-27524655.0,166924711.0,161124476.0,5800235.0,194116556.0,154552539.0,39564017.0,179.62,179.62,179.62,8.35,11.98,0.0,0.0,4.76,1448954285.94
